"","top_hit","gene_id","length.x","evalue","bitscore","simMean","uniprotkb_entry","status","protein_names","gene_names","organism","kegg","GO.ID","GO_terms"
"1","5UBQ_A","TRINITY_DN20613_c0_g1_i1",147,3.7e-76,295,96.6,NA,NA,NA,NA,NA,NA,"P:GO:0007010; P:GO:0007017; F:GO:0003924; F:GO:0005200; F:GO:0005525; C:GO:0005737; C:GO:0005874;NA","P:cytoskeleton organization; P:microtubule-based process; F:GTPase activity; F:structural constituent of cytoskeleton; F:GTP binding; C:cytoplasm; C:microtubule;NA"
"2","5UBQ_A","TRINITY_DN20613_c0_g2_i3",188,4.1e-101,378.3,98.4,NA,NA,NA,NA,NA,NA,"P:GO:0007010; P:GO:0007017; F:GO:0003924; F:GO:0005200; F:GO:0005525; C:GO:0005737; C:GO:0005874;NA","P:cytoskeleton organization; P:microtubule-based process; F:GTPase activity; F:structural constituent of cytoskeleton; F:GTP binding; C:cytoplasm; C:microtubule;NA"
"3","6J3Y_11","TRINITY_DN15224_c0_g1_i1",205,3.2e-100,375.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"4","6J3Y_11","TRINITY_DN71499_c0_g1_i1",205,2.5e-94,355.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"5","A7RYM6.1","TRINITY_DN52628_c0_g1_i1",56,4.8e-10,75.9,64.29,NA,NA,NA,NA,NA,NA,"C:GO:0016020; C:GO:0016021;NA","C:membrane; C:integral component of membrane;NA"
"6","A8CEP3.1","TRINITY_DN19748_c0_g1_i1",149,2.3e-62,249.6,94.63,NA,NA,NA,NA,NA,NA,"P:GO:0019722; F:GO:0005509;NA","P:calcium-mediated signaling; F:calcium ion binding;NA"
"7","AAQ55799.1","TRINITY_DN23924_c0_g1_i1",110,3.4e-55,224.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"8","ABI14250.1","TRINITY_DN23510_c0_g1_i2",80,5.2e-32,148.3,93.75,NA,NA,NA,NA,NA,NA,"P:GO:0000398; F:GO:0003723; C:GO:0005681; C:GO:0005688; C:GO:0046540;NA","P:mRNA splicing, via spliceosome; F:RNA binding; C:spliceosomal complex; C:U6 snRNP; C:U4/U6 x U5 tri-snRNP complex;NA"
"9","ABK57994.1","TRINITY_DN40868_c0_g1_i1",187,3.5e-92,348.6,98.93,NA,NA,NA,NA,NA,NA,"P:GO:0006119; P:GO:0022900; P:GO:1902600; F:GO:0004129; F:GO:0020037; F:GO:0046872; C:GO:0005743; C:GO:0016021; C:GO:0070469;NA","P:oxidative phosphorylation; P:electron transport chain; P:proton transmembrane transport; F:cytochrome-c oxidase activity; F:heme binding; F:metal ion binding; C:mitochondrial inner membrane; C:integral component of membrane; C:respirasome;NA"
"10","ABK57994.1","TRINITY_DN40868_c0_g2_i1",143,5.9e-68,267.7,98.6,NA,NA,NA,NA,NA,NA,"P:GO:0006119; P:GO:0022900; P:GO:1902600; F:GO:0004129; F:GO:0020037; F:GO:0046872; C:GO:0005743; C:GO:0016021; C:GO:0070469;NA","P:oxidative phosphorylation; P:electron transport chain; P:proton transmembrane transport; F:cytochrome-c oxidase activity; F:heme binding; F:metal ion binding; C:mitochondrial inner membrane; C:integral component of membrane; C:respirasome;NA"
"11","ABO61497.1","TRINITY_DN28523_c0_g1_i1",69,8.2e-30,141,98.55,NA,NA,NA,NA,NA,NA,"P:GO:0007010; P:GO:0007017; F:GO:0003924; F:GO:0005200; F:GO:0005525; C:GO:0005874;NA","P:cytoskeleton organization; P:microtubule-based process; F:GTPase activity; F:structural constituent of cytoskeleton; F:GTP binding; C:microtubule;NA"
"12","ABO77167.1","TRINITY_DN67332_c0_g1_i1",282,7.2e-142,514.2,97.16,NA,NA,NA,NA,NA,NA,"C:GO:0005739; C:GO:0016021;NA","C:mitochondrion; C:integral component of membrane;NA"
"13","ACN53515.1","TRINITY_DN18588_c0_g2_i1",162,2.2e-88,336.3,95.06,NA,NA,NA,NA,NA,NA,"F:GO:0030246;NA","F:carbohydrate binding;NA"
"14","ACO10425.1","TRINITY_DN42434_c0_g1_i1",109,1.3e-51,213,90.83,NA,NA,NA,NA,NA,NA,"P:GO:0006412; F:GO:0003735; C:GO:0005840;NA","P:translation; F:structural constituent of ribosome; C:ribosome;NA"
"15","ACO11190.1","TRINITY_DN31812_c0_g1_i1",175,1.8e-87,332.8,90.29,NA,NA,NA,NA,NA,NA,"P:GO:0006412; F:GO:0003723; F:GO:0003735; C:GO:0015935;NA","P:translation; F:RNA binding; F:structural constituent of ribosome; C:small ribosomal subunit;NA"
"16","ADM13668.1","TRINITY_DN52369_c0_g1_i1",61,1e-15,94,70.49,NA,NA,NA,NA,NA,NA,"P:GO:0055085; C:GO:0016020; C:GO:0016021;NA","P:transmembrane transport; C:membrane; C:integral component of membrane;NA"
