TRINITY_DN11044_c0_g1_i1	XP_027054414.1	100.0	374	0	0	193	1314	1	374	1.2e-219	774.2	2548	374
TRINITY_DN11045_c0_g1_i2	XP_027053617.1	97.9	1069	22	0	230	3436	1	1069	0.0e+00	2105.1	4942	1069
TRINITY_DN11046_c0_g1_i1	XP_027051084.1	99.8	426	1	0	134	1411	1	426	4.9e-257	897.9	1828	426
TRINITY_DN11047_c0_g1_i5	XP_027045896.1	100.0	155	0	0	3	467	571	725	1.1e-83	321.6	1430	869
TRINITY_DN11047_c0_g2_i1	XP_027045896.1	100.0	47	0	0	138	278	291	337	6.2e-17	98.6	558	869
TRINITY_DN11047_c0_g3_i3	XP_027045896.1	99.8	614	1	0	146	1987	1	614	0.0e+00	1222.6	2188	869
TRINITY_DN11048_c0_g1_i1	XP_027040201.1	99.4	785	5	0	167	2521	1	785	0.0e+00	1214.5	2757	785
TRINITY_DN11048_c0_g2_i1	XP_022780331.1	84.4	77	12	0	452	682	573	649	4.3e-26	129.4	742	783
TRINITY_DN11049_c0_g1_i1	RMX61193.1	93.6	1652	76	4	2	4924	310	1943	0.0e+00	2893.2	5425	1943
TRINITY_DN11050_c0_g1_i2	XP_027054388.1	99.0	488	5	0	18	1481	3	490	4.9e-289	1004.2	1842	490
TRINITY_DN11051_c0_g1_i1	PFX19422.1	70.0	90	27	0	86	355	1	90	6.9e-24	121.7	570	90
TRINITY_DN11052_c0_g1_i2	XP_022809048.1	86.0	1614	219	2	99	4928	1	1611	0.0e+00	2503.8	6875	1611
TRINITY_DN11053_c0_g1_i1	XP_027038096.1	92.2	461	28	1	39	1397	1	461	2.2e-241	846.3	2383	461
TRINITY_DN11056_c0_g1_i2	XP_027042564.1	97.9	662	12	1	473	2458	5	664	3.9e-300	1041.6	2578	664
TRINITY_DN11058_c0_g1_i8	XP_020617755.1	54.9	479	210	4	1	1422	275	752	2.0e-140	510.4	1678	787
TRINITY_DN11059_c0_g1_i1	CAE7471834.1	99.9	1777	2	0	55	5385	1	1777	0.0e+00	3302.3	5535	1777
TRINITY_DN11060_c0_g1_i1	RMX39066.1	76.9	307	49	4	8	865	192	497	1.8e-133	486.5	944	929
TRINITY_DN11060_c0_g2_i1	RMX39066.1	80.3	117	23	0	6	356	692	808	6.8e-46	194.1	356	929
TRINITY_DN11061_c0_g1_i1	XP_027059423.1	98.6	1178	16	0	113	3646	1	1178	0.0e+00	2166.3	3847	1178
TRINITY_DN11062_c0_g1_i3	XP_027056117.1	99.7	315	1	0	74	1018	1	315	1.9e-184	657.1	2420	315
TRINITY_DN11063_c0_g1_i1	XP_027045670.1	97.6	1099	26	0	24	3320	1	1099	0.0e+00	2005.7	4364	1099
TRINITY_DN11066_c0_g1_i1	CAE7943476.1	98.2	279	5	0	2	838	54	332	1.2e-158	570.1	928	332
TRINITY_DN11067_c0_g1_i1	XP_027057434.1	100.0	168	0	0	65	568	1	168	7.3e-94	354.8	857	168
TRINITY_DN11068_c0_g1_i1	XP_027041794.1	98.1	264	5	0	98	889	1	264	2.8e-135	493.0	1379	264
TRINITY_DN11069_c0_g1_i1	OLQ08281.1	100.0	128	0	0	10	393	544	671	1.0e-65	260.8	623	937
TRINITY_DN11070_c0_g1_i1	XP_027044674.1	98.1	162	3	0	2	487	2	163	1.3e-90	343.6	645	163
TRINITY_DN11072_c0_g1_i12	XP_027055721.1	96.0	1680	47	3	103	5127	1	1665	0.0e+00	2499.9	7453	1768
TRINITY_DN11072_c1_g1_i1	RMX43127.1	61.1	72	22	1	254	469	101	166	1.7e-09	75.5	1748	206
TRINITY_DN11073_c1_g1_i7	CAE7269750.1	64.7	312	40	4	8	940	252	494	1.3e-88	337.4	941	636
TRINITY_DN11073_c1_g2_i1	CAE7190373.1	88.8	98	11	0	8	301	151	248	1.3e-40	177.2	550	1061
TRINITY_DN11076_c0_g1_i1	XP_022781621.1	74.6	276	62	2	5	829	312	580	1.0e-112	417.5	935	587
TRINITY_DN11076_c0_g2_i1	RMX56962.1	90.8	184	17	0	2	553	164	347	3.0e-88	335.5	554	367
TRINITY_DN11078_c0_g1_i1	OLQ07766.1	92.9	182	13	0	327	872	1905	2086	1.8e-80	310.8	1241	2098
TRINITY_DN11080_c0_g1_i2	RMX58203.1	98.1	161	3	0	101	583	18	178	2.3e-83	319.7	762	178
TRINITY_DN11081_c0_g1_i3	XP_027042133.1	87.3	1350	74	1	148	4197	1	1253	0.0e+00	2305.4	5281	1253
TRINITY_DN11083_c0_g1_i5	XP_027056307.1	88.8	161	17	1	1	483	617	776	3.2e-73	285.8	660	776
TRINITY_DN11084_c0_g1_i7	RMX55754.1	44.9	430	67	4	81	863	1	429	7.8e-86	328.9	1548	429
TRINITY_DN11084_c1_g1_i1	XP_027050335.1	92.9	141	10	0	97	519	1	141	7.6e-70	274.2	521	260
TRINITY_DN11085_c0_g1_i1	XP_027058388.1	98.0	587	11	1	3	1763	25	610	0.0e+00	1155.6	2023	610
TRINITY_DN11087_c0_g1_i19	XP_027046827.1	98.6	221	3	0	12	674	1	221	1.1e-117	435.3	2191	395
TRINITY_DN11088_c0_g1_i1	PFX20299.1	73.8	168	44	0	30	533	243	410	5.8e-73	284.6	534	1894
TRINITY_DN11089_c0_g1_i2	CAE7705325.1	98.7	528	6	1	38	1618	284	811	4.5e-293	1017.7	1922	1408
TRINITY_DN11090_c0_g1_i1	XP_027048089.1	99.6	242	1	0	365	1090	1	242	1.8e-129	474.6	2465	242
TRINITY_DN11091_c0_g1_i2	RMX48188.1	98.8	892	11	0	18	2693	1	892	0.0e+00	1306.6	3137	920
TRINITY_DN11092_c0_g1_i2	XP_027037219.1	89.1	294	32	0	2	883	271	564	8.8e-151	543.9	885	730
TRINITY_DN11094_c0_g1_i1	XP_027056778.1	96.4	523	19	0	5	1573	1	523	3.4e-300	1041.2	1736	523
TRINITY_DN11095_c0_g1_i1	XP_027051177.1	95.9	171	7	0	159	671	1	171	2.0e-86	330.5	1142	171
TRINITY_DN11096_c0_g1_i1	XP_022794602.1	84.2	240	38	0	72	791	1	240	8.4e-104	388.7	1577	240
TRINITY_DN11096_c0_g2_i1	XP_027039775.1	95.1	917	5	1	404	3154	1	877	0.0e+00	1700.6	3455	877
TRINITY_DN11097_c0_g1_i1	RMX59540.1	76.2	1436	41	2	8	4315	1	1135	0.0e+00	1828.1	4442	1135
TRINITY_DN11099_c0_g1_i1	XP_027049757.1	100.0	245	0	0	225	959	1	245	1.0e-129	475.3	2371	245
TRINITY_DN11100_c0_g1_i2	XP_027039880.1	63.0	338	112	2	381	1388	34	360	9.3e-124	455.3	2000	360
TRINITY_DN11101_c1_g2_i1	XP_015761131.1	87.9	280	34	0	2	841	5	284	1.9e-137	500.4	1535	284
TRINITY_DN11102_c0_g1_i3	XP_027035725.1	98.5	1599	24	0	200	4996	1	1599	0.0e+00	3148.6	5297	1599
TRINITY_DN11103_c0_g1_i3	XP_022798487.1	61.5	947	273	11	88	2787	1	902	1.2e-285	993.8	3421	902
TRINITY_DN11104_c0_g1_i1	XP_027039063.1	99.5	182	1	0	1	546	3	184	8.0e-72	282.7	1946	184
TRINITY_DN11105_c0_g1_i1	XP_027059575.1	98.1	411	8	0	160	1392	1	411	2.5e-237	832.4	1806	411
TRINITY_DN11106_c0_g1_i1	XP_027048525.1	97.0	610	18	0	121	1950	1	610	0.0e+00	1195.6	2227	610
TRINITY_DN11107_c0_g1_i2	XP_022804218.1	87.4	398	31	2	445	1611	378	765	1.3e-195	694.5	2876	765
TRINITY_DN11107_c0_g2_i4	RMX40869.1	97.6	382	3	1	99	1244	248	623	2.0e-213	753.4	2438	623
TRINITY_DN11108_c0_g1_i2	PFX31114.1	59.3	59	21	2	179	3	530	585	9.4e-08	68.2	588	1926
TRINITY_DN11108_c0_g3_i6	XP_027059845.1	98.0	298	6	0	6	899	1	298	3.8e-169	605.1	1049	298
TRINITY_DN11109_c0_g1_i2	XP_027049253.1	99.8	477	1	0	119	1549	1	477	6.5e-269	937.6	2109	477
TRINITY_DN11110_c0_g1_i2	XP_027039396.1	99.5	619	3	0	9	1865	1	619	0.0e+00	1172.5	3820	619
TRINITY_DN11112_c0_g1_i1	CAE7948123.1	100.0	431	0	0	12	1304	1	431	1.2e-261	912.9	1513	431
TRINITY_DN11113_c0_g1_i1	RMX40941.1	79.5	205	31	3	2	613	217	411	2.4e-78	302.8	615	810
TRINITY_DN11113_c0_g2_i1	XP_027050019.1	80.4	168	33	0	2	505	531	698	1.0e-74	290.4	507	900
TRINITY_DN11117_c0_g1_i1	OLP96628.1	97.8	45	1	0	60	194	74	118	1.1e-13	87.4	446	288
TRINITY_DN11121_c0_g1_i2	PFX24155.1	69.1	1079	254	5	1124	4330	280	1289	0.0e+00	1440.6	4609	1289
TRINITY_DN11122_c0_g1_i1	XP_022791489.1	89.4	310	32	1	6	932	1	310	2.0e-161	579.3	934	316
TRINITY_DN11124_c0_g1_i2	CAE7395516.1	95.0	220	11	0	103	762	1	220	2.7e-115	426.0	884	337
TRINITY_DN11125_c0_g4_i1	XP_027041354.1	100.0	202	0	0	248	853	1	202	8.4e-106	395.6	1937	202
TRINITY_DN11127_c0_g1_i4	XP_027047924.1	85.9	262	37	0	1	786	276	537	1.5e-125	459.9	788	977
TRINITY_DN11127_c0_g2_i1	RMX56686.1	96.5	113	4	0	1	339	364	476	1.8e-56	229.2	341	511
TRINITY_DN11127_c1_g1_i1	XP_027051857.1	90.5	105	10	0	317	3	433	537	2.1e-46	195.7	322	1132
TRINITY_DN11129_c0_g1_i2	XP_027045623.1	99.0	293	3	0	223	1101	1	293	5.4e-169	605.1	1489	293
TRINITY_DN11130_c0_g1_i5	RMX59287.1	79.1	296	61	1	3	890	276	570	1.5e-129	473.4	911	1410
TRINITY_DN11133_c0_g1_i1	CAE7319990.1	96.1	1182	41	3	74	3616	49	1226	0.0e+00	2299.2	3634	1227
