(Lyso)-N-acylphosphatidylethanolamine lipase  (ABHD4),1-acylglycerol-3-phosphate-O-acyltransferase activity,Nutrient metabolism,(Oakley et al. 2016)
Glycerol-3-phosphate acyltransferase (GPAT3),1-acylglycerol-3-phosphate-O-acyltransferase activity,Nutrient metabolism,(Oakley et al. 2016)
Lysocardiolipin acyltransferase (LCLAT1),1-acylglycerol-3-phosphate-O-acyltransferase activity,Nutrient metabolism,(Oakley et al. 2016)
1-acyl-sn-glycerol-3-phosphate acyltransferase (AGPAT1),1-acylglycerol-3-phosphate-O-acyltransferase activity,Nutrient metabolism,(Oakley et al. 2016)
Alcohol dehydrogenase (ADH),Alcohol dehydrogenase (NAD+) activity,Nutrient metabolism,(Li et al. 2018) (Bay et al. 2013)
Aquaporin-3 (AQP3),Amine transport,Symbiotic nutrient exchange and signaling pathways,(Matthews et al. 2017)
Synaptic vesicular amine transporter (SLC18A2),Amine transport,Symbiotic nutrient exchange and signaling pathways,(Matthews et al. 2017)
Arginine biosynthesis (ARGI),Amino acid biosynthetic process,Nutrient metabolism,(Li et al. 2018)
Amino acid transporter (AVT1A),Amino acid transport,Nutrient metabolism,(Li et al. 2018)
Putative ammonium transporter (AMT),Ammonium transporter,Nutrient metabolism,(Lehnert et al. 2014)
Ammonium transporter Rh type (RHG),Ammonium transporter,Nutrient metabolism,(Lehnert et al. 2014)
Ammonium transporter (AMTA),Ammonium transporter,Nutrient metabolism,(Lehnert et al. 2014)
Programmed cell death protein 6 (PDCD6),Apoptotic process,Symbiotic maintenance,(Li et al. 2018)
GAMMAlpha-L-glutamate ligase,ATP binding,Nutrient metabolism,(Rädecker et al. 2021)  (Matthews et al. 2017)
Mitogen-activated protein kinase kinase kinase (MAP2K),ATP binding,Nutrient metabolism,(Rädecker et al. 2021)  (Matthews et al. 2017)
Acetyl-coenzyme A synthetase (ACSA),ATP binding,Nutrient metabolism,(Rädecker et al. 2021)  (Matthews et al. 2017)
Sodium/potassium-transporting ATPase subunit alpha (ATALPHA),ATP binding,Nutrient metabolism,(Rädecker et al. 2021)  (Matthews et al. 2017)
V-type proton ATPase (VHA55),ATPase binding,Nutrient metabolism,(Li et al. 2018)
Carbamoyl-phosphate synthase (CARA),Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,Nutrient metabolism,(Li et al. 2018)
Ras-related C3 botulinum toxin substrate 1 (RAC1),Cell signal transduction,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018) (Bay et al. 2013)
Apoptosis regulator BAX (BAX),Cellular response to DNA damage stimulus,Symbiotic maintenance,(Li et al. 2018)
Autophagy protein 10 (ATG10),Cellular response to nitrogen starvation,Symbiotic maintenance,(Li et al. 2018)
Phosphatidylinositol-glycan-specific phospholipase D (GPLD1),Complement receptor mediated signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
NADH-cytochrome b5 reductase 3 (CYB5R3) ,Detoxification of nitrogen compound,Nutrient metabolism,(Rädecker et al. 2021)
Xanthine dehydrogenase/oxidase (XDH),Detoxification of nitrogen compound,Nutrient metabolism,(Rädecker et al. 2021)
Low-density lipoprotein receptor-related protein 4 (LRP4),DNA integration,NA,(Rädecker et al. 2021) (Ganot et al. 2011) (Li et al. 2018)
DNA methyltransferase 1-associated protein 1 (DMAP1),DNA methylation,NA,(Li et al. 2018)
DNA repair protein RAD51 homolog 4 (RAD51D),DNA repair,NA,(Rädecker et al. 2021)  (Matthews et al. 2017)
Histone H2A,DNA repair,NA,(Rädecker et al. 2021)  (Matthews et al. 2017)
DNA repair protein RecN ,DNA repair,NA,(Rädecker et al. 2021)  (Matthews et al. 2017)
DNA repair endonuclease XPF ,DNA repair,NA,(Rädecker et al. 2021)  (Matthews et al. 2017)
General transcription and DNA repair factor IIH helicase subunit XPB (ERCC2),DNA repair and general transcription,NA,(Rädecker et al. 2021)  (Matthews et al. 2017)
DNA repair and recombination protein RAD54,DNA repair and recommbination,NA,(Rädecker et al. 2021)  (Matthews et al. 2017)
Glucose-fructose oxidoreductase domain-containing protein 1,Extracellular matrix organization,Symbiotic maintenance,(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)
Gene Name,Function,Category,References
UDP-glucose 4-epimerase (GALE),Galactose metabolism,Nutrient metabolism,(Li et al. 2018) (Matthews et al. 2017)
GDP-D-glucose phosphorylase 1,GDP-D-glucose phosphorylase activity,Nutrient metabolism,(Li et al. 2018) (Matthews et al. 2017)
Glucose-6-phosphate isomerase (GPI),Gluconeogenesis,Nutrient metabolism,(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)
"Solute carrier family 2, facilitated glucose transporter member 8 (SLC2A8)",Glucose metabolic process,Nutrient metabolism,(Lehnert et al. 2014; Matthews et al. 2017)
"Solute carrier family 2, facilitated glucose transporter member 12 (Slc2a12)",Glucose transmembrane transport,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018) (Matthews et al. 2017)
"Solute carrier family 2, facilitated glucose transporter member 3 (SLC2A3)",Glucose transporter,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018) (Matthews et al. 2017)
Glucose-6-phosphate exchanger (SLC37A4),Glucose-6-phosphate transport,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018) (Matthews et al. 2017)(Ganot et al. 2011)
Glutamate dehydrogenase (GDHA),Glutamate dehydrogenase (NAD+) activity,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
Glutamate dehydrogenase (GV64_16845),Glutamate dehydrogenase (NAD+) activity,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
"Glutamate dehydrogenase 1, mitochondrial (GLUD1)",Glutamate dehydrogenase (NAD+) activity,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
"Glutamate dehydrogenase 2, mitochondrial (GLUD2)",Glutamate dehydrogenase (NAD+) activity,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
