"","gene_id","GO.term","Function","gene_mean_express","per_meth"
"1","Pver_g7166","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism",1.8829643095942,2.13703498333333
"2","Pver_g11748","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism",5.74902039783668,19.1844839730159
"3","Pver_g14862","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism",4.10859365393563,11.1895007481481
"4","Pver_g15169","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism",4.13599706830141,7.46572878153846
"5","Pver_g15783","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism",5.94401237630725,12.0985920074074
"6","Pver_g16737","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism",4.97470554647429,1.22030269814815
"7","Pver_g10869","Alcohol dehydrogenase activity","Nutrient metabolism",2.839870122915,1.63435828333333
"8","Pver_g14476","Alcohol dehydrogenase activity","Nutrient metabolism",2.30925592840862,1.22540952
"9","Pver_g15015","Alcohol dehydrogenase activity","Nutrient metabolism",6.28823430764725,12.7569025022222
"10","Pver_g207","Amine transport","Symbiotic nutrient exchange and signaling pathways",3.29634832167232,4.10416104444444
"11","Pver_g1141","Amine transport","Symbiotic nutrient exchange and signaling pathways",4.05631881208336,1.95231362142857
"12","Pver_g1142","Amine transport","Symbiotic nutrient exchange and signaling pathways",1.20893119682745,3.83649871519608
"13","Pver_g2167","Amine transport","Symbiotic nutrient exchange and signaling pathways",0.652231233045089,2.39772758217054
"14","Pver_g2431","Amine transport","Symbiotic nutrient exchange and signaling pathways",3.83679500604933,3.41114220921053
"15","Pver_g2432","Amine transport","Symbiotic nutrient exchange and signaling pathways",2.7248342422476,2.09195512368421
"16","Pver_g6029","Amine transport","Symbiotic nutrient exchange and signaling pathways",3.19339597557407,1.59906711944444
"17","Pver_g6030","Amine transport","Symbiotic nutrient exchange and signaling pathways",5.06641015057278,1.1779307
"18","Pver_g6292","Amine transport","Symbiotic nutrient exchange and signaling pathways",4.33914742748358,1.99602416380952
"19","Pver_g6846","Amine transport","Symbiotic nutrient exchange and signaling pathways",0.105227059840117,2.28265138
"20","Pver_g7066","Amine transport","Symbiotic nutrient exchange and signaling pathways",3.51074074417431,13.1273983257576
"21","Pver_g7281","Amine transport","Symbiotic nutrient exchange and signaling pathways",1.9337063743017,1.66555295729167
"22","Pver_g8055","Amine transport","Symbiotic nutrient exchange and signaling pathways",2.98888088450617,1.40527224848485
"23","Pver_g8136","Amine transport","Symbiotic nutrient exchange and signaling pathways",2.99269687519918,1.40518593333333
"24","Pver_g8767","Amine transport","Symbiotic nutrient exchange and signaling pathways",2.17735417061077,1.02324515555556
"25","Pver_g9721","Amine transport","Symbiotic nutrient exchange and signaling pathways",1.36601527921964,1.71178549393939
"26","Pver_g9806","Amine transport","Symbiotic nutrient exchange and signaling pathways",1.66823288808374,1.96932164907407
"27","Pver_g10207","Amine transport","Symbiotic nutrient exchange and signaling pathways",2.69052246523615,1.79965565432099
