Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
C17_R1_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	11581540.0	pass	fail	warn	43.0	55.7043979774	C17_R1_001.fastq.gz	fail	pass
C17_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	11581540.0	pass	warn	pass	43.0	56.0175196799	C17_R2_001.fastq.gz	pass	pass
C18_R1_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	10322369.0	pass	fail	warn	43.0	58.8858735809	C18_R1_001.fastq.gz	fail	pass
C18_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	10322369.0	pass	warn	pass	42.0	59.0139795363	C18_R2_001.fastq.gz	pass	pass
C19_R1_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	11407222.0	pass	fail	warn	42.0	56.741717354	C19_R1_001.fastq.gz	fail	pass
C19_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	11407222.0	pass	warn	pass	42.0	56.6188313108	C19_R2_001.fastq.gz	pass	pass
C20_R1_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	10991646.0	pass	fail	warn	43.0	57.8945554805	C20_R1_001.fastq.gz	fail	pass
C20_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	10991646.0	pass	warn	pass	43.0	58.015854481	C20_R2_001.fastq.gz	pass	pass
C21_R1_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	7581776.0	pass	fail	warn	44.0	62.4432922803	C21_R1_001.fastq.gz	warn	pass
C21_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	7581776.0	pass	warn	pass	44.0	62.6876770287	C21_R2_001.fastq.gz	pass	pass
