"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:1901838",9.26698992033263e-06,0.999999946151096,3,6,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP"
"GO:0070813",0.000179706459311138,0.999999536133739,2,3,"hydrogen sulfide metabolic process","BP"
"GO:0035095",0.000293577317461128,0.999992090077957,3,17,"behavioral response to nicotine","BP"
"GO:0070460",0.000562799825476647,0.999980512810982,3,21,"thyroid-stimulating hormone secretion","BP"
"GO:0070221",0.000590665287694128,0.999995440405657,2,5,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP"
"GO:0060084",0.000596415078707482,0.999995373400742,2,5,"synaptic transmission involved in micturition","BP"
"GO:0007274",0.000647669010550762,0.999976340315913,3,22,"neuromuscular synaptic transmission","BP"
"GO:0042744",0.000724012242059757,0.999947130304132,4,52,"hydrogen peroxide catabolic process","BP"
"GO:0006590",0.000741080794636101,0.999971506604544,3,23,"thyroid hormone generation","BP"
"GO:0015755",0.000890188182895116,0.999990797551771,2,6,"fructose transmembrane transport","BP"
"GO:0070837",0.000890188182895116,0.999990797551771,2,6,"dehydroascorbic acid transport","BP"
"GO:0042759",0.00123914248795008,0.999984002451767,2,7,"long-chain fatty acid biosynthetic process","BP"
"GO:1904659",0.00123968744010462,0.999983991841592,2,7,"glucose transmembrane transport","BP"
"GO:0006979",0.00147753365871611,0.99976171349784,6,157,"response to oxidative stress","BP"
"GO:0008286",0.00162381550569007,0.99991608355777,3,30,"insulin receptor signaling pathway","BP"
"GO:0019370",0.0016480016591298,0.999974450906036,2,8,"leukotriene biosynthetic process","BP"
"GO:0045886",0.00318761145383033,0.999926012443,2,11,"negative regulation of synaptic assembly at neuromuscular junction","BP"
"GO:0007271",0.00323013202175063,0.999784102274936,3,38,"synaptic transmission, cholinergic","BP"
"GO:0009414",0.00378423821300331,0.99990274646965,2,12,"response to water deprivation","BP"
"GO:0007268",0.00459198599904695,0.999067205882702,6,197,"chemical synaptic transmission","BP"
"GO:0006730",0.00758936258191472,0.999708588592614,2,17,"one-carbon metabolic process","BP"
"GO:0070327",0.00763504971731557,0.999705921364687,2,17,"thyroid hormone transport","BP"
"GO:1903638",0.00768664973748951,1,1,1,"positive regulation of protein insertion into mitochondrial outer membrane","BP"
"GO:0032918",0.00770341643983888,1,1,1,"spermidine acetylation","BP"
"GO:0032919",0.00770341643983888,1,1,1,"spermine acetylation","BP"
"GO:0032920",0.00770341643983888,1,1,1,"putrescine acetylation","BP"
"GO:0046204",0.00770341643983888,1,1,1,"nor-spermidine metabolic process","BP"
"GO:0043972",0.00770956060552849,1,1,1,"histone H3-K23 acetylation","BP"
"GO:0044154",0.00770956060552849,1,1,1,"histone H3-K14 acetylation","BP"
"GO:0019954",0.00771785781823877,1,1,1,"asexual reproduction","BP"
"GO:0061122",0.00771785781823877,1,1,1,"positive regulation of positive chemotaxis to cAMP","BP"
"GO:0106070",0.00771785781823877,1,1,1,"regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"GO:1904515",0.00771785781823877,1,1,1,"positive regulation of TORC2 signaling","BP"
"GO:0072013",0.00774997408931348,1,1,1,"glomus development","BP"
"GO:0072082",0.00774997408931348,1,1,1,"specification of proximal tubule identity","BP"
