"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"183","GO:0042802",0.00375297601888839,0.998156052307428,25,1448,"identical protein binding","MF",1
"100","GO:0016491",0.00229209686234662,0.999218665055516,13,534,"oxidoreductase activity","MF",1
"116","GO:0019899",0.0408531565610525,0.982944042889439,9,444,"enzyme binding","MF",1
"31","GO:0005216",0.0432804237759146,0.984099999904155,7,296,"monoatomic ion channel activity","MF",1
"130","GO:0022857",0.0384020658236642,0.986240782324571,7,308,"transmembrane transporter activity","MF",1
"37","GO:0005506",0.01014898362543,0.997564380717586,6,183,"iron ion binding","MF",1
"234","GO:0071949",0.000615162956646659,0.99993653952567,5,71,"FAD binding","MF",1
"23","GO:0004497",0.0382710412584791,0.991090457863454,4,129,"monooxygenase activity","MF",1
"29","GO:0005044",0.0332782010246495,0.992598275100588,4,114,"scavenger receptor activity","MF",1
"33","GO:0005230",0.0147334992270065,0.997454054607275,4,85,"extracellular ligand-gated monoatomic ion channel activity","MF",1
"102","GO:0016705",0.0308150322563115,0.993301684855393,4,119,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",1
"106","GO:0017147",0.00550188321477173,0.999286420606458,4,77,"Wnt-protein binding","MF",1
"128","GO:0022836",0.00337416448061016,0.999622656738025,4,57,"gated channel activity","MF",1
"129","GO:0022848",0.000691929994316183,0.999951006296329,4,37,"acetylcholine-gated monoatomic cation-selective channel activity","MF",1
"4","GO:0001540",0.0104713496363404,0.998919410575979,3,46,"amyloid-beta binding","MF",1
"30","GO:0005112",0.0110387167055637,0.99883860031057,3,46,"Notch binding","MF",1
"34","GO:0005267",0.0222595256269908,0.996929449583138,3,60,"potassium channel activity","MF",1
"38","GO:0005536",0.000438752117379065,0.999986671268615,3,15,"glucose binding","MF",1
"103","GO:0016746",0.0496964336813286,0.99056435832699,3,86,"acyltransferase activity","MF",1
"133","GO:0030165",0.0287594637531677,0.995622362344891,3,62,"PDZ domain binding","MF",1
"177","GO:0038024",0.00397753929049698,0.99971749231734,3,30,"cargo receptor activity","MF",1
"9","GO:0003841",0.00565650594107506,0.999823482133582,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF",1
"13","GO:0004089",0.0172833059565213,0.998968004874872,2,19,"carbonate dehydratase activity","MF",1
"24","GO:0004601",0.0364790681693039,0.996659938023292,2,29,"peroxidase activity","MF",1
"35","GO:0005353",0.00178827274905818,0.999973612969856,2,6,"fructose transmembrane transporter activity","MF",1
"94","GO:0015464",0.0101367233001109,0.999556709832729,2,14,"acetylcholine receptor activity","MF",1
"104","GO:0016799",0.00599838142144414,0.999804365185677,2,12,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF",1
"105","GO:0016836",0.00820691013879582,0.999678446461771,2,14,"hydro-lyase activity","MF",1
"134","GO:0030169",0.00878237541324267,0.999640626311115,2,15,"low-density lipoprotein particle binding","MF",1
"138","GO:0030544",0.0373948221659384,0.996512856029086,2,32,"Hsp70 protein binding","MF",1
"161","GO:0033300",0.00512652904679282,0.999850505167037,2,10,"dehydroascorbic acid transmembrane transporter activity","MF",1
"205","GO:0051119",0.00178827274905818,0.999973612969856,2,6,"sugar transmembrane transporter activity","MF",1
"228","GO:0070224",0.000122363346487289,1,2,2,"sulfide:quinone oxidoreductase activity","MF",0.517964045680693
"246","GO:0097027",0.00874831404456216,0.999645668039733,2,14,"ubiquitin-protein transferase activator activity","MF",1
"1","GO:0000254",0.0109562475509571,1,1,1,"C-4 methylsterol oxidase activity","MF",1
"8","GO:0003839",0.0452683490373734,0.999168383043064,1,5,"gamma-glutamylcyclotransferase activity","MF",1
"10","GO:0003865",0.0153081300617405,0.999941198095669,1,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",1
"11","GO:0003963",0.0230004375006383,0.999866733547901,1,2,"RNA-3'-phosphate cyclase activity","MF",1
"12","GO:0004085",0.0292748795915402,0.999711694086259,1,3,"butyryl-CoA dehydrogenase activity","MF",1
"14","GO:0004301",0.0486583482062757,0.999037811387016,1,5,"epoxide hydrolase activity","MF",1
"15","GO:0004307",0.010982921964055,1,1,1,"ethanolaminephosphotransferase activity","MF",1
"16","GO:0004340",0.0235802784544286,0.999813432466653,1,3,"glucokinase activity","MF",1
"17","GO:0004349",0.0230124328423973,0.999866593690174,1,2,"glutamate 5-kinase activity","MF",1
"18","GO:0004350",0.0115729195636007,1,1,1,"glutamate-5-semialdehyde dehydrogenase activity","MF",1
"19","GO:0004396",0.0293660727427881,0.999709883043841,1,3,"hexokinase activity","MF",1
"20","GO:0004420",0.0336981546262791,0.99961721689436,1,3,"hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF",1
"21","GO:0004463",0.0115729195635983,1,1,1,"leukotriene-A4 hydrolase activity","MF",1
"22","GO:0004478",0.0322290625602128,0.999650099787795,1,3,"methionine adenosyltransferase activity","MF",1
"25","GO:0004657",0.0315664354667131,0.999664441305697,1,3,"proline dehydrogenase activity","MF",1
"26","GO:0004720",0.0147798864653047,0.99992699527936,1,3,"protein-lysine 6-oxidase activity","MF",1
"27","GO:0004825",0.0372345029124245,0.999473948084796,1,4,"methionine-tRNA ligase activity","MF",1
"28","GO:0005009",0.034320072331141,0.999602844591364,1,3,"insulin receptor activity","MF",1
"32","GO:0005222",0.0336559057011887,0.999618183496518,1,3,"intracellular cAMP-activated cation channel activity","MF",1
"36","GO:0005483",0.0217742643997007,0.999880638648834,1,2,"soluble NSF attachment protein activity","MF",1
"65","GO:0008253",0.0499032483260543,0.99898742302422,1,5,"5'-nucleotidase activity","MF",1
"67","GO:0008470",0.0189428918832054,0.999909792545248,1,2,"isovaleryl-CoA dehydrogenase activity","MF",1
"69","GO:0008865",0.0258574141219,0.999775426903623,1,3,"fructokinase activity","MF",1
"89","GO:0010856",0.0230124330871691,0.999866593687319,1,2,"adenylate cyclase activator activity","MF",1
"95","GO:0015574",0.0439080984691403,0.999266373110812,1,4,"trehalose transmembrane transporter activity","MF",1
"99","GO:0016034",0.0112851073657429,1,1,1,"maleylacetoacetate isomerase activity","MF",1
"101","GO:0016671",0.049677859394144,0.998996643136115,1,5,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF",1
"136","GO:0030250",0.0230124330871691,0.999866593687319,1,2,"guanylate cyclase activator activity","MF",1
"143","GO:0031405",0.0476037885983699,0.999079469572682,1,5,"lipoic acid binding","MF",1
"147","GO:0031752",0.0112251407880793,1,1,1,"D5 dopamine receptor binding","MF",1
"149","GO:0031994",0.0230124330872728,0.999866593687318,1,2,"insulin-like growth factor I binding","MF",1
"150","GO:0031995",0.0115729195636007,1,1,1,"insulin-like growth factor II binding","MF",1
"163","GO:0033743",0.0352226528383484,0.999529665938736,1,4,"peptide-methionine (R)-S-oxide reductase activity","MF",1
"164","GO:0034038",0.0111273125371923,1,1,1,"deoxyhypusine synthase activity","MF",1
"189","GO:0043423",0.0230124330872718,0.999866593687318,1,2,"3-phosphoinositide-dependent protein kinase binding","MF",1
"209","GO:0051425",0.0230124330873173,0.999866593687317,1,2,"PTB domain binding","MF",1
"214","GO:0055056",0.0333597089849135,0.999624925266295,1,3,"D-glucose transmembrane transporter activity","MF",1
"229","GO:0070733",0.0477313402998531,0.999074480890145,1,5,"protein adenylyltransferase activity","MF",1
"241","GO:0080103",0.00979026903751336,1,1,1,"4-methylthiopropyl glucosinolate S-oxygenase activity","MF",1
"242","GO:0080107",0.00979026903751336,1,1,1,"8-methylthiopropyl glucosinolate S-oxygenase activity","MF",1
"280","GO:1904841",0.0334603767453217,0.999622640794727,1,3,"TORC2 complex binding","MF",1
"283","GO:1990050",0.0475853664404535,0.999080188946618,1,5,"phosphatidic acid transfer activity","MF",1
