"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"174","GO:0042802",0.0164145840912669,0.991536910285494,20,1448,"identical protein binding","MF",1
"98","GO:0016491",0.00491715407751183,0.998344235574684,11,534,"oxidoreductase activity","MF",1
"4","GO:0000978",0.011772890880596,0.996681622516051,7,301,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",1
"126","GO:0022857",0.0177815710435756,0.994566737329587,7,308,"transmembrane transporter activity","MF",1
"124","GO:0022836",0.00188439241942239,0.9998208688886,4,57,"gated channel activity","MF",1
"240","GO:0071949",0.00275188243189706,0.999707173123494,4,71,"FAD binding","MF",1
"7","GO:0001540",0.00667232523524304,0.999416315774789,3,46,"amyloid-beta binding","MF",1
"33","GO:0005230",0.0462619877296831,0.991473913664128,3,85,"extracellular ligand-gated ion channel activity","MF",1
"35","GO:0005536",0.00027197183555405,0.999992999903712,3,15,"glucose binding","MF",0.657861017085882
"125","GO:0022848",0.00485819250537245,0.999624921394693,3,37,"acetylcholine-gated cation-selective channel activity","MF",1
"171","GO:0038024",0.00251554036762189,0.999848343695848,3,30,"cargo receptor activity","MF",1
"210","GO:0051879",0.00907364333127041,0.999110988367946,3,48,"Hsp90 protein binding","MF",1
"252","GO:0097027",0.000219917336385679,0.99999480165118,3,14,"ubiquitin-protein transferase activator activity","MF",0.657861017085882
"13","GO:0003841",0.0041050606472462,0.999891502490204,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF",1
"17","GO:0004089",0.0126983456795568,0.999355860322706,2,19,"carbonate dehydratase activity","MF",1
"29","GO:0004708",0.0132643105841775,0.999305964822767,2,21,"MAP kinase kinase activity","MF",1
"34","GO:0005353",0.00129514563228159,0.999983801384663,2,6,"fructose transmembrane transporter activity","MF",1
"93","GO:0015464",0.00741485332235475,0.999724662551921,2,14,"acetylcholine receptor activity","MF",1
"101","GO:0016627",0.0459427654326638,0.99516812339566,2,40,"oxidoreductase activity, acting on the CH-CH group of donors","MF",1
"103","GO:0016799",0.0043783618257758,0.999878708400424,2,12,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF",1
"130","GO:0030169",0.0063605005893483,0.999780023257102,2,15,"low-density lipoprotein particle binding","MF",1
"136","GO:0030544",0.027585229056267,0.99781839843666,2,32,"Hsp70 protein binding","MF",1
"157","GO:0033300",0.00372824288866177,0.999907804307165,2,10,"dehydroascorbic acid transmembrane transporter activity","MF",1
"201","GO:0051119",0.00129514563228159,0.999983801384663,2,6,"sugar transmembrane transporter activity","MF",1
"234","GO:0070224",8.82293232852957e-05,1,2,2,"sulfide:quinone oxidoreductase activity","MF",0.373474725466657
"1","GO:0000254",0.00927985046659682,1,1,1,"C-4 methylsterol oxidase activity","MF",1
"5","GO:0001162",0.0399672284773274,0.999353625918195,1,5,"RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","MF",1
"12","GO:0003839",0.0382561441227437,0.999408205171681,1,5,"gamma-glutamylcyclotransferase activity","MF",1
"14","GO:0003865",0.0128189021408885,0.999958847875675,1,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",1
"15","GO:0003963",0.0196744468317401,0.999902723079464,1,2,"RNA-3'-phosphate cyclase activity","MF",1
"16","GO:0004085",0.024808659457558,0.999793518796011,1,3,"butyryl-CoA dehydrogenase activity","MF",1
"18","GO:0004145",0.0178568879903934,0.999919940275043,1,2,"diamine N-acetyltransferase activity","MF",1
"19","GO:0004301",0.0415907345803829,0.999299576391182,1,5,"epoxide hydrolase activity","MF",1
