"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"47","GO:0005789",0.0319402603479965,0.987234484436153,9,450,"endoplasmic reticulum membrane","CC",1
"50","GO:0005938",0.014935537121844,0.996100649669876,6,195,"cell cortex","CC",1
"46","GO:0005743",0.0466754240295648,0.98606716959433,5,204,"mitochondrial inner membrane","CC",1
"43","GO:0005581",0.0377337793256958,0.993579166213211,3,80,"collagen trimer","CC",1
"48","GO:0005892",0.00292087978649027,0.999815584672624,3,27,"acetylcholine-gated channel complex","CC",1
"271","GO:0098981",0.00177845969109453,0.999907494175535,3,22,"cholinergic synapse","CC",1
"45","GO:0005680",0.0170019242735227,0.998989230689432,2,20,"anaphase-promoting complex","CC",1
"160","GO:0032590",0.0337475991398095,0.99705518560561,2,26,"dendrite membrane","CC",1
"173","GO:0034362",8.10025605513606e-05,1,2,2,"low-density lipoprotein particle","CC",0.348581675148441
"189","GO:0042589",0.0218284884623,0.998491411753806,2,26,"zymogen granule membrane","CC",1
"266","GO:0098691",0.00120871291208962,0.999986567354376,2,5,"dopaminergic synapse","CC",1
"2","GO:0000808",0.0444111583323245,0.999249291543267,1,4,"origin recognition complex","CC",1
"44","GO:0005602",0.0102234491120564,1,1,1,"complement component C1 complex","CC",1
"49","GO:0005899",0.0229666373353087,0.999867125151622,1,2,"insulin receptor complex","CC",1
"166","GO:0032982",0.0342521667689778,0.999604420766629,1,3,"myosin filament","CC",1
"175","GO:0034455",0.0229629187864362,0.99986716842822,1,2,"t-UTP complex","CC",1
"205","GO:0048269",0.0429134992302429,0.999299522564989,1,4,"methionine adenosyltransferase complex","CC",1
"232","GO:0060417",0.0229666373352904,0.999867125151622,1,2,"yolk","CC",1
"265","GO:0098674",0.0342521667690327,0.999604420766628,1,3,"extrinsic component of neuronal dense core vesicle membrane","CC",1
"270","GO:0098855",0.0115497559625873,1,1,1,"HCN channel complex","CC",1
"304","GO:1990467",0.029203629739992,0.999713100573928,1,3,"NuA3a histone acetyltransferase complex","CC",1
"305","GO:1990468",0.0111948735982219,1,1,1,"NuA3b histone acetyltransferase complex","CC",1
