"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"94","GO:0016021",0.0147069642956196,0.990173417584652,58,4481,NA,NA,1
"42","GO:0005886",0.0436727641236351,0.971286304698721,35,2542,"plasma membrane","CC",1
"186","GO:0042802",0.00990817451739833,0.99479539110762,24,1448,"identical protein binding","MF",1
"96","GO:0016491",0.00730455957359858,0.997262584066477,12,534,"oxidoreductase activity","MF",1
"41","GO:0005789",0.0327134577507488,0.986869783792887,9,440,"endoplasmic reticulum membrane","CC",1
"112","GO:0019899",0.0477599277974144,0.979481568501143,9,444,"enzyme binding","MF",1
"127","GO:0022857",0.0158654471580294,0.994790101903895,8,308,"transmembrane transporter activity","MF",1
"130","GO:0030154",0.0250832461666731,0.991040186790733,8,327,"cell differentiation","BP",1
"219","GO:0051716",0.00139258192132344,0.999697054744443,8,205,"cellular response to stimulus","BP",1
"4","GO:0000978",0.0289727093694466,0.990210774946209,7,301,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",1
"45","GO:0005938",0.016970717346569,0.995442862728135,6,195,"cell cortex","CC",1
"70","GO:0009628",0.00415559076387526,0.999175688456041,6,141,"response to abiotic stimulus","BP",1
"182","GO:0042221",0.0434598096090022,0.985507709343357,6,236,"response to chemical","BP",1
"35","GO:0005506",0.0395976357178588,0.98870359741829,5,183,"iron ion binding","MF",1
"40","GO:0005743",0.0464832512456144,0.986141159427677,5,200,"mitochondrial inner membrane","CC",1
"54","GO:0006955",0.0135496205869093,0.997077353240209,5,136,"immune response","BP",1
"26","GO:0004497",0.0412715476471783,0.99016032261371,4,129,"monooxygenase activity","MF",1
"31","GO:0005230",0.0164343004173194,0.997066403544627,4,85,"extracellular ligand-gated monoatomic ion channel activity","MF",1
"60","GO:0007264",0.0044397497431017,0.999462630771316,4,60,"small GTPase mediated signal transduction","BP",1
"99","GO:0016705",0.0332056879806534,0.992612465983264,4,119,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",1
"125","GO:0022836",0.00379973006641946,0.999560669402858,4,57,"gated channel activity","MF",1
"126","GO:0022848",0.000774585630934364,0.999943455244504,4,37,"acetylcholine-gated monoatomic cation-selective channel activity","MF",1
"207","GO:0048646",0.047993673246726,0.988007513954137,4,123,"anatomical structure formation involved in morphogenesis","BP",1
"246","GO:0071949",0.00536787871162719,0.999310318597104,4,71,"FAD binding","MF",1
"267","GO:0098794",0.0431852359679211,0.989571576997418,4,118,"postsynapse","CC",1
"7","GO:0001540",0.0110328645020534,0.998839275633075,3,46,"amyloid-beta binding","MF",1
"32","GO:0005267",0.0234426832479763,0.996701791833994,3,60,"potassium channel activity","MF",1
"36","GO:0005536",0.000474000080019552,0.999985209498819,3,15,"glucose binding","MF",1
"49","GO:0006633",0.0125966744765607,0.998603734243494,3,50,"fatty acid biosynthetic process","BP",1
"51","GO:0006750",0.00887085752298833,0.999145020707939,3,39,"glutathione biosynthetic process","BP",1
"52","GO:0006865",0.00931154550190689,0.999081153792311,3,44,"amino acid transport","BP",1
"63","GO:0008286",0.00819438095546098,0.999232703527415,3,39,"insulin receptor signaling pathway","BP",1
"69","GO:0009408",0.0318678059018001,0.994938288540887,3,69,"response to heat","BP",1
"103","GO:0017147",0.0354450346995352,0.994117858247907,3,77,"Wnt-protein binding","MF",1
"116","GO:0021537",0.00803646683436955,0.999253820994451,3,38,"telencephalon development","BP",1
"131","GO:0030165",0.0317923133452987,0.994970058827257,3,62,"PDZ domain binding","MF",1
"133","GO:0030178",0.00368502619541141,0.999745258530119,3,30,"negative regulation of Wnt signaling pathway","BP",1
"135","GO:0030301",0.0019854772735725,0.999892155217029,3,23,"cholesterol transport","BP",1
"152","GO:0032270",0.0233230983587082,0.996734320929938,3,55,NA,NA,1
"155","GO:0032691",0.0322346857013301,0.994851703435474,3,72,"negative regulation of interleukin-1 beta production","BP",1
"170","GO:0035095",0.00150278253470707,0.999927077661976,3,20,"behavioral response to nicotine","BP",1
"178","GO:0038024",0.00431988305945784,0.999683951308812,3,30,"cargo receptor activity","MF",1
"180","GO:0042110",0.0388604392894712,0.993312486924985,3,79,"T cell activation","BP",1
"181","GO:0042151",0.0413177504457647,0.992700514560218,3,88,"nematocyst","CC",1
"185","GO:0042593",0.0441701198077524,0.992017825052394,3,75,"glucose homeostasis","BP",1
"199","GO:0045746",0.00592653759080176,0.999505792867398,3,40,"negative regulation of Notch signaling pathway","BP",1
"218","GO:0051606",0.0127418099773163,0.998589261448496,3,44,"detection of stimulus","BP",1
"220","GO:0051879",0.0152099371797634,0.998195135048523,3,48,"Hsp90 protein binding","MF",1
"258","GO:0097027",0.000385334853266963,0.999988941109648,3,14,"ubiquitin-protein transferase activator activity","MF",1
"262","GO:0097242",0.000644783829052947,0.999977387052986,3,16,"amyloid-beta clearance","BP",1
"263","GO:0098662",0.0460293131387068,0.991548489762912,3,74,"inorganic cation transmembrane transport","BP",1
"277","GO:1901838",0.000134469009871014,0.99999760219202,3,9,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP",0.569207318784003
"6","GO:0001505",0.0168368512843289,0.999004093206112,2,20,"regulation of neurotransmitter levels","BP",1
"13","GO:0003841",0.00592341728803724,0.999810677632678,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF",1
"17","GO:0004089",0.0182699192350751,0.998876500689732,2,19,"carbonate dehydratase activity","MF",1
"33","GO:0005353",0.00189678192620258,0.999971154793951,2,6,"fructose transmembrane transporter activity","MF",1
"39","GO:0005680",0.0159721074736822,0.999085054549856,2,19,"anaphase-promoting complex","CC",1
"43","GO:0005892",0.0326778622004439,0.99719740014885,2,26,"acetylcholine-gated channel complex","CC",1
"50","GO:0006654",0.0177959697133354,0.998916127906957,2,20,"phosphatidic acid biosynthetic process","BP",1
"53","GO:0006911",0.0165713949604079,0.999032120081345,2,19,"phagocytosis, engulfment","BP",1
"57","GO:0007141",0.0216263124069915,0.998539538287059,2,20,"male meiosis I","BP",1
"67","GO:0009072",0.00469091219281645,0.999869310502953,2,10,"aromatic amino acid metabolic process","BP",1
"73","GO:0009914",0.042279829512722,0.995798052454599,2,30,"hormone transport","BP",1
"74","GO:0009954",0.0207392258575477,0.998630252983741,2,20,"proximal/distal pattern formation","BP",1
"83","GO:0010744",0.000807616384856673,0.999992685609585,2,5,"positive regulation of macrophage derived foam cell differentiation","BP",1
"85","GO:0010886",0.00129589087902226,0.999983768258295,2,6,"positive regulation of cholesterol storage","BP",1
"86","GO:0014032",0.0236591638546059,0.998311824039011,2,22,"neural crest cell development","BP",1
"87","GO:0014037",0.00984921588217329,0.999579702494487,2,13,"Schwann cell differentiation","BP",1
"90","GO:0015464",0.0107617298322523,0.999514398861536,2,14,"acetylcholine receptor activity","MF",1
"92","GO:0015755",0.00189678192620258,0.999971154793951,2,6,"fructose transmembrane transport","BP",1
"97","GO:0016574",0.00595646868838977,0.999809073239991,2,11,"histone ubiquitination","BP",1
"100","GO:0016799",0.00634155867607174,0.999787116123066,2,12,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF",1
"102","GO:0016836",0.00864431066539604,0.999652010566319,2,14,"hydro-lyase activity","MF",1
"108","GO:0019370",0.00213067317777678,0.999965616138554,2,6,"leukotriene biosynthetic process","BP",1
"111","GO:0019835",0.0314464115812365,0.997315029826497,2,36,"cytolysis","BP",1
"113","GO:0019953",0.0457707219566929,0.995234959937981,2,32,"sexual reproduction","BP",1
"132","GO:0030169",0.00900643580637904,0.999626557360887,2,15,"low-density lipoprotein particle binding","MF",1
"136","GO:0030544",0.0385118836935814,0.996350531068849,2,32,"Hsp70 protein binding","MF",1
"139","GO:0031145",0.00744620813998606,0.99972523720768,2,13,"anaphase-promoting complex-dependent catabolic process","BP",1
"140","GO:0031334",0.0248531218386256,0.99817945461725,2,22,"positive regulation of protein-containing complex assembly","BP",1
"141","GO:0031362",0.0138883465596129,0.999254737873197,2,21,NA,NA,1
"145","GO:0031638",0.0363422653401582,0.996691733059217,2,27,"zymogen activation","BP",1
"150","GO:0032094",0.0456057611376902,0.995276198027583,2,30,"response to food","BP",1
"154","GO:0032590",0.035905861485766,0.996759825123101,2,26,"dendrite membrane","CC",1
"161","GO:0033300",0.00542636565876092,0.999837035145599,2,10,"dehydroascorbic acid transmembrane transporter activity","MF",1
"162","GO:0033504",0.0053786986588813,0.999829194346268,2,15,"floor plate development","BP",1
"166","GO:0034362",7.74198850591497e-05,1,2,2,"low-density lipoprotein particle","CC",0.569207318784003
"167","GO:0034381",0.00130643438712703,0.999983568640523,2,6,"plasma lipoprotein particle clearance","BP",1
"169","GO:0034622",0.0181784465871538,0.998876023372753,2,21,NA,NA,1
"172","GO:0035469",0.02048830869663,0.998630715848633,2,26,"determination of pancreatic left/right asymmetry","BP",1
"183","GO:0042403",0.0391830446440236,0.996263663274645,2,30,"thyroid hormone metabolic process","BP",1
"184","GO:0042589",0.0196046737056993,0.998726433551406,2,24,"zymogen granule membrane","CC",1
"188","GO:0042953",0.00720754891441962,0.999735958516463,2,14,"lipoprotein transport","BP",1
"190","GO:0043269",0.0391901731510896,0.99626908678154,2,29,"regulation of monoatomic ion transport","BP",1
"191","GO:0043280",0.0209787232798944,0.998587359929556,2,24,"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",1
"194","GO:0044179",0.0182790764449538,0.998855706502375,2,24,"hemolysis in another organism","BP",1
"200","GO:0045886",0.0119666443460184,0.999413695772389,2,18,"negative regulation of synaptic assembly at neuromuscular junction","BP",1
"202","GO:0046627",0.0370617042716335,0.99658336285904,2,28,"negative regulation of insulin receptor signaling pathway","BP",1
"205","GO:0048609",0.00715485516923267,0.999738882931487,2,14,"multicellular organismal reproductive process","BP",1
"208","GO:0048814",0.0212695115604653,0.998576272810736,2,20,"regulation of dendrite morphogenesis","BP",1
"210","GO:0050773",0.00510968166514797,0.999851232102067,2,10,"regulation of dendrite development","BP",1
"211","GO:0050909",0.0223278026408346,0.998450350590571,2,23,"sensory perception of taste","BP",1
"212","GO:0051119",0.00189678192620258,0.999971154793951,2,6,"sugar transmembrane transporter activity","MF",1
"215","GO:0051291",0.00194966846805305,0.999969931510716,2,6,"protein heterooligomerization","BP",1
"225","GO:0060084",0.000823093280054547,0.99999351527729,2,4,"synaptic transmission involved in micturition","BP",1
"237","GO:0070207",0.0118144443559549,0.999425013532833,2,18,"protein homotrimerization","BP",1
"238","GO:0070219",0.000129906505072334,1,2,2,"intracellular sulfide ion homeostasis","BP",0.569207318784003
"239","GO:0070221",0.000782427008554658,0.999993992135414,2,4,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP",1
"240","GO:0070224",0.000129906505072334,1,2,2,"sulfide:quinone oxidoreductase activity","MF",0.569207318784003
"242","GO:0070813",0.00036910362285647,0.999998628037726,2,3,"hydrogen sulfide metabolic process","BP",1
"243","GO:0070837",0.00542636565876092,0.999837035145599,2,10,"dehydroascorbic acid transport","BP",1
"244","GO:0071321",0.00143266431483667,0.999982638389001,2,5,"cellular response to cGMP","BP",1
