"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes","type"
"1","anatomical structure development","GO:0048856","GO:0003143",0.0137073683125209,0.998424548529889,3,60,"embryonic heart tube morphogenesis","BP",1,"Pver_g82, Pver_g465, Pver_g953, Pver_g1184, Pver_g1551, Pver_g2720, Pver_g4074, Pver_g5929, Pver_g5948, Pver_g6296, Pver_g6349, Pver_g6437, Pver_g6620, Pver_g7176, Pver_g7598, Pver_g8605, Pver_g8743, Pver_g8744, Pver_g9266, Pver_g9999, Pver_g10374, Pver_g10378, Pver_g11090, Pver_g11095, Pver_g12503, Pver_g12616, Pver_g12870, Pver_g13607, Pver_g14445, Pver_g14449, Pver_g15330, Pver_g15334, Pver_g16518, Pver_g16810, Pver_g16814, Pver_g16966, Pver_g17533, Pver_g17602, Pver_g17672, Pver_g17780, Pver_g18253, Pver_g18438, Pver_g18759, Pver_g18791, Pver_g19586, Pver_g20854, Pver_g20877, Pver_g21281, Pver_g21308, Pver_g21569, Pver_g21734, Pver_g21741, Pver_g23173, Pver_g23560, Pver_g24031, Pver_g24199, Pver_g25076, Pver_g25678, Pver_g25744, Pver_g26304","DEG.GO.terms"
"2","anatomical structure development","GO:0048856","GO:0003428",0.0190454888587736,0.999908872436924,1,2,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP",1,"Pver_g7570, Pver_g17111","DEG.GO.terms"
"3","anatomical structure development","GO:0048856","GO:0007310",0.0160281561245467,0.999935558512777,1,2,"oocyte dorsal/ventral axis specification","BP",1,"Pver_g6870, Pver_g18480","DEG.GO.terms"
"4","anatomical structure development","GO:0048856","GO:0007350",0.0217917605459538,0.999840902461845,1,3,"blastoderm segmentation","BP",1,"Pver_g6870, Pver_g9943, Pver_g15125","DEG.GO.terms"
"5","anatomical structure development","GO:0048856","GO:0009653",0.0309958036133183,0.990455896832901,6,265,"anatomical structure morphogenesis","BP",1,"Pver_g99, Pver_g234, Pver_g235, Pver_g237, Pver_g238, Pver_g370, Pver_g430, Pver_g431, Pver_g446, Pver_g753, Pver_g866, Pver_g871, Pver_g967, Pver_g971, Pver_g987, Pver_g1067, Pver_g1068, Pver_g1086, Pver_g1352, Pver_g1438, Pver_g1444, Pver_g1460, Pver_g1550, Pver_g1578, Pver_g1638, Pver_g1689, Pver_g1709, Pver_g2045, Pver_g2076, Pver_g2396, Pver_g2461, Pver_g2499, Pver_g2528, Pver_g2894, Pver_g3052, Pver_g3077, Pver_g3265, Pver_g3363, Pver_g3413, Pver_g3416, Pver_g3428, Pver_g3655, Pver_g3898, Pver_g3901, Pver_g4430, Pver_g4470, Pver_g4541, Pver_g4650, Pver_g4680, Pver_g4729, Pver_g4732, Pver_g4764, Pver_g4880, Pver_g4923, Pver_g4935, Pver_g4942, Pver_g5097, Pver_g5190, Pver_g5383, Pver_g5509, Pver_g5639, Pver_g5804, Pver_g6081, Pver_g6163, Pver_g6275, Pver_g6411, Pver_g6461, Pver_g6713, Pver_g7115, Pver_g7172, Pver_g7243, Pver_g7554, Pver_g7557, Pver_g7591, Pver_g7592, Pver_g7709, Pver_g7710, Pver_g7814, Pver_g7854, Pver_g8067, Pver_g8123, Pver_g8205, Pver_g8313, Pver_g8693, Pver_g8764, Pver_g8774, Pver_g9024, Pver_g9026, Pver_g9081, Pver_g9161, Pver_g9232, Pver_g9334, Pver_g9436, Pver_g9438, Pver_g9439, Pver_g9440, Pver_g9482, Pver_g9608, Pver_g9638, Pver_g9803, Pver_g9848, Pver_g9856, Pver_g10027, Pver_g10304, Pver_g10388, Pver_g10404, Pver_g10407, Pver_g10408, Pver_g10712, Pver_g10815, Pver_g10845, Pver_g10937, Pver_g11007, Pver_g11010, Pver_g11153, Pver_g11268, Pver_g11455, Pver_g11550, Pver_g11674, Pver_g11690, Pver_g11733, Pver_g11793, Pver_g11797, Pver_g12016, Pver_g12033, Pver_g12085, Pver_g12101, Pver_g12179, Pver_g12209, Pver_g12315, Pver_g12394, Pver_g12613, Pver_g12634, Pver_g12693, Pver_g12828, Pver_g12830, Pver_g12855, Pver_g12910, Pver_g12943, Pver_g13001, Pver_g13047, Pver_g13104, Pver_g13123, Pver_g13154, Pver_g13286, Pver_g13406, Pver_g13477, Pver_g13644, Pver_g13650, Pver_g13652, Pver_g13686, Pver_g13704, Pver_g13725, Pver_g13740, Pver_g13747, Pver_g13814, Pver_g13849, Pver_g13915, Pver_g13948, Pver_g14065, Pver_g14395, Pver_g14554, Pver_g14643, Pver_g14685, Pver_g14768, Pver_g14871, Pver_g14991, Pver_g15195, Pver_g15331, Pver_g15411, Pver_g15449, Pver_g15505, Pver_g15600, Pver_g15811, Pver_g15908, Pver_g16100, Pver_g16270, Pver_g16440, Pver_g16481, Pver_g16511, Pver_g16617, Pver_g16632, Pver_g16811, Pver_g16919, Pver_g16968, Pver_g17089, Pver_g17094, Pver_g17263, Pver_g17328, Pver_g17427, Pver_g17491, Pver_g17573, Pver_g17594, Pver_g17976, Pver_g18173, Pver_g18365, Pver_g18523, Pver_g18590, Pver_g18610, Pver_g18659, Pver_g18687, Pver_g18740, Pver_g18924, Pver_g18970, Pver_g19190, Pver_g19205, Pver_g19229, Pver_g19275, Pver_g19290, Pver_g19414, Pver_g19419, Pver_g19421, Pver_g19422, Pver_g19477, Pver_g19593, Pver_g19624, Pver_g19674, Pver_g19871, Pver_g19928, Pver_g19940, Pver_g19996, Pver_g20037, Pver_g20161, Pver_g20475, Pver_g20559, Pver_g20572, Pver_g20756, Pver_g20970, Pver_g21179, Pver_g21266, Pver_g21277, Pver_g21557, Pver_g21571, Pver_g21639, Pver_g22737, Pver_g22904, Pver_g22944, Pver_g22966, Pver_g23050, Pver_g23051, Pver_g23311, Pver_g23351, Pver_g23364, Pver_g23433, Pver_g23451, Pver_g23652, Pver_g23913, Pver_g23928, Pver_g23952, Pver_g24488, Pver_g24605, Pver_g24950, Pver_g25512, Pver_g25598, Pver_g25819, Pver_g26197, Pver_g26294, Pver_g26295, Pver_g26306, Pver_g26434, Pver_g26508, Pver_g26584, Pver_g26591, Pver_g26641, Pver_g26753, Pver_g26801, Pver_novel_model_207_5de57afd, Pver_novel_model_252_5de57afd, Pver_novel_model_517_5de57afd, Pver_novel_model_559_5de57afd, Pver_g1920","DEG.GO.terms"
"6","anatomical structure development","GO:0048856","GO:0009954",0.0143263626404671,0.999222497331634,2,20,"proximal/distal pattern formation","BP",1,"Pver_g1739, Pver_g2058, Pver_g3560, Pver_g3838, Pver_g4375, Pver_g5178, Pver_g5208, Pver_g5234, Pver_g9182, Pver_g9469, Pver_g11054, Pver_g11055, Pver_g15186, Pver_g15740, Pver_g15923, Pver_g16086, Pver_g19080, Pver_g23321, Pver_g25664, Pver_g26166","DEG.GO.terms"
"7","anatomical structure development","GO:0048856","GO:0010087",0.0495222503943324,0.998962754102294,1,6,"phloem or xylem histogenesis","BP",1,"Pver_g759, Pver_g5996, Pver_g9424, Pver_g11908, Pver_g14176, Pver_g24969","DEG.GO.terms"
"8","anatomical structure development","GO:0048856","GO:0010222",0.0293829711180187,0.999709751357889,1,3,"stem vascular tissue pattern formation","BP",1,"Pver_g5052, Pver_g13279, Pver_g18735","DEG.GO.terms"
"9","anatomical structure development","GO:0048856","GO:0010588",0.0389855651708125,0.999423277060091,1,4,"cotyledon vascular tissue pattern formation","BP",1,"Pver_g5052, Pver_g13279, Pver_g14176, Pver_g18735","DEG.GO.terms"
"10","anatomical structure development","GO:0048856","GO:0014032",0.016528629090905,0.999025798941186,2,22,"neural crest cell development","BP",1,"Pver_g764, Pver_g1156, Pver_g1610, Pver_g4120, Pver_g5865, Pver_g6015, Pver_g6121, Pver_g7253, Pver_g7471, Pver_g9326, Pver_g9522, Pver_g10921, Pver_g12127, Pver_g12262, Pver_g13368, Pver_g14140, Pver_g14844, Pver_g15186, Pver_g15240, Pver_g16544, Pver_g25625, Pver_g25716","DEG.GO.terms"
"11","anatomical structure development","GO:0048856","GO:0021537",0.045192282419687,0.995298716167854,2,38,"telencephalon development","BP",1,"Pver_g488, Pver_g629, Pver_g1156, Pver_g1157, Pver_g1198, Pver_g3163, Pver_g3544, Pver_g4180, Pver_g4448, Pver_g4449, Pver_g4723, Pver_g4726, Pver_g4727, Pver_g4729, Pver_g5118, Pver_g5929, Pver_g6609, Pver_g6862, Pver_g7018, Pver_g9902, Pver_g10763, Pver_g10921, Pver_g12961, Pver_g13864, Pver_g14115, Pver_g14243, Pver_g14315, Pver_g14903, Pver_g15960, Pver_g17233, Pver_g17602, Pver_g20439, Pver_g23646, Pver_g25621, Pver_g25622, Pver_g26260, Pver_g26751, Pver_g26789, Pver_novel_model_252_5de57afd","DEG.GO.terms"
"12","anatomical structure development","GO:0048856","GO:0021544",0.0146251283703601,0.999946384774573,1,2,"subpallium development","BP",1,"Pver_g3838, Pver_g8295","DEG.GO.terms"
"13","anatomical structure development","GO:0048856","GO:0021549",0.0388446587274848,0.99627860844495,2,38,"cerebellum development","BP",1,"Pver_g19, Pver_g1179, Pver_g1382, Pver_g2001, Pver_g2002, Pver_g2003, Pver_g2004, Pver_g2010, Pver_g2862, Pver_g4011, Pver_g4021, Pver_g4330, Pver_g4972, Pver_g6262, Pver_g6264, Pver_g6266, Pver_g8541, Pver_g8637, Pver_g9667, Pver_g11173, Pver_g11606, Pver_g11678, Pver_g11680, Pver_g12335, Pver_g12769, Pver_g12951, Pver_g13135, Pver_g13899, Pver_g14994, Pver_g15875, Pver_g15960, Pver_g16835, Pver_g18724, Pver_g18915, Pver_g19246, Pver_g23262, Pver_g23265, Pver_g24312, Pver_novel_model_45_5de57afd","DEG.GO.terms"
"14","anatomical structure development","GO:0048856","GO:0021688",0.019686428736153,0.99990260396341,1,2,"cerebellar molecular layer formation","BP",1,"Pver_g15186, Pver_g15740","DEG.GO.terms"
"15","anatomical structure development","GO:0048856","GO:0021693",0.036325825378219,0.999499857606756,1,4,"cerebellar Purkinje cell layer structural organization","BP",1,"Pver_g1462, Pver_g13350, Pver_g15186, Pver_g15740","DEG.GO.terms"
"16","anatomical structure development","GO:0048856","GO:0021695",0.0385331845515041,0.999436693472526,1,4,"cerebellar cortex development","BP",1,"Pver_g8065, Pver_g13301, Pver_g16144, Pver_g25700","DEG.GO.terms"
"17","anatomical structure development","GO:0048856","GO:0021858",0.00864539435306132,1,1,1,"GABAergic neuron differentiation in basal ganglia","BP",1,"Pver_g8642","DEG.GO.terms"
"18","anatomical structure development","GO:0048856","GO:0021879",0.0248022240911859,0.999793626508459,1,3,"forebrain neuron differentiation","BP",1,"Pver_g3037, Pver_g3409, Pver_g3838","DEG.GO.terms"
"19","anatomical structure development","GO:0048856","GO:0021893",0.0052322327546083,1,1,1,"cerebral cortex GABAergic interneuron fate commitment","BP",1,"Pver_g3838","DEG.GO.terms"
"20","anatomical structure development","GO:0048856","GO:0021903",0.0369883141520233,0.999481300975235,1,4,"rostrocaudal neural tube patterning","BP",1,"Pver_g6262, Pver_g6263, Pver_g6264, Pver_g6266","DEG.GO.terms"
"21","anatomical structure development","GO:0048856","GO:0030238",0.0463484061207106,0.999128446416795,1,5,"male sex determination","BP",1,"Pver_g2121, Pver_g7824, Pver_g8066, Pver_g8997, Pver_g19246","DEG.GO.terms"
"22","anatomical structure development","GO:0048856","GO:0033092",0.0369883141520233,0.999481300975235,1,4,"positive regulation of immature T cell proliferation in thymus","BP",1,"Pver_g6262, Pver_g6263, Pver_g6264, Pver_g6266","DEG.GO.terms"
"23","anatomical structure development","GO:0048856","GO:0033504",0.00388446269611257,0.999895767114863,2,15,"floor plate development","BP",1,"Pver_g1546, Pver_g4013, Pver_g4140, Pver_g5921, Pver_g5925, Pver_g5928, Pver_g7711, Pver_g11801, Pver_g13405, Pver_g14844, Pver_g15186, Pver_g16278, Pver_g16722, Pver_g17601, Pver_g17602, Pver_novel_model_639_5de57afd","DEG.GO.terms"
"24","anatomical structure development","GO:0048856","GO:0045654",0.0190803935033292,0.999908536485035,1,2,"positive regulation of megakaryocyte differentiation","BP",1,"Pver_g15639, Pver_g26231","DEG.GO.terms"
"25","anatomical structure development","GO:0048856","GO:0045886",0.00843509088780582,0.999655942144441,2,18,"negative regulation of synaptic assembly at neuromuscular junction","BP",1,"Pver_g1210, Pver_g2043, Pver_g5236, Pver_g5857, Pver_g5869, Pver_g6559, Pver_g11065, Pver_g11647, Pver_g12301, Pver_g12814, Pver_g13168, Pver_g14017, Pver_g14188, Pver_g15216, Pver_g15885, Pver_g18905, Pver_g19813, Pver_g21228","DEG.GO.terms"
"26","anatomical structure development","GO:0048856","GO:0048581",0.0196848807568714,0.999902619356522,1,2,"negative regulation of post-embryonic development","BP",1,"Pver_g13279, Pver_g18735","DEG.GO.terms"
