gene_id	GO.ID
Pver_g1	GO:0002376;GO:0005488;GO:0005576;GO:0009986;GO:0012505;GO:0031225;GO:0031410;GO:0098588;GO:0098590;unknown;GO:0016021
Pver_g10	GO:0000122;GO:0007252;GO:0007389;GO:0008542;GO:0008625;GO:0010596;GO:0010719;GO:0014067;GO:0016525;GO:0021814;GO:0021819;GO:0030308;GO:0030948;GO:0031334;GO:0032088;GO:0034144;GO:0034260;GO:0035148;GO:0036324;GO:0042059;GO:0043113;GO:0043124;GO:0043407;GO:0043507;GO:0043524;GO:0043553;GO:0045944;GO:0046330;GO:0046580;GO:0048147;GO:0048169;GO:0050679;GO:0050680;GO:0050771;GO:0070059;GO:0070317;GO:0070373;GO:0071222;GO:0071347;GO:0071356;GO:0071364;GO:0072577;GO:0090090;GO:0090129;GO:0098880;GO:1900006;GO:1900744;GO:1900747;GO:1901800;GO:1903363;GO:1903896;GO:2001224;GO:2001235;GO:0005096;GO:0005123;GO:0017124;GO:0031434;GO:0031435;GO:0032266;GO:0035591;GO:0036312;GO:0042803;GO:0043184;GO:0043539;GO:0044877;GO:0047485;GO:0051721;GO:0070273;GO:0071889;GO:0005829;GO:0030139;GO:0032809;GO:0043198;GO:0044300;GO:0044301;GO:0098978;GO:0099092;GO:1990032;GO:1990597;GO:0007165;GO:0043087;unknown
Pver_g100	GO:0001764;GO:0001934;GO:0002093;GO:0002551;GO:0003376;GO:0003382;GO:0006954;GO:0006972;GO:0007163;GO:0008045;GO:0008283;GO:0008360;GO:0008361;GO:0009611;GO:0010310;GO:0010592;GO:0010595;GO:0010764;GO:0014041;GO:0016601;GO:0021799;GO:0021831;GO:0021894;GO:0030838;GO:0030865;GO:0031116;GO:0032707;GO:0035025;GO:0035774;GO:0043552;GO:0043652;GO:0045216;GO:0045428;GO:0045453;GO:0045740;GO:0046425;GO:0048012;GO:0048168;GO:0048261;GO:0048532;GO:0048813;GO:0048873;GO:0051496;GO:0051894;GO:0051932;GO:0060071;GO:0060263;GO:0060999;GO:0061344;GO:0071260;GO:0071526;GO:0072659;GO:0090023;GO:0090103;GO:0097178;GO:1900026;GO:1904948;GO:2000386;GO:0003925;GO:0005525;GO:0019901;GO:0030742;GO:0031267;GO:0031996;GO:0042826;GO:0044877;GO:0051022;GO:0051117;GO:0000139;GO:0000242;GO:0001891;GO:0005634;GO:0005789;GO:0005802;GO:0005829;GO:0005884;GO:0005938;GO:0030027;GO:0031234;GO:0031901;GO:0032587;GO:0036464;GO:0042470;GO:0043197;GO:0055038;GO:0060091;GO:0098978;GO:0101003;GO:0007264;GO:0003924;unknown
Pver_g1000	unknown
Pver_g10000	GO:0006325;GO:0006357;GO:0006368;GO:0016578;GO:0016973;GO:0045893;GO:0061179;GO:0003682;GO:0005515;GO:0030374;GO:0000124;GO:0005739;GO:0044615;GO:0070390;GO:0071819;GO:0006406;GO:0003713;GO:0005643;unknown
Pver_g10001	GO:0000278;GO:0007059;GO:0051382;GO:0005515;GO:0000776;GO:0005829;GO:0016604;GO:0003677;GO:0046982;GO:0005634;unknown
Pver_g10002	GO:0006511;GO:0010498;GO:0042802;GO:0005654;GO:0005829;GO:0019773;GO:0098794;GO:0051603;GO:0005839;unknown
Pver_g10003	GO:0007517;GO:0110165;unknown
Pver_g10004	GO:0002376;GO:0006897;GO:0006950;GO:0010033;GO:0032501;GO:0032879;GO:0048518;GO:0048519;GO:0050794;GO:0070207;GO:0019899;GO:0030544;GO:0042802;GO:0051879;GO:0005576;GO:0005737;GO:0016020;GO:0043231;GO:0071944;unknown
Pver_g10005	GO:0006897;GO:0050789;GO:0016020;unknown
