"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
110 0.936742400715147 2 14 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.985151725812078
-1546 0.192613599834786 5 19 "GO:0000030" "mannosyltransferase activity" 0.545292676922678
1693 0.354371444633352 2 8 "GO:0000048;GO:0002951" "peptidyltransferase activity" 0.707690276094315
-215 0.767259828310527 2 51 "GO:0000049" "tRNA binding" 0.940464272631191
309 0.747430473200763 3 29 "GO:0000062;GO:0120227;GO:1901567" "fatty acid derivative binding" 0.939734214480078
1809 0.207142385451292 2 13 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.567098684908844
1530 0.105240901114605 2 30 "GO:0000146" "microfilament motor activity" 0.418022088588757
400 0.463840539575597 2 90 "GO:0000149" "SNARE binding" 0.788892349568023
-2120 0.0115474265212693 5 38 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.117215543815107
-1538 0.466336394867364 7 6 "GO:0000182" "rDNA binding" 0.789992382828289
-2551 0.0136931553745047 3 25 "GO:0000217" "DNA secondary structure binding" 0.132145770472441
1176 0.5474415180131 2 7 "GO:0000268" "peroxisome targeting sequence binding" 0.828694430768266
-494 0.16773602718241 2 211 "GO:0000287" "magnesium ion binding" 0.530875565355865
-866 0.561853190587256 2 12 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.838518355613886
-2066 0.110138398517577 5 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.42816720882669
-992 0.565054026767148 6 9 "GO:0000400" "four-way junction DNA binding" 0.838660809205818
-1314 0.53348826540878 4 6 "GO:0000405" "bubble DNA binding" 0.825068308897013
-4636 0.0449495755973156 2 5 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 0.277731918787278
1612 0.445057445130671 3 6 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.780481735970916
1489 0.387635607352322 2 9 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.733411156514231
14 0.95275524837858 2 529 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 0.985151725812078
350 0.169752619669154 2 421 "GO:0000978;GO:0000977;GO:0000987" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.530875565355865
497 0.73933243847693 2 12 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.939734214480078
-662 0.483174013665856 3 30 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.800539796573418
-2879 0.213091883263359 2 5 "GO:0000995" "RNA polymerase III general transcription initiation factor activity" 0.574988436062945
-1089 0.637834921238815 6 5 "GO:0001016" "RNA polymerase III transcription regulatory region sequence-specific DNA binding" 0.876252270960735
6 0.994542713209232 4 30 "GO:0001046" "core promoter sequence-specific DNA binding" 0.995403963838911
2081 0.324235744981246 2 6 "GO:0001055" "RNA polymerase II activity" 0.683191956887996
-368 0.873679971266123 2 5 "GO:0001056" "RNA polymerase III activity" 0.973452849424486
-905 0.433783702536775 3 20 "GO:0001094;GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.768689147992133
-788 0.296854622730858 4 47 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.662497505684497
-4731 0.0407513156809383 2 5 "GO:0001147" "transcription termination site sequence-specific DNA binding" 0.259522530617507
4626 0.0284199209368587 4 6 "GO:0001161" "intronic transcription regulatory region sequence-specific DNA binding" 0.221864844166561
-1477 0.484212226437023 7 6 "GO:0001164;GO:0001163" "RNA polymerase I transcription regulatory region sequence-specific DNA binding" 0.800539796573418
-221 0.79227278496672 2 38 "GO:0001221" "transcription coregulator binding" 0.947210202312479
-486 0.778079789539503 5 9 "GO:0001222" "transcription corepressor binding" 0.94217668542102
-698 0.567147842907861 4 18 "GO:0001223" "transcription coactivator binding" 0.839562605415688
842 0.104523397968594 4 100 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.417604892774822
536 0.149949693078077 4 195 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.507369464145134
-660 0.658285587152221 2 12 "GO:0001530" "lipopolysaccharide binding" 0.889996047608677
669 0.396697365645339 2 43 "GO:0001540" "amyloid-beta binding" 0.743952977507901
600 0.713585255187016 4 10 "GO:0001594" "trace-amine receptor activity" 0.928459350339973
1175 0.547538902694777 3 7 "GO:0001618;GO:0140272" "exogenous protein binding" 0.828694430768266
374 0.765528069178754 4 17 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.939734214480078
879 0.0356276820669367 2 154 "GO:0001664" "G protein-coupled receptor binding" 0.244988200879635
954 0.421179207598113 2 19 "GO:0001671" "ATPase activator activity" 0.762765368648857
935 0.34786831930411 3 27 "GO:0001727" "lipid kinase activity" 0.705893874583258
-2443 0.0673765778177422 4 15 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.332720629455183
3011 0.19290251963205 4 5 "GO:0001758" "retinal dehydrogenase activity" 0.545292676922678
787 0.485864234231411 2 21 "GO:0001784" "phosphotyrosine residue binding" 0.800539796573418
2164 0.0242828986858974 2 29 "GO:0001786" "phosphatidylserine binding" 0.196568527970018
441 0.809209087688666 3 8 "GO:0001882" "nucleoside binding" 0.950190910797903
-1871 9.69628085255689e-07 2 185 "GO:0001965" "G-protein alpha-subunit binding" 7.29502541789427e-05
3583 0.0284486586734293 2 10 "GO:0001968" "fibronectin binding" 0.221864844166561
873 0.180702611710641 4 63 "GO:0002020" "protease binding" 0.538738089458997
-632 0.434295331759636 2 41 "GO:0002039" "p53 binding" 0.768689147992133
-263 0.909311152392313 2 5 "GO:0002054" "nucleobase binding" 0.98227108438325
-1143 0.50708074867353 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 0.809019465200667
-3214 0.0787498465879774 3 8 "GO:0002162" "dystroglycan binding" 0.362324326130852
-499 5.94468520578408e-06 3 2564 "GO:0003676" "nucleic acid binding" 0.000330576190356428
-340 0.0232094592713814 2 1285 "GO:0003677" "DNA binding" 0.19061299307919
-1026 0.0490234639181305 2 99 "GO:0003678" "DNA helicase activity" 0.290282455330041
-2561 0.190046732290297 2 7 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.545292676922678
-79 0.758358649522513 2 411 "GO:0003682" "chromatin binding" 0.939734214480078
-979 0.157027362463887 3 56 "GO:0003684" "damaged DNA binding" 0.518725261826913
-1581 0.270226285277039 2 13 "GO:0003688" "DNA replication origin binding" 0.63649985058809
-1696 0.189726735533459 4 16 "GO:0003689" "DNA clamp loader activity" 0.545292676922678
-166 0.404604908651307 2 703 "GO:0003690;GO:0043565" "sequence-specific DNA binding" 0.753260084665243
-1239 0.0162915814931784 3 101 "GO:0003697" "single-stranded DNA binding" 0.148668054086248
476 0.0462578167758066 2 481 "GO:0003700;GO:0000981" "DNA-binding transcription factor activity" 0.2799461936629
-807 0.727161545420085 3 5 "GO:0003707" "nuclear steroid receptor activity" 0.936595787102003
-636 0.0373008336702152 2 291 "GO:0003712" "transcription coregulator activity" 0.252422043725954
-328 0.422234465209844 2 161 "GO:0003713" "transcription coactivator activity" 0.762765368648857
-772 0.126967710972775 3 105 "GO:0003714" "transcription corepressor activity" 0.457441415025857
-600 0.000932588329377777 2 855 "GO:0003723" "RNA binding" 0.0180724314132451
459 0.395743112303704 3 92 "GO:0003724;GO:0008186" "ATP-dependent activity, acting on RNA" 0.743952977507901
-1894 0.016389519645161 3 43 "GO:0003725" "double-stranded RNA binding" 0.148668054086248
-315 0.616052378191389 2 68 "GO:0003727" "single-stranded RNA binding" 0.864907784529952
106 0.760409067687086 5 223 "GO:0003729" "mRNA binding" 0.939734214480078
94 0.89174709912293 2 56 "GO:0003730" "mRNA 3'-UTR binding" 0.977596594136516
-1366 0.00176939227400047 2 141 "GO:0003735" "structural constituent of ribosome" 0.0293902950447611
405 0.565636874220229 2 54 "GO:0003743" "translation initiation factor activity" 0.838660809205818
-1245 0.320857292648818 2 17 "GO:0003746" "translation elongation factor activity" 0.679431253804368
-195 0.926274834322526 3 6 "GO:0003747;GO:0008079" "translation release factor activity" 0.985151725812078
-1203 0.146671024482743 2 39 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.503493915543239
1620 0.277986636076534 3 12 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.64609255700969
1693 0.000391459247578858 1 118 "GO:0003774" "cytoskeletal motor activity" 0.00910320686642472
1946 0.00114166031964154 2 75 "GO:0003777" "microtubule motor activity" 0.0208572644314139
523 0.121748798005364 4 237 "GO:0003779" "actin binding" 0.451306683230924
-207 0.87305142587396 2 16 "GO:0003785" "actin monomer binding" 0.973452849424486
4380 0.0581635573114103 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.319275492709415
1809 0.0290653969618157 2 39 "GO:0003823" "antigen binding" 0.223943630808207
-301 0.000149508705075653 1 6875 "GO:0003824" "catalytic activity" 0.00444701473934326
-506 0.810574851651801 2 6 "GO:0003831" "beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity" 0.950190910797903
-1657 0.432588280062954 2 6 "GO:0003839" "gamma-glutamylcyclotransferase activity" 0.768445014167386
-726 0.626833637398177 2 12 "GO:0003841" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.870826692221311
-2094 0.251962060608582 2 8 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.618540260112047
-658 0.755133127745687 2 6 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.939734214480078
