"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1598 0.277184159467057 2 10 "GO:0000002" "mitochondrial genome maintenance" 0.735997849642053
-2436 0.115961968503235 -1 9 "GO:0000003" "obsolete reproduction" 0.536179633436469
-480 0.757040778033943 4 9 "GO:0000012" "single strand break repair" 0.939873066792122
-975 0.0965355461661251 4 63 "GO:0000018" "regulation of DNA recombination" 0.497144667443865
-546 0.739741668080327 5 8 "GO:0000019" "regulation of mitotic recombination" 0.934705357030773
-358 0.688954988063029 3 27 "GO:0000027" "ribosomal large subunit assembly" 0.924656448420155
-640 0.648144411913395 2 11 "GO:0000028" "ribosomal small subunit assembly" 0.915791863228901
-825 0.439352326366203 4 19 "GO:0000038" "very long-chain fatty acid metabolic process" 0.847613553034544
-147 0.815007203710856 3 55 "GO:0000041" "transition metal ion transport" 0.958138765027534
-110 0.883108082189164 2 39 "GO:0000045;GO:1905037" "autophagosome organization" 0.97234240399685
294 0.887591977203467 2 5 "GO:0000052" "citrulline metabolic process" 0.974006672263996
539 0.728193817348283 4 9 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.931514251435428
310 0.870456371921689 5 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.970786659983399
-1357 0.275062141003695 4 14 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.734206836492543
-1223 0.005515710570088 5 112 "GO:0000075" "cell cycle checkpoint signaling" 0.0968619399729909
-3513 0.00470475417979664 7 14 "GO:0000076" "DNA replication checkpoint signaling" 0.0858733328489439
-1713 0.015804262705651 2 43 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.186403242547371
-425 0.51857421518652 5 50 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.879616896996757
-3638 0.038439664961203 -1 7 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.31515996294406
813 0.150158692606501 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.595053958600266
1332 0.0451206674572718 2 49 "GO:0000097" "sulfur amino acid biosynthetic process" 0.344565120498754
1769 0.253690757326584 3 9 "GO:0000098" "sulfur amino acid catabolic process" 0.719824896043371
1493 0.266213124213527 2 12 "GO:0000101" "sulfur amino acid transport" 0.728212898251924
-1908 0.218395605109216 2 9 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.683352304025011
118 0.581083282033949 2 486 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.8937689614795
-1217 0.32733952323365 2 14 "GO:0000154" "rRNA modification" 0.777873106585411
1389 0.429370716065403 2 7 "GO:0000160;GO:0009873" "phosphorelay signal transduction system" 0.843349544151151
760 0.149889186627701 2 78 "GO:0000165" "MAPK cascade" 0.594749181722317
-1935 0.167589646649036 2 11 "GO:0000183" "rDNA heterochromatin formation" 0.621768843745869
55 0.959961535613923 3 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.989649234956057
-793 0.023202900156985 9 179 "GO:0000209" "protein polyubiquitination" 0.238750494249991
508 0.662066476540342 2 16 "GO:0000212" "meiotic spindle organization" 0.920915347799148
-441 0.0271635796272031 2 561 "GO:0000226" "microtubule cytoskeleton organization" 0.260723530663172
-1523 0.35425569559239 4 8 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.800382084968683
-2 0.998591397648862 2 25 "GO:0000245" "spliceosomal complex assembly" 0.999129818603741
-643 0.63170541727519 2 12 "GO:0000255;GO:0009172;GO:0009170" "allantoin metabolic process" 0.909646541251109
-2281 0.229402551853286 2 6 "GO:0000266" "mitochondrial fission" 0.696825996883445
-393 0.850106653368683 2 5 "GO:0000270" "peptidoglycan metabolic process" 0.964094082911129
-891 0.302655311896526 3 29 "GO:0000271" "polysaccharide biosynthetic process" 0.755268368523301
1615 0.14060007751737 4 18 "GO:0000272" "polysaccharide catabolic process" 0.582497591502848
-221 0.641133179457878 3 97 "GO:0000278" "mitotic cell cycle" 0.914004714479387
463 0.464949384311876 2 54 "GO:0000281" "mitotic cytokinesis" 0.861068936282174
-733 0.65548123395001 3 8 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.918913802563526
-2472 0.0926927790564577 3 10 "GO:0000290;GO:0110156" "mRNA methylguanosine-cap decapping" 0.488655966862973
544 0.215395154364212 2 113 "GO:0000302" "response to reactive oxygen species" 0.68094731112903
1592 0.33274998619649 6 8 "GO:0000303;GO:0000305" "response to oxygen radical" 0.782329511545709
-1811 0.160204375775295 8 13 "GO:0000338" "protein deneddylation" 0.610775528053384
-18 0.989417365704689 6 12 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.996758319739052
-706 0.298589211650955 2 47 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.752746457091515
-1850 0.0565333219332002 2 23 "GO:0000387" "spliceosomal snRNP assembly" 0.383959860270788
-820 0.640857485683342 2 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.913845702561262
368 0.822984559418704 3 8 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.960943467253673
-1609 0.000108466554313821 5 126 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.00628993029026085
-1761 0.053648036645662 3 26 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.374728506908909
-1851 0.0563707241743287 2 23 "GO:0000422" "autophagy of mitochondrion" 0.383637923567834
