file,total.reads,aligned.read,per.aligned,unaligned.reads,ambig.reads,no.aligned.reads,duplicate.reads,unique.reads,total.Cs,methylated.CpGs,unmethylated.CpGs,methylated.ChGs,unmethylated.ChGs,methylated.CHHs,unmethylated.CHHs,mean.per.alignment,sem.per.alignment
19_R1_001_val_1_bismark_bt2_pe.bam,10348319,715752,6.916601624,9128440,504051,76,203244,512508,7879330,107739,1204858,128941,1370729,432662,4634401,43.6012695,1.32336073
32_R1_001_val_1_bismark_bt2_pe.bam,106451326,38334091,36.01090981,63259766,4845136,12333,18298423,20035668,675189187,2805303,95117154,964645,117470132,4013381,454818572,,
31_R1_001_val_1_bismark_bt2_pe.bam,96793135,35962709,37.15419384,56126066,4693311,11049,21910979,14051730,462877240,1922271,64876141,666200,80137192,2772885,312502551,,
11_R1_001_val_1_bismark_bt2_pe.bam,47084595,18801471,39.93125777,25797871,2479359,5894,8746650,10054821,336625089,1494486,47573248,580471,58365878,2241554,226369452,,
5_R1_001_val_1_bismark_bt2_pe.bam,75322328,30374553,40.32609428,41127069,3811742,8964,20688384,9686169,316684940,1345012,44253690,530260,54587843,2128307,213839828,,
8_R1_001_val_1_bismark_bt2_pe.bam,66070357,27152164,41.09583364,34894550,4016103,7540,15428454,11723710,374039323,1632701,52211263,631429,64600197,2579908,252383825,,
13_R1_001_val_1_bismark_bt2_pe.bam,77946155,32979890,42.31111849,40013218,4945335,7712,21208189,11771701,352049880,1524266,47914310,597116,59994248,2434464,239585476,,
2_R1_001_val_1_bismark_bt2_pe.bam,65290912,27926838,42.77293293,32811676,4545376,7022,24354525,3572313,93760774,419528,12842809,193224,15994300,874526,63436387,,
15_R1_001_val_1_bismark_bt2_pe.bam,68986286,29525858,42.79960513,35048252,4404523,7653,15908203,13617655,416672246,1826064,59198738,713619,72700065,2857039,279376721,,
7_R1_001_val_1_bismark_bt2_pe.bam,67403356,29258259,43.40771845,33755034,4381828,8235,14287359,14970900,469794560,2070509,67257638,761711,82260592,3084931,314359179,,
6_R1_001_val_1_bismark_bt2_pe.bam,41545656,18133162,43.64634897,20710742,2696575,5177,8093283,10039879,319800616,1427633,45588079,558665,55821989,2154026,214250224,,
1_R1_001_val_1_bismark_bt2_pe.bam,80183590,35012777,43.66576378,39745453,5416213,9147,18620399,16392378,503830552,2198334,71979680,865456,87875844,3454165,337457073,,
3_R1_001_val_1_bismark_bt2_pe.bam,54454992,23939307,43.961639,27001798,3507276,6611,9533292,14406015,460897012,2217766,66596928,849240,81341685,3297060,306594333,,
10_R1_001_val_1_bismark_bt2_pe.bam,71044340,31584208,44.45703627,34220247,5231340,8545,16514712,15069496,458927191,2077135,65716098,779677,80376018,3136956,306841307,,
4_R1_001_val_1_bismark_bt2_pe.bam,71206404,31932656,44.84520241,34647871,4617122,8755,17972418,13960238,446655122,2086509,64345984,807133,78668121,3164924,297582451,,
12_R1_001_val_1_bismark_bt2_pe.bam,89218672,40033846,44.87160042,42788643,6386545,9638,21675726,18358120,549366392,2459684,78778527,943579,96261512,3810468,367112622,,
14_R1_001_val_1_bismark_bt2_pe.bam,59397201,26712506,44.97266799,27843075,4835509,6111,9577166,17135340,478880548,2176688,69965371,877441,84833599,3468218,317559231,,
9_R1_001_val_1_bismark_bt2_pe.bam,69125601,31360517,45.36744209,32837063,4920284,7737,18227227,13133290,399974967,1790623,56914728,666026,69828141,2710392,268065057,,
30_R1_001_val_1_bismark_bt2_pe.bam,56605064,25685876,45.37734645,27162711,3748664,7813,14933344,10752532,347489675,1499713,49773466,584211,60640400,2357921,232633964,,
16_R1_001_val_1_bismark_bt2_pe.bam,54998597,25286667,45.97693101,25677110,4029178,5642,17733706,7552961,214263937,886751,28157442,361119,35399569,1551528,147907528,,
22_R1_001_val_1_bismark_bt2_pe.bam,69366382,32065134,46.22575529,32824900,4467699,8649,19915025,12150109,378570655,1673526,53521937,657715,65802146,2692526,254222805,,
28_R1_001_val_1_bismark_bt2_pe.bam,84751018,39364779,46.4475589,39060395,6316400,9444,20647637,18717142,568783281,2623063,82163746,1026699,100370005,4217042,378382726,,
29_R1_001_val_1_bismark_bt2_pe.bam,69998777,32951144,47.07388531,31593373,5446219,8041,15230880,17720264,526208924,2514075,76104494,922563,92834603,3791526,350041663,,
18_R1_001_val_1_bismark_bt2_pe.bam,54604584,25736618,47.13270593,24948589,3913012,6365,14220581,11516037,350558193,1530268,49334979,614757,60592571,2533034,235952584,,
26_R1_001_val_1_bismark_bt2_pe.bam,54619446,26071730,47.7334208,23939291,4602454,5971,9783995,16287735,464495536,2215513,68657579,805192,83127477,3186448,306503327,,
24_R1_001_val_1_bismark_bt2_pe.bam,48776009,23362136,47.89677647,21169149,4239381,5343,9180194,14181942,398377410,1791545,58366830,704716,70674786,2804741,264034792,,
17_R1_001_val_1_bismark_bt2_pe.bam,58004210,27922278,48.13836444,25299098,4775781,7053,12731341,15190937,439467527,2053842,63654751,817660,77245768,3239792,292455714,,
23_R1_001_val_1_bismark_bt2_pe.bam,63308090,30585685,48.31244316,27839503,4875562,7340,15406276,15179409,450375399,1986307,64981568,826210,79351159,3263714,299966441,,
27_R1_001_val_1_bismark_bt2_pe.bam,112085120,54370693,48.50839523,46645320,11056778,12329,24671229,29699464,792670284,3750346,116968386,1364165,141811637,5463371,523312379,,
25_R1_001_val_1_bismark_bt2_pe.bam,69112392,33536333,48.52434134,29596950,5971273,7836,14732027,18804306,537632241,2489177,78903333,907552,95672948,3635004,356024227,,
21_R1_001_val_1_bismark_bt2_pe.bam,111464975,54714483,49.08670459,46257432,10481605,11455,29889213,24825270,680044677,2990192,97345421,1223677,118746624,5060112,454678651,,
20_R1_001_val_1_bismark_bt2_pe.bam,54547661,27433125,50.2920281,20933134,6176459,4943,10977336,16455789,403491568,1936393,60466413,792975,72781484,3209140,264305163,,
,2180115550,,,,,,,,,,,,,,,,
