"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","genes"
"1","anatomical structure development","GO:0048856","GO:0003323",0.00641623804725688,0.999777153011878,2,15,"type B pancreatic cell development","BP","Pver_g563, Pver_g1226, Pver_g1227, Pver_g1228, Pver_g1763, Pver_g2757, Pver_g3783, Pver_g4907, Pver_g7450, Pver_g7934, Pver_g9329, Pver_g15186, Pver_g15276, Pver_g17012, Pver_g26706"
"2","anatomical structure development","GO:0048856","GO:0007498",0.0185943234345582,0.998821116197581,2,26,"mesoderm development","BP","Pver_g1551, Pver_g1777, Pver_g2832, Pver_g3040, Pver_g3121, Pver_g3122, Pver_g3591, Pver_g4022, Pver_g5416, Pver_g5445, Pver_g6713, Pver_g7980, Pver_g8321, Pver_g10667, Pver_g10679, Pver_g14203, Pver_g14903, Pver_g15871, Pver_g16915, Pver_g18316, Pver_g18523, Pver_g21374, Pver_g21567, Pver_g21700, Pver_g22958, Pver_g26288"
"3","anatomical structure development","GO:0048856","GO:0021549",0.0422410556634992,0.995757508865326,2,40,"cerebellum development","BP","Pver_g19, Pver_g1179, Pver_g1382, Pver_g2003, Pver_g2004, Pver_g2010, Pver_g2479, Pver_g2862, Pver_g4021, Pver_g5343, Pver_g6057, Pver_g6262, Pver_g6266, Pver_g6316, Pver_g6667, Pver_g7879, Pver_g9253, Pver_g10251, Pver_g11680, Pver_g12335, Pver_g12961, Pver_g13135, Pver_g14169, Pver_g15747, Pver_g15875, Pver_g16152, Pver_g16835, Pver_g17703, Pver_g18649, Pver_g18724, Pver_g19436, Pver_g19503, Pver_g20468, Pver_g23265, Pver_g23457, Pver_g25622, Pver_g25700, Pver_g26079, Pver_g26455, Pver_novel_45_5de57afd"
"4","anatomical structure development","GO:0048856","GO:0021681",0.0275244883758319,0.999745568822971,1,3,"cerebellar granular layer development","BP","Pver_g7879, Pver_g15747, Pver_g25700"
"5","anatomical structure development","GO:0048856","GO:0021688",0.0092635444081762,1,1,1,"cerebellar molecular layer formation","BP","Pver_g15186"
"6","anatomical structure development","GO:0048856","GO:0021693",0.025459368532299,0.99978252032461,1,3,"cerebellar Purkinje cell layer structural organization","BP","Pver_g1462, Pver_g13350, Pver_g15186"
"7","anatomical structure development","GO:0048856","GO:0022604",0.0227624144275775,0.998371011225087,2,34,"regulation of cell morphogenesis","BP","Pver_g332, Pver_g1861, Pver_g2330, Pver_g3276, Pver_g4852, Pver_g5156, Pver_g7253, Pver_g7558, Pver_g7952, Pver_g8263, Pver_g9820, Pver_g10842, Pver_g15393, Pver_g15584, Pver_g16036, Pver_g16198, Pver_g16210, Pver_g16330, Pver_g16703, Pver_g17001, Pver_g17181, Pver_g17240, Pver_g18187, Pver_g18509, Pver_g19175, Pver_g19576, Pver_g21328, Pver_g21956, Pver_g22283, Pver_g22321, Pver_g23322, Pver_g24142, Pver_g25550, Pver_novel_435_5de57afd"
"8","anatomical structure development","GO:0048856","GO:0030239",0.0272933817341837,0.999718798149369,1,4,"myofibril assembly","BP","Pver_g9534, Pver_g15831_g15832, Pver_g25520, Pver_g25663"
"9","anatomical structure development","GO:0048856","GO:0030857",0.0448934059143162,0.999149341341953,1,6,"negative regulation of epithelial cell differentiation","BP","Pver_g1763, Pver_g6015, Pver_g15186, Pver_g15527, Pver_g18962, Pver_g18963"
"10","anatomical structure development","GO:0048856","GO:0035001",0.00926354440817621,1,1,1,"dorsal trunk growth, open tracheal system","BP","Pver_g18523"
"11","anatomical structure development","GO:0048856","GO:0045605",0.0092635444081762,1,1,1,"negative regulation of epidermal cell differentiation","BP","Pver_g15186"
"12","anatomical structure development","GO:0048856","GO:0045654",0.017761154853103,0.999920814704684,1,2,"positive regulation of megakaryocyte differentiation","BP","Pver_g15449, Pver_g15639"
"13","anatomical structure development","GO:0048856","GO:0045886",0.00363390842145369,0.999908540592567,2,12,"negative regulation of synaptic growth at neuromuscular junction","BP","Pver_g1210, Pver_g5236, Pver_g5871, Pver_g11647, Pver_g14017, Pver_g14655, Pver_g15216, Pver_g15885, Pver_g17434, Pver_g18523, Pver_g19813, Pver_novel_428_5de57afd"
