"","GO.ID","Term","numInCat","numDEI","num.expected.percent","classicFisher","ontology","methylation_status","ParentTerm"
"1","GO:0003676","nucleic acid binding",702,65,30.99,6.2e-11,"MF","hypermethylated","nucleic acid binding"
"2","GO:0016740","transferase activity",702,51,30.99,3.6e-08,"MF","hypermethylated","transferase activity"
"3","GO:0016787","hydrolase activity",556,49,24.54,1.5e-05,"MF","hypermethylated","hydrolase activity"
"4","GO:0004518","nuclease activity",106,16,4.68,2.6e-05,"MF","hypermethylated","hydrolase activity"
"5","GO:0003964","RNA-directed DNA polymerase activity",101,12,4.46,0.00139,"MF","hypermethylated","RNA-directed DNA polymerase activity"
"6","GO:1901363","heterocyclic compound binding",508,24,22.43,0.00439,"MF","hypermethylated","heterocyclic compound binding"
"7","GO:0008270","zinc ion binding",303,23,13.38,0.00608,"MF","hypermethylated","heterocyclic compound binding"
"8","GO:0003887","DNA-directed DNA polymerase activity",10,3,0.44,0.00804,"MF","hypermethylated","RNA-directed DNA polymerase activity"
"9","GO:0003824","catalytic activity",1363,88,60.17,0.0096,"MF","hypermethylated","transferase activity"
"10","GO:0046872","metal ion binding",769,42,33.95,0.02648,"MF","hypermethylated","heterocyclic compound binding"
"11","GO:0004190","aspartic-type endopeptidase activity",27,4,1.19,0.02898,"MF","hypermethylated","hydrolase activity"
"12","GO:0003724","RNA helicase activity",16,3,0.71,0.03092,"MF","hypermethylated","RNA helicase activity"
"13","GO:0008408","3'-5' exonuclease activity",7,2,0.31,0.03512,"MF","hypermethylated","hydrolase activity"
"14","GO:0016888","endodeoxyribonuclease activity, producin...",7,2,0.31,0.03512,"MF","hypermethylated","hydrolase activity"
"15","GO:0003677","DNA binding",232,16,10.24,0.03602,"MF","hypermethylated","nucleic acid binding"
"16","GO:0003676","nucleic acid binding",702,84,37.66,3.1e-18,"MF","hypomethylated","nucleic acid binding"
"17","GO:0008270","zinc ion binding",303,43,16.26,6.4e-10,"MF","hypomethylated","zinc ion binding"
"18","GO:0004518","nuclease activity",106,15,5.69,0.00049,"MF","hypomethylated","nuclease activity"
"19","GO:0003964","RNA-directed DNA polymerase activity",101,13,5.42,0.0025,"MF","hypomethylated","RNA-directed DNA polymerase activity"
"20","GO:0003677","DNA binding",232,19,12.45,0.00421,"MF","hypomethylated","nucleic acid binding"
"21","GO:0000049","tRNA binding",7,3,0.38,0.00453,"MF","hypomethylated","nucleic acid binding"
"22","GO:0003824","catalytic activity",1363,89,73.12,0.00545,"MF","hypomethylated","catalytic activity"
"23","GO:0016787","hydrolase activity",556,41,29.83,0.00681,"MF","hypomethylated","nuclease activity"
"24","GO:1901363","heterocyclic compound binding",508,32,27.25,0.01354,"MF","hypomethylated","zinc ion binding"
"25","GO:0016740","transferase activity",702,46,37.66,0.03348,"MF","hypomethylated","catalytic activity"
