"","GO.ID","Term","numInCat","numDEI","num.expected.percent","classicFisher","ontology","direction","ParentTerm"
"1","GO:0035095","behavioral response to nicotine",20,4,0.18,2.6e-05,"BP","Up","behavioral response to nicotine"
"2","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization"
"3","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization"
"4","GO:0035094","response to nicotine",63,5,0.56,0.00024,"BP","Up","behavioral response to nicotine"
"5","GO:0098849","cellular detoxification of cadmium ion",5,2,0.04,0.00077,"BP","Up","behavioral response to nicotine"
"6","GO:0007271","synaptic transmission, cholinergic",23,3,0.2,0.00107,"BP","Up","synaptic transmission, cholinergic"
"7","GO:0055085","transmembrane transport",1298,23,11.56,0.00109,"BP","Up","transmembrane transport"
"8","GO:0071585","detoxification of cadmium ion",6,2,0.05,0.00115,"BP","Up","behavioral response to nicotine"
"9","GO:0061687","detoxification of inorganic compound",7,2,0.06,0.00161,"BP","Up","behavioral response to nicotine"
"10","GO:0070813","hydrogen sulfide metabolic process",9,2,0.08,0.00272,"BP","Up","hydrogen sulfide metabolic process"
"11","GO:1990170","stress response to cadmium ion",9,2,0.08,0.00272,"BP","Up","behavioral response to nicotine"
"12","GO:0015850","organic hydroxy compound transport",210,7,1.87,0.00275,"BP","Up","organic hydroxy compound transport"
"13","GO:0006750","glutathione biosynthetic process",33,3,0.29,0.0031,"BP","Up","glutathione biosynthetic process"
"14","GO:0006560","proline metabolic process",10,2,0.09,0.00338,"BP","Up","proline metabolic process"
"15","GO:0042953","lipoprotein transport",10,2,0.09,0.00338,"BP","Up","lipoprotein transport"
"16","GO:0060079","excitatory postsynaptic potential",70,4,0.62,0.0035,"BP","Up","synaptic transmission, cholinergic"
"17","GO:0019184","nonribosomal peptide biosynthetic proces...",35,3,0.31,0.00367,"BP","Up","glutathione biosynthetic process"
"18","GO:0032094","response to food",36,3,0.32,0.00398,"BP","Up","behavioral response to nicotine"
"19","GO:0006575","cellular modified amino acid metabolic p...",231,7,2.06,0.00465,"BP","Up","cellular modified amino acid metabolic process"
"20","GO:0044872","lipoprotein localization",12,2,0.11,0.0049,"BP","Up","lipoprotein transport"
"21","GO:0070206","protein trimerization",12,2,0.11,0.0049,"BP","Up","protein complex oligomerization"
"22","GO:0070207","protein homotrimerization",12,2,0.11,0.0049,"BP","Up","protein complex oligomerization"
"23","GO:0006749","glutathione metabolic process",78,4,0.69,0.00516,"BP","Up","cellular modified amino acid metabolic process"
"24","GO:0099565","chemical synaptic transmission, postsyna...",78,4,0.69,0.00516,"BP","Up","synaptic transmission, cholinergic"
"25","GO:1905144","response to acetylcholine",40,3,0.36,0.00536,"BP","Up","behavioral response to nicotine"
"26","GO:0050804","modulation of chemical synaptic transmis...",439,10,3.91,0.00592,"BP","Up","synaptic transmission, cholinergic"
"27","GO:0099177","regulation of trans-synaptic signaling",439,10,3.91,0.00592,"BP","Up","synaptic transmission, cholinergic"
"28","GO:0019471","4-hydroxyproline metabolic process",14,2,0.12,0.00668,"BP","Up","cellular modified amino acid metabolic process"
"29","GO:0045943","positive regulation of transcription by ...",14,2,0.12,0.00668,"BP","Up","positive regulation of transcription by RNA polymerase I"
"30","GO:0010883","regulation of lipid storage",44,3,0.39,0.00701,"BP","Up","lipoprotein transport"
"31","GO:0060078","regulation of postsynaptic membrane pote...",86,4,0.77,0.00728,"BP","Up","regulation of postsynaptic membrane potential"
"32","GO:0097061","dendritic spine organization",86,4,0.77,0.00728,"BP","Up","dendritic spine organization"
"33","GO:0030534","adult behavior",136,5,1.21,0.00739,"BP","Up","adult behavior"
"34","GO:0050773","regulation of dendrite development",88,4,0.78,0.00788,"BP","Up","dendritic spine organization"
"35","GO:0010884","positive regulation of lipid storage",16,2,0.14,0.0087,"BP","Up","lipoprotein transport"
"36","GO:0071276","cellular response to cadmium ion",16,2,0.14,0.0087,"BP","Up","behavioral response to nicotine"
"37","GO:0097501","stress response to metal ion",16,2,0.14,0.0087,"BP","Up","behavioral response to nicotine"
"38","GO:0106027","neuron projection organization",91,4,0.81,0.00885,"BP","Up","dendritic spine organization"
"39","GO:0043436","oxoacid metabolic process",776,14,6.91,0.00931,"BP","Up","oxoacid metabolic process"
"40","GO:0006082","organic acid metabolic process",783,14,6.97,0.01003,"BP","Up","oxoacid metabolic process"
"41","GO:0042742","defense response to bacterium",205,6,1.83,0.01011,"BP","Up","defense response to bacterium"
"42","GO:0008286","insulin receptor signaling pathway",95,4,0.85,0.01026,"BP","Up","behavioral response to nicotine"
"43","GO:0050433","regulation of catecholamine secretion",51,3,0.45,0.01053,"BP","Up","organic hydroxy compound transport"
"44","GO:0051952","regulation of amine transport",99,4,0.88,0.01181,"BP","Up","organic hydroxy compound transport"
"45","GO:0007141","male meiosis I",19,2,0.17,0.01219,"BP","Up","male meiosis I"
"46","GO:0015874","norepinephrine transport",19,2,0.17,0.01219,"BP","Up","organic hydroxy compound transport"
