"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term","dir","gene_id"
"K23881",0.00277121730683788,1,1,1,"KEGG","tectonin beta-propeller repeat-containing protein 2","up","Pver_g13298"
"K23796",0.0028166242216491,1,1,1,"KEGG","pleckstrin homology domain-containing family A member 1/2","up","Pver_g22737"
"K06234",0.00315008292707746,1,1,1,"KEGG","Ras-related protein Rab-23","up","Pver_g71"
"K24482",0.00320076337919522,1,1,1,"KEGG","cytokine receptor-like factor 3","up","Pver_g696"
"K03213",0.00320914517978956,1,1,1,"KEGG","naked cuticle","up","Pver_g13481"
"K04346",0.00323342675905656,1,1,1,"KEGG","guanine nucleotide-binding protein subunit alpha-12","up","Pver_g4609"
"K11344",0.0032425515267667,1,1,1,"KEGG","chromatin modification-related protein EAF6","up","Pver_g1867"
"K00809",0.0032496619510714,1,1,1,"KEGG","deoxyhypusine synthase [EC:2.5.1.46]","up","Pver_g15382"
"K22388",0.00325345950527477,1,1,1,"KEGG","NGFI-A-binding protein","up","Pver_g7717"
"K00993",0.00326479660709575,1,1,1,"KEGG","ethanolaminephosphotransferase [EC:2.7.8.1]","up","Pver_g5863"
"K06875",0.00326746850464457,1,1,1,"KEGG","programmed cell death protein 5","up","Pver_g14"
"K23406",0.00328216742673164,1,1,1,"KEGG","chromatin complexes subunit BAP18","up","Pver_g12427"
"K21198",0.00328559669785155,1,1,1,"KEGG","gamma-soluble NSF attachment protein","up","Pver_g13474"
"K10667",0.00328948972071063,1,1,1,"KEGG","E3 ubiquitin-protein ligase RNF8 [EC:2.3.2.27]","up","Pver_g23130"
"K15120",0.00329057847157656,1,1,1,"KEGG","solute carrier family 25, member 43","up","Pver_g23231"
"K17405",0.00329198735294495,1,1,1,"KEGG","small subunit ribosomal protein S26","up","Pver_g26152"
"K16782",0.0032926187283805,1,1,1,"KEGG","neuralized-like protein 2","up","Pver_g9534"
"K09349",0.00329262007413903,1,1,1,"KEGG","homeobox protein Nkx-5","up","Pver_g16743"
"K14574",0.00329262278601682,1,1,1,"KEGG","ribosome maturation protein SDO1","up","Pver_g5006"
"K12345",0.00329262426297449,1,1,1,"KEGG","3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]","up","Pver_g13043"
"K16541",0.00517491066021854,0.999993367641515,1,2,"KEGG","coiled-coil domain-containing protein 14","up","Pver_g13700"
"K16541",0.00517491066021854,0.999993367641515,1,2,"KEGG","coiled-coil domain-containing protein 14","up","Pver_g15034"
"K10703",0.00545262951677732,0.99999263563121,1,2,"KEGG","very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]","up","Pver_g8869"
"K10703",0.00545262951677732,0.99999263563121,1,2,"KEGG","very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]","up","Pver_g9385"
"K03353",0.0055515204255546,0.999992365699467,1,2,"KEGG","anaphase-promoting complex subunit 6","up","Pver_g5996"
"K03353",0.0055515204255546,0.999992365699467,1,2,"KEGG","anaphase-promoting complex subunit 6","up","Pver_g9424"
"K10475",0.00574458510218487,0.999991824669711,1,2,"KEGG","kelch repeat and BTB domain-containing protein 8","up","Pver_g5180"
"K10475",0.00574458510218487,0.999991824669711,1,2,"KEGG","kelch repeat and BTB domain-containing protein 8","up","Pver_g17264"
"K01974",0.00583564098631984,0.999991563055357,1,2,"KEGG","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]","up","Pver_g15241"
"K01974",0.00583564098631984,0.999991563055357,1,2,"KEGG","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]","up","Pver_g16339"
"K02886",0.00593533971912944,0.999991271869408,1,2,"KEGG","large subunit ribosomal protein L2","up","Pver_g774"
"K02886",0.00593533971912944,0.999991271869408,1,2,"KEGG","large subunit ribosomal protein L2","up","Pver_g4700"
"K13513",0.00614370866685855,0.999990647293757,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]","up","Pver_g14589"
