"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term"
"1","K23881",0.00277121730683788,1,1,1,"KEGG","tectonin beta-propeller repeat-containing protein 2"
"2","K23796",0.0028166242216491,1,1,1,"KEGG","pleckstrin homology domain-containing family A member 1/2"
"3","K06234",0.00315008292707746,1,1,1,"KEGG","Ras-related protein Rab-23"
"4","K24482",0.00320076337919522,1,1,1,"KEGG","cytokine receptor-like factor 3"
"5","K03213",0.00320914517978956,1,1,1,"KEGG","naked cuticle"
"6","K04346",0.00323342675905656,1,1,1,"KEGG","guanine nucleotide-binding protein subunit alpha-12"
"7","K11344",0.0032425515267667,1,1,1,"KEGG","chromatin modification-related protein EAF6"
"8","K00809",0.0032496619510714,1,1,1,"KEGG","deoxyhypusine synthase [EC:2.5.1.46]"
"9","K22388",0.00325345950527477,1,1,1,"KEGG","NGFI-A-binding protein"
"10","K00993",0.00326479660709575,1,1,1,"KEGG","ethanolaminephosphotransferase [EC:2.7.8.1]"
"11","K06875",0.00326746850464457,1,1,1,"KEGG","programmed cell death protein 5"
"12","K23406",0.00328216742673164,1,1,1,"KEGG","chromatin complexes subunit BAP18"
"13","K21198",0.00328559669785155,1,1,1,"KEGG","gamma-soluble NSF attachment protein"
"14","K10667",0.00328948972071063,1,1,1,"KEGG","E3 ubiquitin-protein ligase RNF8 [EC:2.3.2.27]"
"15","K15120",0.00329057847157656,1,1,1,"KEGG","solute carrier family 25, member 43"
"16","K17405",0.00329198735294495,1,1,1,"KEGG","small subunit ribosomal protein S26"
"17","K16782",0.0032926187283805,1,1,1,"KEGG","neuralized-like protein 2"
"18","K09349",0.00329262007413903,1,1,1,"KEGG","homeobox protein Nkx-5"
"19","K14574",0.00329262278601682,1,1,1,"KEGG","ribosome maturation protein SDO1"
"20","K12345",0.00329262426297449,1,1,1,"KEGG","3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]"
"21","K16541",0.00517491066021854,0.999993367641515,1,2,"KEGG","coiled-coil domain-containing protein 14"
"23","K10703",0.00545262951677732,0.99999263563121,1,2,"KEGG","very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]"
"25","K03353",0.0055515204255546,0.999992365699467,1,2,"KEGG","anaphase-promoting complex subunit 6"
"27","K10475",0.00574458510218487,0.999991824669711,1,2,"KEGG","kelch repeat and BTB domain-containing protein 8"
"29","K01974",0.00583564098631984,0.999991563055357,1,2,"KEGG","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]"
"31","K02886",0.00593533971912944,0.999991271869408,1,2,"KEGG","large subunit ribosomal protein L2"
"33","K13513",0.00614370866685855,0.999990647293757,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]"
"36","K20123",0.00628241110133046,0.999990219537514,1,2,"KEGG","protein kinase C and casein kinase substrate in neurons protein"
"38","K01800",0.00650193915481128,0.999989522903096,1,2,"KEGG","maleylacetoacetate isomerase [EC:5.2.1.2]"
"40","K20368",0.0065736429601589,0.999989290154231,1,2,"KEGG","protein cornichon"
"42","K22522",0.0065745786841648,0.999989287099935,1,2,"KEGG","cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]"
"44","K13748",0.00970027408529226,0.999968873445588,1,3,"KEGG","alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]"
"47","K24104",0.00982984673373071,0.999968034461979,1,3,"KEGG","GPN-loop GTPase"
"50","K02295",0.0115234395620551,0.999950557861249,1,4,"KEGG","cryptochrome"
"54","K08997",0.011797803432446,0.999948169432569,1,4,"KEGG","serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]"
"58","K00326",0.0119643903688692,0.999946691610219,1,4,"KEGG","cytochrome-b5 reductase [EC:1.6.2.2]"
"62","K05048",0.0136879963440013,0.999925536998844,1,5,"KEGG","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20"
"67","K00546",0.0161638643831841,0.999896058013729,1,5,"KEGG","histamine N-methyltransferase [EC:2.1.1.8]"
"72","K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin"
"78","GO:0006975",0.0287890982401378,0.999627490701657,1,10,"KEGG",NA
"79","GO:0034754",0.0299415185390925,0.99959689501991,1,10,"KEGG",NA
"80","GO:0031301",0.04860078204387,0.998886466330637,1,16,"KEGG",NA
