"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term"
"1","K13352",0.00374940187335626,1,1,1,"KEGG","peroxin-11B"
"2","K20369",0.00446160113450164,1,1,1,"KEGG","ER-derived vesicles protein"
"3","K22282",0.00639460569275249,1,1,1,"KEGG","fatty acid hydroxylase domain-containing protein 2"
"4","K09546",0.00684148115490869,1,1,1,"KEGG","heat shock protein beta-7"
"5","K19375",0.00691829034819924,1,1,1,"KEGG","HSPB1-associated protein 1"
"6","K03363",0.0074327864562747,1,1,1,"KEGG","cell division cycle 20, cofactor of APC complex"
"8","K07562",0.0075428576429342,1,1,1,"KEGG","nonsense-mediated mRNA decay protein 3"
"9","K02608",0.00754772174294231,1,1,1,"KEGG","origin recognition complex subunit 6"
"10","K09849",0.00756171099774952,1,1,1,"KEGG","TNF receptor-associated factor 5"
"11","K07975",0.00756176931403123,1,1,1,"KEGG","Rho family, other"
"12","K01254",0.00756176931415091,1,1,1,"KEGG","leukotriene-A4 hydrolase [EC:3.3.2.6]"
"13","K03252",0.0075617693141523,1,1,1,"KEGG","translation initiation factor 3 subunit C"
"14","K12657",0.00756176931415308,1,1,1,"KEGG","delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]"
"15","K10392",0.00756176931415309,1,1,1,"KEGG","kinesin family member 1"
"16","K07232",0.00941294520046883,0.999977895742148,1,2,"KEGG","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]"
"18","K07305",0.0101610924130058,0.999974232608469,1,2,"KEGG","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]"
"20","K09542",0.0104860051817871,0.999972553853316,1,2,"KEGG","crystallin, alpha B"
"22","K00253",0.0110373656759119,0.999969583192344,1,2,"KEGG","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
"24","K19465",0.0121889884311646,0.999962883066354,1,2,"KEGG","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]"
"26","K13698",0.0123953888490698,0.999961611369703,1,2,"KEGG","abhydrolase domain-containing protein 4"
"28","K13699",0.0123953888490698,0.999961611369703,1,2,"KEGG","abhydrolase domain-containing protein 5 [EC:2.3.1.51]"
"30","K01667",0.0128822228041464,0.99995852643445,1,2,"KEGG","tryptophanase [EC:4.1.99.1]"
"32","K20371",0.0130108389368163,0.999957691389924,1,2,"KEGG","nucleobindin"
"34","K23677",0.0132205510929493,0.999956311857555,1,2,"KEGG","MFS transporter, Spinster family, sphingosine-1-phosphate transporter"
"36","K11459",0.0144410858946987,0.999947840453356,1,2,"KEGG","polycomb group RING finger protein 4"
"38","K23224",0.0146389562594683,0.999946395892488,1,2,"KEGG","spermatogenesis-associated protein 6"
"40","K19756",0.0148352064590082,0.999944943522905,1,2,"KEGG","radial spoke head protein 4/6"
"42","K03175",0.0150474699755212,0.999943350623581,1,2,"KEGG","TNF receptor-associated factor 6 [EC:2.3.2.27]"
"44","K05681",0.0150637374890145,0.99994322760216,1,2,"KEGG","ATP-binding cassette, subfamily G (WHITE), member 2"
"46","K00318",0.0150644401382911,0.999943222285417,1,2,"KEGG","proline dehydrogenase [EC:1.5.5.2]"
"48","K00844",0.0162114165921653,0.99991235858157,1,3,"KEGG","hexokinase [EC:2.7.1.1]"
"51","K08187",0.0167394069844672,0.998990708253028,2,30,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
"82","K04513",0.0192436985989092,0.999876336509793,1,3,"KEGG","Ras homolog gene family, member A"
"85","K00789",0.0197014809949538,0.999870356009324,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]"
"88","K17924",0.0200777450279445,0.999865333770002,1,3,"KEGG","sorting nexin-10/11"
"91","K19766",0.0200873200791713,0.999838392334432,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11"
"96","K24205",0.0214670631252261,0.999845954783665,1,3,"KEGG","protein lifeguard"
"99","K01874",0.0224892811620298,0.999809834185703,1,4,"KEGG","methionyl-tRNA synthetase [EC:6.1.1.10]"
"103","K00461",0.0297716532755926,0.999665697913513,1,4,"KEGG","arachidonate 5-lipoxygenase [EC:1.13.11.34]"
"107","K18422",0.0299079991632412,0.999662609165057,1,4,"KEGG","helicase MOV-10 [EC:3.6.4.13]"
"111","K11592",0.0299079994518266,0.999662609158505,1,4,"KEGG","endoribonuclease Dicer [EC:3.1.26.-]"
"115","K09627",0.0303714519006175,0.999628994586219,1,5,"KEGG","serine protease 23 [EC:3.4.21.-]"
"121","K08145",0.0342361431890222,0.999527816882102,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8"
"126","K19921",0.0372451187208277,0.999440475181019,1,5,"KEGG","polycystic kidney disease and receptor for egg jelly-related protein"
