"ontology","category","term","over_represented_pvalue","numDEInCat","numInCat","dir","genes"
"KEGG","K00657","diamine N-acetyltransferase [EC:2.3.1.57]",0.00262362427863002,1,1,"up","Pver_g15981"
"KEGG","K00993","ethanolaminephosphotransferase [EC:2.7.8.1]",0.00259408244049557,1,1,"up","Pver_g5863"
"KEGG","K01974","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]",0.00446031700089523,1,2,"up","Pver_g16339"
"KEGG","K02295","cryptochrome",0.0088364269305916,1,4,"up","Pver_g13944"
"KEGG","K02886","large subunit ribosomal protein L2",0.00459516164252486,1,2,"up","Pver_g774"
"KEGG","K03213","naked cuticle",0.0025337859639504,1,1,"up","Pver_g13481"
"KEGG","K03353","anaphase-promoting complex subunit 6",0.0042346580846536,1,2,"up","Pver_g5996"
"KEGG","K04346","guanine nucleotide-binding protein subunit alpha-12",0.00256008376319045,1,1,"up","Pver_g4609"
"KEGG","K05048","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20",0.0104546543389573,1,5,"up","Pver_g22963"
"KEGG","K06875","programmed cell death protein 5",0.00259697838565638,1,1,"up","Pver_g14"
"KEGG","K08489","syntaxin 16",0.00258329029405162,1,1,"up","Pver_g9323"
"KEGG","K08997","serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]",0.00909402813961897,1,4,"up","Pver_g774"
"KEGG","K09349","homeobox protein Nkx-5",0.00262423564634988,1,1,"up","Pver_g16743"
"KEGG","K10475","kelch repeat and BTB domain-containing protein 8",0.00446498689712567,1,2,"up","Pver_g5180"
"KEGG","K11344","chromatin modification-related protein EAF6",0.00256997288298552,1,1,"up","Pver_g1867"
"KEGG","K12345","3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]",0.00262423564634988,1,1,"up","Pver_g13043"
"KEGG","K13513","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]",0.00478725752231521,1,2,"up","Pver_g22809"
"KEGG","K13748","alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]",0.00769455476783105,1,3,"up","Pver_g916"
"KEGG","K15078","structure-specific endonuclease subunit SLX1 [EC:3.6.1.-]",0.00262423564634988,1,1,"up","Pver_g187"
"KEGG","K15120","solute carrier family 25, member 43",0.00262202729822253,1,1,"up","Pver_g23231"
"KEGG","K16541","coiled-coil domain-containing protein 14",0.00407057635037048,1,2,"up","Pver_g15034"
"KEGG","K16782","neuralized-like protein 2",0.00262423506067562,1,1,"up","Pver_g9534"
"KEGG","K20123","protein kinase C and casein kinase substrate in neurons protein",0.0049264350949335,1,2,"up","Pver_g11124"
"KEGG","K20368","protein cornichon",0.00524073361962944,1,2,"up","Pver_g6870"
"KEGG","K22522","cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]",0.00524168873228983,1,2,"up","Pver_g16367"
"KEGG","K23796","pleckstrin homology domain-containing family A member 1/2",0.00212639019895006,1,1,"up","Pver_g22737"
"KEGG","K23881","tectonin beta-propeller repeat-containing protein 2",0.0020841541361058,1,1,"up","Pver_g13298"
"KEGG","K24104","GPN-loop GTPase",0.00783512214683988,1,3,"up","Pver_g3620"
"KEGG","K24482","cytokine receptor-like factor 3",0.00252471916555807,1,1,"up","Pver_g696"
"KEGG","K24686","AN1-type zinc finger protein 3",0.00261886966679354,1,1,"up","Pver_g18486"
"KEGG","K00253","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]",0.0110373656759119,1,2,"down","Pver_g26142"
"KEGG","K00318","proline dehydrogenase [EC:1.5.5.2]",0.0150644401382911,1,2,"down","Pver_g8101"
"KEGG","K00461","arachidonate 5-lipoxygenase [EC:1.13.11.34]",0.0297716532755926,1,4,"down","Pver_g4016"
"KEGG","K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]",0.0197014809949538,1,3,"down","Pver_g18546"
"KEGG","K00844","hexokinase [EC:2.7.1.1]",0.0162114165921653,1,3,"down","Pver_g542"
"KEGG","K01254","leukotriene-A4 hydrolase [EC:3.3.2.6]",0.00756176931415091,1,1,"down","Pver_g16312"
"KEGG","K01667","tryptophanase [EC:4.1.99.1]",0.0128822228041464,1,2,"down","Pver_g11126"
"KEGG","K01874","methionyl-tRNA synthetase [EC:6.1.1.10]",0.0224892811620298,1,4,"down","Pver_g12577"
"KEGG","K02608","origin recognition complex subunit 6",0.00754772174294231,1,1,"down","Pver_g16605"
"KEGG","K03175","TNF receptor-associated factor 6 [EC:2.3.2.27]",0.0150474699755212,1,2,"down","Pver_g7590"
"KEGG","K03252","translation initiation factor 3 subunit C",0.0075617693141523,1,1,"down","Pver_g5890"
"KEGG","K03363","cell division cycle 20, cofactor of APC complex",0.0074327864562747,1,1,"down","Pver_g630"
"KEGG","K04513","Ras homolog gene family, member A",0.0192436985989092,1,3,"down","Pver_g15656"
"KEGG","K05681","ATP-binding cassette, subfamily G (WHITE), member 2",0.0150637374890145,1,2,"down","Pver_g18735"
"KEGG","K07232","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]",0.00941294520046883,1,2,"down","Pver_g2049"
"KEGG","K07305","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]",0.0101610924130058,1,2,"down","Pver_g6370"
"KEGG","K07562","nonsense-mediated mRNA decay protein 3",0.0075428576429342,1,1,"down","Pver_g9524"
"KEGG","K07975","Rho family, other",0.00756176931403123,1,1,"down","Pver_g15656"
"KEGG","K08145","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8",0.0342361431890222,1,5,"down","Pver_g10340"
"KEGG","K08187","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10",0.0167394069844672,2,30,"down","Pver_g6817, Pver_g14920"
"KEGG","K09542","crystallin, alpha B",0.0104860051817871,1,2,"down","Pver_g11517"
"KEGG","K09546","heat shock protein beta-7",0.00684148115490869,1,1,"down","Pver_g11517"
