"","slim_term","slim_cat","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","type","bh_adjust"
"1","cytoplasmic translation","GO:0002181","GO:0002192",0.032715559,0.999638925,1,3,"IRES-dependent translational initiation of linear mRNA","BP","DMG.GO.terms",0.0407903952631579
"2","cell motility","GO:0048870","GO:0002523",0.030970919,0.999676666,1,3,"leukocyte migration involved in inflammatory response","BP","DMG.GO.terms",0.0407903952631579
"3","signaling","GO:0023052","GO:0002758",0.020755057,0.999891471,1,2,"innate immune response-activating signal transduction","BP","DMG.GO.terms",0.0379981114848485
"4","DNA replication","GO:0006260","GO:0006268",0.034400642,0.996985116,2,23,"DNA unwinding involved in DNA replication","BP","DMG.GO.terms",0.0418482036701031
"5","cell adhesion","GO:0007155","GO:0007156",0.014694422,0.997459213,4,81,"homophilic cell adhesion via plasma membrane adhesion molecules","BP","DMG.GO.terms",0.0379981114848485
"6","reproductive process","GO:0022414","GO:0007534",0.02908586,0.999785953,1,2,"gene conversion at mating-type locus","BP","DMG.GO.terms",0.0407903952631579
"7","carbohydrate derivative metabolic process","GO:1901135","GO:0009263",0.036020117,0.996784487,2,21,"deoxyribonucleotide biosynthetic process","BP","DMG.GO.terms",0.04250373806
"8","photosynthesis","GO:0015979","GO:0010109",0.010431793,1,1,1,"regulation of photosynthesis","BP","DMG.GO.terms",0.0349632244390244
"9","reproductive process","GO:0022414","GO:0010520",0.02908586,0.999785953,1,2,"regulation of reciprocal meiotic recombination","BP","DMG.GO.terms",0.0407903952631579
"10","reproductive process","GO:0022414","GO:0010947",0.02908586,0.999785953,1,2,"negative regulation of meiotic joint molecule formation","BP","DMG.GO.terms",0.0407903952631579
"11","signaling","GO:0023052","GO:0014068",0.030523257,0.993386988,4,102,"positive regulation of phosphatidylinositol 3-kinase signaling","BP","DMG.GO.terms",0.0407903952631579
"12","protein modification process","GO:0036211","GO:0017185",0.030970919,0.999676666,1,3,"peptidyl-lysine hydroxylation","BP","DMG.GO.terms",0.0407903952631579
"13","protein modification process","GO:0036211","GO:0018108",0.037410054,0.989490984,5,148,"peptidyl-tyrosine phosphorylation","BP","DMG.GO.terms",0.0437067957623762
"14","protein maturation","GO:0051604","GO:0030070",0.030970919,0.999676666,1,3,"insulin processing","BP","DMG.GO.terms",0.0407903952631579
"15","signaling","GO:0023052","GO:0030072",0.032353,0.999646942,1,3,"peptide hormone secretion","BP","DMG.GO.terms",0.0407903952631579
"16","carbohydrate derivative metabolic process","GO:1901135","GO:0030212",0.043707031,0.999272233,1,4,"hyaluronan metabolic process","BP","DMG.GO.terms",0.0464047116071429
"17","DNA replication","GO:0006260","GO:0032876",0.048361792,0.999107172,1,4,"negative regulation of DNA endoreduplication","BP","DMG.GO.terms",0.049195616
"18","reproductive process","GO:0022414","GO:0035037",0.030970919,0.999676666,1,3,"sperm entry","BP","DMG.GO.terms",0.0407903952631579
"19","cell motility","GO:0048870","GO:0043536",0.046984438,0.995029894,2,32,"positive regulation of blood vessel endothelial cell migration","BP","DMG.GO.terms",0.0486034427478261
"20","generation of precursor metabolites","GO:0006091","GO:0046952",0.04968099,0.99905726,1,4,"ketone body catabolic process","BP","DMG.GO.terms",0.04968099
"21","anatomical structure development","GO:0048856","GO:0050775",0.034309669,0.996981179,2,25,"positive regulation of dendrite morphogenesis","BP","DMG.GO.terms",0.0418482036701031
"22","anatomical structure development","GO:0048856","GO:0051149",0.04404515,0.999260821,1,4,"positive regulation of muscle cell differentiation","BP","DMG.GO.terms",0.0464047116071429
"23","reproductive process","GO:0022414","GO:0060180",0.039504378,0.999471884,1,3,"female mating behavior","BP","DMG.GO.terms",0.0454506926111111
"24","reproductive process","GO:0022414","GO:0060736",0.041080493,0.999357801,1,4,"prostate gland growth","BP","DMG.GO.terms",0.0454506926111111
"25","regulation of transcription, DNA-templated transcription","GO:0006355","GO:0061400",6.52e-05,0.999996065,5,33,"positive regulation of transcription from RNA polymerase II promoter in response to calcium ion","BP","DMG.GO.terms",0.000512906666666667
"26","regulation of transcription, DNA-templated transcription","GO:0006355","GO:0061408",0.041529394,0.999415811,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP","DMG.GO.terms",0.0454506926111111
"27","muscle system process","GO:0003012","GO:0090257",0.041080613,0.999357797,1,4,"regulation of muscle system process","BP","DMG.GO.terms",0.0454506926111111
"28","cell adhesion","GO:0007155","GO:0090330",0.030970919,0.999676666,1,3,"regulation of platelet aggregation","BP","DMG.GO.terms",0.0407903952631579
"29","membrane organization","GO:0061024","GO:0097749",0.049011498,0.999183539,1,3,"membrane tubulation","BP","DMG.GO.terms",0.0494303996923077
"30","transmembrane transport","GO:0055085","GO:0098661",0.030970919,0.999676666,1,3,"inorganic anion transmembrane transport","BP","DMG.GO.terms",0.0407903952631579
"31","cell adhesion","GO:0007155","GO:0099560",0.006762117,0.99976815,2,11,"synaptic membrane adhesion","BP","DMG.GO.terms",0.03191719224
"32","protein modification process","GO:0036211","GO:0100002",0.012148239,1,1,1,"negative regulation of protein kinase activity by protein phosphorylation","BP","DMG.GO.terms",0.0349632244390244
"33","lipid metabolic process","GO:0006629","GO:1900054",0.041598939,0.999341342,1,4,"positive regulation of retinoic acid biosynthetic process","BP","DMG.GO.terms",0.0454506926111111
"34","DNA replication","GO:0006260","GO:1902969",0.030996303,0.999676132,1,3,"mitotic DNA replication","BP","DMG.GO.terms",0.0407903952631579
"35","mitotic cell cycle","GO:0000278","GO:1903047",0.014618422,0.999212334,2,16,"mitotic cell cycle process","BP","DMG.GO.terms",0.0379981114848485
"36","signaling","GO:0023052","GO:1903892",0.020761543,0.999891403,1,2,"negative regulation of ATF6-mediated unfolded protein response","BP","DMG.GO.terms",0.0379981114848485
"37","anatomical structure development","GO:0048856","GO:1905910",0.020755057,0.999891471,1,2,"negative regulation of dauer entry","BP","DMG.GO.terms",0.0379981114848485
