"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes"
"1","ATP-dependent activity","GO:0140657","GO:0060002",0.00929747361684289,0.999290059670427,3,8,"plus-end directed microfilament motor activity","MF",0.0107479871277052,"Pver_gene_g770, Pver_gene_g4857, Pver_gene_g8669, Pver_gene_g9642, Pver_gene_g12177, Pver_gene_g12894, Pver_gene_g14358, Pver_gene_g16631"
"2","DNA repair","GO:0006281","GO:0006302",0.0257309520545652,0.992652600561602,6,53,"double-strand break repair","BP",0.0280341689381997,"Pver_gene_g253, Pver_gene_g1153, Pver_gene_g1723, Pver_gene_g2520, Pver_gene_g2644, Pver_gene_g3306, Pver_gene_g4004, Pver_gene_g4884, Pver_gene_g5183, Pver_gene_g5738, Pver_gene_g6728, Pver_gene_g6847, Pver_gene_g7345, Pver_gene_g7353, Pver_gene_g7527, Pver_gene_g8814, Pver_gene_g8960, Pver_gene_g11432, Pver_gene_g11881, Pver_gene_g11924, Pver_gene_g12023, Pver_gene_g12612, Pver_gene_g13015, Pver_gene_g13968, Pver_gene_g14021, Pver_gene_g14998, Pver_gene_g15691, Pver_gene_g17195, Pver_gene_g18091, Pver_gene_g18341, Pver_gene_g20240, Pver_gene_g22995, Pver_gene_g23384, Pver_gene_g23733, Pver_gene_g24589, Pver_gene_g24836, Pver_gene_g25446, Pver_gene_g25781, Pver_gene_g25976, Pver_gene_g26212, Pver_gene_g26428, Pver_gene_g6016, Pver_gene_g6233, Pver_gene_g7527, Pver_gene_g7552, Pver_gene_g12023, Pver_gene_g13167, Pver_gene_g14013, Pver_gene_g15222, Pver_gene_g16230, Pver_gene_g16994, Pver_gene_g17656, Pver_gene_g18586, Pver_gene_g6233, Pver_gene_g3671, Pver_gene_g13876"
"3","DNA repair","GO:0006281","GO:0036297",0.014803971258396,0.9975943095158,4,25,"interstrand cross-link repair","BP",0.0166996944211829,"Pver_gene_g1830, Pver_gene_g2743, Pver_gene_g2756, Pver_gene_g7353, Pver_gene_g7614, Pver_gene_g8697, Pver_gene_g12266, Pver_gene_g13075, Pver_gene_g13344, Pver_gene_g13480, Pver_gene_g14081, Pver_gene_g15866, Pver_gene_g17693, Pver_gene_g19062, Pver_gene_g25887, Pver_gene_novel_gene_model_gene_417_gene_5de57afd, Pver_gene_g2756, Pver_gene_g5289, Pver_gene_g6068, Pver_gene_g6725, Pver_gene_g7614, Pver_gene_g8182, Pver_gene_g9542, Pver_gene_g9975, Pver_gene_g12467, Pver_gene_g17693, Pver_gene_g19062, Pver_gene_g22881, Pver_gene_g2756, Pver_gene_g9542, Pver_gene_g14893, Pver_gene_g16920"
"4","DNA repair","GO:0006281","GO:0070987",0.0138773024098266,0.999526855730691,2,4,"error-free translesion synthesis","BP",0.015683350511517,"Pver_gene_g1838, Pver_gene_g3388, Pver_gene_g11750, Pver_gene_g18075"
"5","DNA replication","GO:0006260","GO:0031297",0.0251330420067297,0.995186637663606,4,26,"replication fork processing","BP",0.0275055010155841,"Pver_gene_g795, Pver_gene_g1231, Pver_gene_g1909, Pver_gene_g2644, Pver_gene_g2827, Pver_gene_g3983, Pver_gene_g7614, Pver_gene_g8728, Pver_gene_g9387, Pver_gene_g10083, Pver_gene_g12341, Pver_gene_g12733, Pver_gene_g13364, Pver_gene_g14278, Pver_gene_g14809, Pver_gene_g14983, Pver_gene_g15098, Pver_gene_g17026, Pver_gene_g17614, Pver_gene_g17693, Pver_gene_g19062, Pver_gene_g22875, Pver_gene_g25038, Pver_gene_g25515, Pver_gene_g25871, Pver_gene_g26147, Pver_gene_g11140, Pver_gene_g14278"
"6","DNA replication","GO:0006260","GO:0071932",0.0298662256391584,1,1,1,"replication fork reversal","BP",0.0321836853684672,"Pver_gene_g10079"
"7","DNA-templated transcription","GO:0006351","GO:0006368",0.0270755843653216,0.996355406701984,3,15,"transcription elongation by RNA polymerase II promoter","BP",0.0293260988220329,"Pver_gene_g2105, Pver_gene_g5282, Pver_gene_g6729, Pver_gene_g8007, Pver_gene_g8228, Pver_gene_g8820, Pver_gene_g9574, Pver_gene_g10000, Pver_gene_g10446, Pver_gene_g11764, Pver_gene_g16836, Pver_gene_g17675, Pver_gene_g5282, Pver_gene_g9110, Pver_gene_g12127, Pver_gene_g13392, Pver_gene_g17675"
"8","DNA-templated transcription","GO:0006351","GO:0009299",0.0191751255858186,0.999024980485727,2,6,"mRNA transcription","BP",0.0211463462062261,"Pver_gene_g139, Pver_gene_g11353, Pver_gene_g16604, Pver_gene_g17721, Pver_gene_g23610, Pver_gene_g8202"
"9","DNA-templated transcription","GO:0006351","GO:0061400",0.000990008177204784,0.999862685785841,6,33,"positive regulation of transcription from RNA polymerase II promoter in response to calcium ion","BP",0.00136554995311333,"Pver_gene_g3648, Pver_gene_g8164, Pver_gene_g20819, Pver_gene_g1159, Pver_gene_g1161, Pver_gene_g3648, Pver_gene_g5197, Pver_gene_g8163, Pver_gene_g8164, Pver_gene_g10600, Pver_gene_g14059, Pver_gene_g15133, Pver_gene_g16235, Pver_gene_g18125, Pver_gene_g18137, Pver_gene_g20819, Pver_gene_g21757, Pver_gene_g23132, Pver_gene_g24830, Pver_gene_g5589, Pver_gene_g8163, Pver_gene_g8424, Pver_gene_g16467, Pver_gene_g1159, Pver_gene_g8163, Pver_gene_g8424, Pver_gene_g9708, Pver_gene_g9709, Pver_gene_g10372, Pver_gene_g11049, Pver_gene_g13251, Pver_gene_g13361, Pver_gene_g13609, Pver_gene_g16467, Pver_gene_g18125, Pver_gene_g18137, Pver_gene_g18678, Pver_gene_g19037, Pver_gene_g19521, Pver_gene_g19975, Pver_gene_g20776, Pver_gene_g21757, Pver_gene_g24830, Pver_gene_g24888, Pver_gene_g26510"
"10","RNA binding","GO:0003723","GO:0003729",0.0334238386404918,0.985248575721142,11,148,"mRNA binding","MF",0.0354556387876782,"Pver_gene_g168, Pver_gene_g451, Pver_gene_g457, Pver_gene_g545, Pver_gene_g879, Pver_gene_g896, Pver_gene_g937, Pver_gene_g1267, Pver_gene_g1351, Pver_gene_g1486, Pver_gene_g1873, Pver_gene_g1887, Pver_gene_g1913, Pver_gene_g2045, Pver_gene_g2121, Pver_gene_g2342, Pver_gene_g2368, Pver_gene_g2495, Pver_gene_g2609, Pver_gene_g2857, Pver_gene_g3317, Pver_gene_g3403, Pver_gene_g4063, Pver_gene_g4200, Pver_gene_g4249, Pver_gene_g4251, Pver_gene_g4533, Pver_gene_g4557, Pver_gene_g4653, Pver_gene_g4705, Pver_gene_g4742, Pver_gene_g4794, Pver_gene_g4829, Pver_gene_g5046, Pver_gene_g5074, Pver_gene_g5087, Pver_gene_g5336, Pver_gene_g5395, Pver_gene_g5549, Pver_gene_g5852, Pver_gene_g5978, Pver_gene_g6043, Pver_gene_g6630, Pver_gene_g6948, Pver_gene_g7208, Pver_gene_g7600, Pver_gene_g7970, Pver_gene_g8074, Pver_gene_g8214, Pver_gene_g8216, Pver_gene_g8652, Pver_gene_g8928, Pver_gene_g9061, Pver_gene_g9393, Pver_gene_g9397, Pver_gene_g9423, Pver_gene_g9495, Pver_gene_g9496, Pver_gene_g9779, Pver_gene_g9883, Pver_gene_g9907, Pver_gene_g10007, Pver_gene_g10110, Pver_gene_g10215, Pver_gene_g10243, Pver_gene_g10334, Pver_gene_g10520, Pver_gene_g10564, Pver_gene_g10694, Pver_gene_g10710, Pver_gene_g10774, Pver_gene_g10816, Pver_gene_g10922, Pver_gene_g11204, Pver_gene_g11220, Pver_gene_g11221, Pver_gene_g11592, Pver_gene_g11727, Pver_gene_g12393, Pver_gene_g12642, Pver_gene_g13095, Pver_gene_g13163, Pver_gene_g13398, Pver_gene_g13454, Pver_gene_g14012, Pver_gene_g14077, Pver_gene_g14351, Pver_gene_g14741, Pver_gene_g14772, Pver_gene_g15063, Pver_gene_g15077, Pver_gene_g15172, Pver_gene_g15482, Pver_gene_g15677, Pver_gene_g15854, Pver_gene_g16253, Pver_gene_g16271, Pver_gene_g16562, Pver_gene_g16596, Pver_gene_g16619, Pver_gene_g16677, Pver_gene_g16688, Pver_gene_g16740, Pver_gene_g16937, Pver_gene_g16962, Pver_gene_g17193, Pver_gene_g17251, Pver_gene_g17555, Pver_gene_g17638, Pver_gene_g17915, Pver_gene_g18102, Pver_gene_g18177, Pver_gene_g20675, Pver_gene_g20768, Pver_gene_g21617, Pver_gene_g22782, Pver_gene_g23002, Pver_gene_g23114, Pver_gene_g23117, Pver_gene_g23144, Pver_gene_g23379, Pver_gene_g24119, Pver_gene_g24282, Pver_gene_g25101, Pver_gene_g25762, Pver_gene_g25840, Pver_gene_g26081, Pver_gene_g26144, Pver_gene_g26294, Pver_gene_novel_gene_model_gene_235_gene_5de57afd, Pver_gene_g198, Pver_gene_g545, Pver_gene_g4780, Pver_gene_g9043, Pver_gene_g9635, Pver_gene_g10695, Pver_gene_g12642, Pver_gene_g14077, Pver_gene_g14779, Pver_gene_g14836, Pver_gene_g16304, Pver_gene_g16562, Pver_gene_g16689, Pver_gene_g17790, Pver_gene_g23144, Pver_gene_g4829, Pver_gene_g12642, Pver_gene_g17790, Pver_gene_g23149, Pver_gene_g23669, Pver_gene_g7087, Pver_gene_g11247, Pver_gene_g11835, Pver_gene_g20943, Pver_gene_g22145, Pver_gene_g22190, Pver_gene_g24030"
