"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0015074",1.37292169108193e-43,1,86,855,"DNA integration","BP"
"2","GO:0006259",4.37252011206728e-21,1,34,282,"DNA metabolic process","BP"
"3","GO:0090304",1.85599665157308e-16,1,27,226,"nucleic acid metabolic process","BP"
"4","GO:0006278",7.03081074443369e-10,1,24,329,"RNA-templated DNA biosynthetic process","BP"
"5","GO:0061400",6.36391639398994e-05,0.999996179330981,5,33,"positive regulation of transcription from RNA polymerase II promoter in response to calcium ion","BP"
"6","GO:0006310",0.000187418099449638,0.99995146848102,13,266,"DNA recombination","BP"
"7","GO:0090305",0.000197147741306659,0.999959683951113,10,164,"nucleic acid phosphodiester bond hydrolysis","BP"
"8","GO:0016032",0.000373966905996031,0.999978770232895,4,21,"viral process","BP"
"9","GO:0099560",0.0067156960483463,0.999770565937388,2,11,"synaptic membrane adhesion","BP"
"10","GO:0046713",0.0104086557268182,1,1,1,"borate transport","BP"
"11","GO:0042182",0.010408655734933,1,1,1,"ketone catabolic process","BP"
"12","GO:0010109",0.0104086557385277,1,1,1,"regulation of photosynthesis","BP"
"13","GO:1903833",0.01209642527808,1,1,1,"positive regulation of cellular response to amino acid starvation","BP"
"14","GO:1904803",0.01209642527808,1,1,1,"regulation of translation involved in cellular response to UV","BP"
"15","GO:1990451",0.01209642527808,1,1,1,"cellular stress response to acidic pH","BP"
"16","GO:1990625",0.01209642527808,1,1,1,"negative regulation of cytoplasmic translational initiation in response to stress","BP"
"17","GO:1903047",0.0145146647585162,0.999220863936271,2,16,"mitotic cell cycle process","BP"
"18","GO:0007156",0.0145159329615121,0.99749917936222,4,81,"homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"19","GO:2000546",0.017534223724383,0.998943132684101,2,19,"positive regulation of endothelial cell chemotaxis to fibroblast growth factor","BP"
"20","GO:0051703",0.0207092653696951,0.999891953689079,1,2,"biological process involved in intraspecies interaction between organisms","BP"
"21","GO:0030536",0.020709265388252,0.999891953688884,1,2,"larval feeding behavior","BP"
"22","GO:0080119",0.0207092653908158,0.999891953688857,1,2,"ER body organization","BP"
"23","GO:0070889",0.0207092653977515,0.999891953688784,1,2,"platelet alpha granule organization","BP"
"24","GO:0042044",0.0207092654011032,0.999891953688749,1,2,"fluid transport","BP"
"25","GO:1901570",0.0207092654119601,0.999891953688635,1,2,"fatty acid derivative biosynthetic process","BP"
"26","GO:1905910",0.0207092654119743,0.999891953688635,1,2,"negative regulation of dauer entry","BP"
"27","GO:0002758",0.0207092654145877,0.999891953688608,1,2,"innate immune response-activating signaling pathway","BP"
"28","GO:0045905",0.0207092654168269,0.999891953688584,1,2,"positive regulation of translational termination","BP"
"29","GO:1903892",0.0207156431850818,0.999891886777789,1,2,"negative regulation of ATF6-mediated unfolded protein response","BP"
"30","GO:2001159",0.0209567383181902,1,1,1,"regulation of protein localization by the Cvt pathway","BP"
"31","GO:0051348",0.0211990730925241,0.999886754055007,1,2,"negative regulation of transferase activity","BP"
"32","GO:0071232",0.0223795145205522,0.999873715063326,1,2,"cellular response to histidine","BP"
"33","GO:0010863",0.0227232961914945,0.998410424981201,2,22,"positive regulation of phospholipase C activity","BP"
"34","GO:1905564",0.0229308243167062,0.998388128924286,2,22,"positive regulation of vascular endothelial cell proliferation","BP"
"35","GO:0072755",0.023491399330704,0.999860775920141,1,2,"cellular response to benomyl","BP"
"36","GO:0045901",0.0244675540508099,0.999848889672394,1,2,"positive regulation of translational elongation","BP"
"37","GO:0007534",0.028901543454505,0.999788680123739,1,2,"gene conversion at mating-type locus","BP"
"38","GO:0010520",0.028901543454505,0.999788680123739,1,2,"regulation of reciprocal meiotic recombination","BP"
"39","GO:0010947",0.028901543454505,0.999788680123739,1,2,"negative regulation of meiotic joint molecule formation","BP"
"40","GO:0014068",0.0301800020932211,0.993484255461107,4,102,"positive regulation of phosphatidylinositol 3-kinase signaling","BP"
"41","GO:0043604",0.0309029474919356,0.999678098093317,1,3,"amide biosynthetic process","BP"
"42","GO:0090330",0.0309029475154887,0.999678098092823,1,3,"regulation of platelet aggregation","BP"
"43","GO:0098661",0.0309029475217158,0.999678098092692,1,3,"inorganic anion transmembrane transport","BP"
"44","GO:0017185",0.0309029475237478,0.99967809809265,1,3,"peptidyl-lysine hydroxylation","BP"
"45","GO:0030070",0.0309029475271583,0.999678098092578,1,3,"insulin processing","BP"
"46","GO:0035037",0.030902947528926,0.999678098092541,1,3,"sperm entry","BP"
"47","GO:1905528",0.030902947528926,0.999678098092541,1,3,"positive regulation of Golgi lumen acidification","BP"
"48","GO:0002523",0.0309029475411066,0.999678098092285,1,3,"leukocyte migration involved in inflammatory response","BP"
"49","GO:0009597",0.0309029475414714,0.999678098092278,1,3,"detection of virus","BP"
"50","GO:1902969",0.0309279080669094,0.999677574208617,1,3,"mitotic DNA replication","BP"
"51","GO:0046296",0.0320093117935731,0.999654462213962,1,3,"glycolate catabolic process","BP"
"52","GO:0030072",0.0322619976606705,0.999648944762543,1,3,"peptide hormone secretion","BP"
"53","GO:0070314",0.0325945291516436,0.999641616274446,1,3,"G1 to G0 transition","BP"
