gene_id	GO.ID
Pver_g10011	GO:0005794;GO:0006895
Pver_g10036	GO:0016021
Pver_g10041	GO:0009987;GO:0005515;GO:0005654;GO:0003676;GO:0003677
Pver_g10043	unknown
Pver_g10049	GO:0003006;GO:0007188;GO:0030154;GO:0044703;GO:0048513;GO:0038023;GO:0042562;GO:0016020;GO:0007186;GO:0004930;GO:0005515;GO:0016500;GO:0016021
Pver_g10056	GO:0003824;GO:0016020;GO:0032504;GO:0016021
Pver_g10072	GO:0050794;GO:0005515;GO:0005737;GO:0005819;GO:0012505;GO:0016020;GO:0043231
Pver_g10093	GO:0009611;GO:0010033;GO:0031175;GO:0033554;GO:0034330;GO:0042127;GO:0048518;GO:0060255;GO:0060541;GO:0005515;GO:0005576;GO:0062023;GO:0070160;GO:0007155;GO:0007156;GO:0005044;GO:0005509;GO:0005886;GO:0016020
Pver_g10102	unknown
Pver_g10107	GO:0003351;GO:0030317;GO:0036159;GO:0000166;GO:0008569;GO:0043167;GO:0045505;GO:0051959;GO:0005829;GO:0036126;GO:0036156;GO:0006164;GO:0007018;GO:0003824;GO:0003938;GO:0005524;GO:0016491;GO:0030286
Pver_g1012	GO:0001947;GO:0003147;GO:0003253;GO:0008284;GO:0015884;GO:0017015;GO:0031103;GO:0046655;GO:0060828;GO:0061626;GO:0061713;GO:0071231;GO:0005515;GO:0005542;GO:0051870;GO:0061714;GO:0005576;GO:0005634;GO:0016323;GO:0016324;GO:0030133;GO:0030135;GO:0030141;GO:0031362;GO:0070013;GO:0098588
Pver_g10142	GO:0016043;GO:0032501;GO:0051649;GO:0051656;GO:0003676;GO:0005515;GO:0015630;GO:0043531
Pver_g10165	GO:0032501;GO:0050794;GO:0043227;GO:0120025
Pver_g10189	unknown
Pver_g10204	GO:0003824;GO:0005634;GO:0005737
Pver_g1030	GO:0110165;GO:0005515;GO:0010466;GO:0010951;GO:0004867;GO:0030414;GO:0005576;GO:0005581;GO:0042151
Pver_g10305	GO:0009987;GO:0071702;GO:0071704;GO:0071705;GO:0005515;GO:0005886;GO:0012505;GO:0031410
Pver_g10306	GO:0071704;GO:0008233;GO:0016740;GO:0005524;GO:0008716;GO:0016757;GO:0046872
Pver_g10311	GO:0006468;GO:0050896;GO:0004672;GO:0110165;GO:0015074;GO:0003676;GO:0005524;GO:0008270;GO:0000166;GO:0004386
Pver_g10348	unknown
Pver_g10373	GO:0035091
Pver_g10385	GO:0001822;GO:0003008;GO:0006950;GO:0008104;GO:0009887;GO:0042221;GO:0048523;GO:0050793;GO:0071704;GO:0098771;GO:0005488;GO:0005576;GO:0031012;GO:0042995;GO:0043227;GO:0043229;GO:0098590;GO:0005509
Pver_g10455	GO:0015711;GO:0048522;GO:0015075;GO:0005737;GO:0005886;GO:0012505;GO:0043231;GO:0055085;GO:0022857;GO:0016021
Pver_g10467	GO:0007186;GO:0007610;GO:0048518;GO:0008528;GO:0042277;GO:0042562;GO:0005886;GO:0043227;GO:0120025;GO:0004930;GO:0016021;GO:0007165;GO:0016020
Pver_g10477	GO:0005524;GO:0003677;GO:0004672;GO:0046872
Pver_g10549	GO:0016021
Pver_g10598	GO:0003676;GO:0003824;GO:0016020
Pver_g10641	unknown
Pver_g10650	GO:0003676
