"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-259 0.120479419515905 3 9 "GO:0000149" "SNARE binding" 0.7008380934051
-6 0.850075977810566 3 252 "GO:0000166;GO:1901265;GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:0017076;GO:0032553;GO:0097367" "anion binding" 1
-35 0.824404545009441 2 10 "GO:0001664" "G protein-coupled receptor binding" 0.986052495011292
31 0.48753249744888 2 132 "GO:0001965;GO:0005092;GO:0008022;GO:0043621;GO:0070840" "G-protein alpha-subunit binding" 0.974767682868734
-73 0.0125159117069285 3 376 "GO:0003676" "nucleic acid binding" 0.564105592468571
-88 0.107458146526388 2 87 "GO:0003677" "DNA binding" 0.7008380934051
84 0.580391137073996 2 11 "GO:0003682" "chromatin binding" 0.975744410164275
-151 0.394034704641871 2 8 "GO:0003690" "double-stranded DNA binding" 0.915986314351731
246 0.103105226780294 2 11 "GO:0003700" "DNA-binding transcription factor activity" 0.7008380934051
1 0.994662139007004 2 9 "GO:0003712;GO:0003713" "transcription coregulator activity" 1
65 0.450560107016091 2 34 "GO:0003723" "RNA binding" 0.970029406869937
335 0.0584539223260718 2 8 "GO:0003724;GO:0008186" "ATP-dependent activity, acting on RNA" 0.644531442279573
-72 0.682569679174227 2 8 "GO:0003729" "mRNA binding" 0.975744410164275
191 0.393386446333142 2 5 "GO:0003735" "structural constituent of ribosome" 0.915986314351731
-48 0.787494617354133 1 8 "GO:0003774" "cytoskeletal motor activity" 0.982674723341759
16 0.508443837048134 1 688 "GO:0003824" "catalytic activity" 0.974767682868734
90 0.659919742653703 2 6 "GO:0003887" "DNA-directed DNA polymerase activity" 0.975744410164275
-236 0.21290134490438 5 7 "GO:0003924" "GTPase activity" 0.755518785875148
25 0.674206526342711 2 73 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.975744410164275
92 0.25511733668831 4 39 "GO:0004175" "endopeptidase activity" 0.785086728664914
