Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
C17_R1_001	pass	0.0	warn	144.922017926	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	9995964.0	pass	fail	pass	42.0	56.8426430815	C17_R1_001.clean.fastq.gz	fail	pass
C17_R2_001	pass	0.0	warn	144.781949595	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	9995964.0	pass	warn	pass	42.0	56.0476002831	C17_R2_001.clean.fastq.gz	pass	pass
C18_R1_001	pass	0.0	warn	144.198215508	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	8932177.0	pass	fail	pass	42.0	59.8611067993	C18_R1_001.clean.fastq.gz	fail	pass
C18_R2_001	pass	0.0	warn	144.076611558	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	8932177.0	pass	warn	pass	42.0	59.0135546573	C18_R2_001.clean.fastq.gz	pass	pass
C19_R1_001	pass	0.0	warn	144.715602581	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	9904246.0	pass	fail	pass	42.0	57.7146831467	C19_R1_001.clean.fastq.gz	fail	pass
C19_R2_001	pass	0.0	warn	144.590137604	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	9904246.0	pass	warn	pass	41.0	56.69375952	C19_R2_001.clean.fastq.gz	pass	pass
C20_R1_001	pass	0.0	warn	144.799960261	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	warn	9532236.0	pass	fail	pass	42.0	58.8488761593	C20_R1_001.clean.fastq.gz	fail	pass
C20_R2_001	pass	0.0	warn	144.652002112	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	9532236.0	pass	warn	pass	42.0	57.9796070155	C20_R2_001.clean.fastq.gz	pass	pass
C21_R1_001	pass	0.0	warn	145.390318301	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	6603882.0	pass	fail	pass	43.0	63.5753597236	C21_R1_001.clean.fastq.gz	fail	pass
C21_R2_001	pass	0.0	warn	145.26120606	Sanger / Illumina 1.9	pass	warn	100-150	Conventional base calls	pass	pass	6603882.0	pass	warn	pass	43.0	62.6047071605	C21_R2_001.clean.fastq.gz	pass	pass
