sample.ID,trimmed.reads,overall.alignment.rate (%),mean,st.err
C17_R1_001.fastq.gz,19053464,1.26,2.3784375,0.307670458
C17_R2_001.fastq.gz,19053464,,,
C18_R1_001.fastq.gz,17448563,2.44,,
C18_R2_001.fastq.gz,17448563,,,
C19_R1_001.fastq.gz,18977336,1.01,,
C19_R2_001.fastq.gz,18977336,,,
C20_R1_001.fastq.gz,18346189,2.73,,
C20_R2_001.fastq.gz,18346189,,,
C21_R1_001.fastq.gz,12569436,7.97,,
C21_R2_001.fastq.gz,12569436,,,
C22_R1_001.fastq.gz,17783162,2.52,,
C22_R2_001.fastq.gz,17783162,,,
C23_R1_001.fastq.gz,15920237,3.51,,
C23_R2_001.fastq.gz,15920237,,,
C24_R1_001.fastq.gz,17244418,0.26,,
C24_R2_001.fastq.gz,17244418,,,
C25_R1_001.fastq.gz,22683683,1.59,,
C25_R2_001.fastq.gz,22683683,,,
C26_R1_001.fastq.gz,17679573,2.99,,
C26_R2_001.fastq.gz,17679573,,,
C27_R1_001.fastq.gz,18756419,1.9,,
C27_R2_001.fastq.gz,18756419,,,
C28_R1_001.fastq.gz,18131021,0.61,,
C28_R2_001.fastq.gz,18131021,,,
C29_R1_001.fastq.gz,13714128,1.59,,
C29_R2_001.fastq.gz,13714128,,,
C30_R1_001.fastq.gz,20242216,1.37,,
C30_R2_001.fastq.gz,20242216,,,
C31_R1_001.fastq.gz,18796208,2.07,,
C31_R2_001.fastq.gz,18796208,,,
C32_R1_001.fastq.gz,20583523,2.67,,
C32_R2_001.fastq.gz,20583523,,,
E1_R1_001.fastq.gz,19467393,1.11,,
E1_R2_001.fastq.gz,19467393,,,
E10_R1_001.fastq.gz,22441661,0.57,,
E10_R2_001.fastq.gz,22441661,,,
E11_R1_001.fastq.gz,14185860,1.29,,
E11_R2_001.fastq.gz,14185860,,,
E12_R1_001.fastq.gz,21608172,0.77,,
E12_R2_001.fastq.gz,21608172,,,
E13_R1_001.fastq.gz,18961264,1.33,,
E13_R2_001.fastq.gz,18961264,,,
E14_R1_001.fastq.gz,17170729,3.73,,
E14_R2_001.fastq.gz,17170729,,,
E15_R1_001.fastq.gz,17920244,7,,
E15_R2_001.fastq.gz,17920244,,,
E16_R1_001.fastq.gz,22697805,2.64,,
E16_R2_001.fastq.gz,22697805,,,
E2_R1_001.fastq.gz,18593178,2.1,,
E2_R2_001.fastq.gz,18593178,,,
E3_R1_001.fastq.gz,19740214,2.25,,
E3_R2_001.fastq.gz,19740214,,,
E4_R1_001.fastq.gz,16639960,3.22,,
E4_R2_001.fastq.gz,16639960,,,
E5_R1_001.fastq.gz,12558989,1.83,,
E5_R2_001.fastq.gz,12558989,,,
E6_R1_001.fastq.gz,18968203,1.1,,
E6_R2_001.fastq.gz,18968203,,,
E7_R1_001.fastq.gz,18431790,1.72,,
E7_R2_001.fastq.gz,18431790,,,
E8_R1_001.fastq.gz,17970740,5.58,,
E8_R2_001.fastq.gz,17970740,,,
E9_R1_001.fastq.gz,19333946,3.38,,
E9_R2_001.fastq.gz,19333946,,,
