"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","genes"
"1","anatomical structure development","GO:0048856","GO:0003323",0.00755983380765083,0.999714012734327,2,15,"type B pancreatic cell development","BP","Pver_gene_g563, Pver_gene_g1226, Pver_gene_g1227, Pver_gene_g1228, Pver_gene_g1763, Pver_gene_g2757, Pver_gene_g3783, Pver_gene_g4907, Pver_gene_g7450, Pver_gene_g7934, Pver_gene_g9329, Pver_gene_g15186, Pver_gene_g15276, Pver_gene_g17012, Pver_gene_g26706"
"2","anatomical structure development","GO:0048856","GO:0007498",0.0218777042306053,0.998487314689863,2,26,"mesoderm development","BP","Pver_gene_g1551, Pver_gene_g1777, Pver_gene_g2832, Pver_gene_g3040, Pver_gene_g3121, Pver_gene_g3122, Pver_gene_g3591, Pver_gene_g4022, Pver_gene_g5416, Pver_gene_g5445, Pver_gene_g6713, Pver_gene_g7980, Pver_gene_g8321, Pver_gene_g10667, Pver_gene_g10679, Pver_gene_g14203, Pver_gene_g14903, Pver_gene_g15871, Pver_gene_g16915, Pver_gene_g18316, Pver_gene_g18523, Pver_gene_g21374, Pver_gene_g21567, Pver_gene_g21700, Pver_gene_g22958, Pver_gene_g26288"
"3","anatomical structure development","GO:0048856","GO:0021549",0.0493518228854991,0.994600511651144,2,40,"cerebellum development","BP","Pver_gene_g19, Pver_gene_g1179, Pver_gene_g1382, Pver_gene_g2003, Pver_gene_g2004, Pver_gene_g2010, Pver_gene_g2479, Pver_gene_g2862, Pver_gene_g4021, Pver_gene_g5343, Pver_gene_g6057, Pver_gene_g6262, Pver_gene_g6266, Pver_gene_g6316, Pver_gene_g6667, Pver_gene_g7879, Pver_gene_g9253, Pver_gene_g10251, Pver_gene_g11680, Pver_gene_g12335, Pver_gene_g12961, Pver_gene_g13135, Pver_gene_g14169, Pver_gene_g15747, Pver_gene_g15875, Pver_gene_g16152, Pver_gene_g16835, Pver_gene_g17703, Pver_gene_g18649, Pver_gene_g18724, Pver_gene_g19436, Pver_gene_g19503, Pver_gene_g20468, Pver_gene_g23265, Pver_gene_g23457, Pver_gene_g25622, Pver_gene_g25700, Pver_gene_g26079, Pver_gene_g26455, Pver_novel_gene_45_5de57afd"
"4","anatomical structure development","GO:0048856","GO:0021681",0.0301176233073864,0.999694890032948,1,3,"cerebellar granular layer development","BP","Pver_gene_g7879, Pver_gene_g15747, Pver_gene_g25700"
"5","anatomical structure development","GO:0048856","GO:0021688",0.010145767901764,1,1,1,"cerebellar molecular layer formation","BP","Pver_gene_g15186"
"6","anatomical structure development","GO:0048856","GO:0021693",0.0277538974754566,0.999741181778596,1,3,"cerebellar Purkinje cell layer structural organization","BP","Pver_gene_g1462, Pver_gene_g13350, Pver_gene_g15186"
"7","anatomical structure development","GO:0048856","GO:0022604",0.0265266517866416,0.997939201746081,2,34,"regulation of cell morphogenesis","BP","Pver_gene_g332, Pver_gene_g1861, Pver_gene_g2330, Pver_gene_g3276, Pver_gene_g4852, Pver_gene_g5156, Pver_gene_g7253, Pver_gene_g7558, Pver_gene_g7952, Pver_gene_g8263, Pver_gene_g9820, Pver_gene_g10842, Pver_gene_g15393, Pver_gene_g15584, Pver_gene_g16036, Pver_gene_g16198, Pver_gene_g16210, Pver_gene_g16330, Pver_gene_g16703, Pver_gene_g17001, Pver_gene_g17181, Pver_gene_g17240, Pver_gene_g18187, Pver_gene_g18509, Pver_gene_g19175, Pver_gene_g19576, Pver_gene_g21328, Pver_gene_g21956, Pver_gene_g22283, Pver_gene_g22321, Pver_gene_g23322, Pver_gene_g24142, Pver_gene_g25550, Pver_novel_gene_435_5de57afd"
"8","anatomical structure development","GO:0048856","GO:0030239",0.0296306351133672,0.99966811406802,1,4,"myofibril assembly","BP","Pver_gene_g9534, Pver_gene_g15831_gene_g15832, Pver_gene_g25520, Pver_gene_g25663"
"9","anatomical structure development","GO:0048856","GO:0030857",0.0487608921443042,0.998994503491642,1,6,"negative regulation of epithelial cell differentiation","BP","Pver_gene_g1763, Pver_gene_g6015, Pver_gene_g15186, Pver_gene_g15527, Pver_gene_g18962, Pver_gene_g18963"
"10","anatomical structure development","GO:0048856","GO:0035001",0.010145767901764,1,1,1,"dorsal trunk growth, open tracheal system","BP","Pver_gene_g18523"
"11","anatomical structure development","GO:0048856","GO:0035193",0.0096237288919154,1,1,1,"larval central nervous system remodeling","BP","Pver_gene_g12634"
"12","anatomical structure development","GO:0048856","GO:0045476",0.0096237288919154,1,1,1,"nurse cell apoptotic process","BP","Pver_gene_g12634"
"13","anatomical structure development","GO:0048856","GO:0045477",0.0096237288919154,1,1,1,"regulation of nurse cell apoptotic process","BP","Pver_gene_g12634"
"14","anatomical structure development","GO:0048856","GO:0045605",0.010145767901764,1,1,1,"negative regulation of epidermal cell differentiation","BP","Pver_gene_g15186"
"15","anatomical structure development","GO:0048856","GO:0045654",0.0193501920286021,0.999905898948924,1,2,"positive regulation of megakaryocyte differentiation","BP","Pver_gene_g15449, Pver_gene_g15639"
"16","anatomical structure development","GO:0048856","GO:0045886",0.00427892509235152,0.999882817825142,2,12,"negative regulation of synaptic growth at neuromuscular junction","BP","Pver_gene_g1210, Pver_gene_g5236, Pver_gene_g5871, Pver_gene_g11647, Pver_gene_g14017, Pver_gene_g14655, Pver_gene_g15216, Pver_gene_g15885, Pver_gene_g17434, Pver_gene_g18523, Pver_gene_g19813, Pver_novel_gene_428_5de57afd"
"17","anatomical structure development","GO:0048856","GO:0048630",0.010145767901764,1,1,1,"skeletal muscle tissue growth","BP","Pver_gene_g15186"
