"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1675","GO:0004708",0.00105201804543826,0.999985242366703,2,21,"MAP kinase kinase activity","MF",1
"2027","GO:0005634",0.00115939921667168,0.999654848319918,13,2120,"nucleus","CC",1
"11951","GO:0060502",0.00204219528431186,1,1,1,"epithelial cell proliferation involved in lung morphogenesis","BP",1
"13995","GO:0097211",0.00220205087209175,1,1,1,"cellular response to gonadotropin-releasing hormone","BP",1
"14586","GO:0106070",0.00220205087209175,1,1,1,"regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP",1
"15572","GO:1903306",0.00220205087209175,1,1,1,"negative regulation of regulated secretory pathway","BP",1
"15317","GO:1902440",0.002352884360439,1,1,1,"protein localization to mitotic spindle pole body","BP",1
"16471","GO:1990811",0.002352884360439,1,1,1,"MWP complex","CC",1
"6118","GO:0030178",0.00239461537794881,0.999947785391382,2,30,"negative regulation of Wnt signaling pathway","BP",1
"6796","GO:0031752",0.00256008376319045,1,1,1,"D5 dopamine receptor binding","MF",1
"16392","GO:1990468",0.00256997288298552,1,1,1,"NuA3b histone acetyltransferase complex","CC",1
"1406","GO:0004307",0.00259408244049557,1,1,1,"ethanolaminephosphotransferase activity","MF",1
"15680","GO:1903638",0.00259697838565638,1,1,1,"positive regulation of protein insertion into mitochondrial outer membrane","BP",1
"5891","GO:0021858",0.00261954390693358,1,1,1,"GABAergic neuron differentiation in basal ganglia","BP",1
"7245","GO:0032918",0.00262362427863002,1,1,1,"spermidine acetylation","BP",1
"7246","GO:0032919",0.00262362427863002,1,1,1,"spermine acetylation","BP",1
"7247","GO:0032920",0.00262362427863002,1,1,1,"putrescine acetylation","BP",1
"10043","GO:0046204",0.00262362427863002,1,1,1,"nor-spermidine metabolic process","BP",1
"5907","GO:0021893",0.00262423564634988,1,1,1,"cerebral cortex GABAergic interneuron fate commitment","BP",1
"8950","GO:0042816",0.00262423564634988,1,1,1,"vitamin B6 metabolic process","BP",1
"13351","GO:0072082",0.00262423564634988,1,1,1,"specification of proximal tubule identity","BP",1
"15430","GO:1902871",0.00262423564634988,1,1,1,"positive regulation of amacrine cell differentiation","BP",1
"15743","GO:1903845",0.00262423564634988,1,1,1,"negative regulation of cellular response to transforming growth factor beta stimulus","BP",1
"16826","GO:2000820",0.00262423564634988,1,1,1,"negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation","BP",1
"10318","GO:0046983",0.00311370679219189,0.999657530240197,4,246,"protein dimerization activity","MF",1
"8915","GO:0042752",0.00314614118395833,0.999920265761378,2,38,"regulation of circadian rhythm","BP",1
"6166","GO:0030250",0.00386666974712334,0.999996311741547,1,2,"guanylate cyclase activator activity","MF",1
"4397","GO:0010856",0.00406049018875005,0.999995932318223,1,2,"adenylate cyclase activator activity","MF",1
"5742","GO:0019954",0.00418093395484782,0.9999956871606,1,2,"asexual reproduction","BP",1
"7700","GO:0034455",0.00426099831222571,0.999995520215715,1,2,"t-UTP complex","CC",1
"302","GO:0000910",0.0043071583217269,0.999995422522086,1,2,"cytokinesis","BP",1
"9877","GO:0045746",0.00430998241639723,0.999871408736159,2,40,"negative regulation of Notch signaling pathway","BP",1
"13705","GO:0090170",0.00434975575929428,0.999995331431339,1,2,"regulation of Golgi inheritance","BP",1
"5464","GO:0019005",0.00439827239234022,0.999867157154043,2,42,"SCF ubiquitin ligase complex","CC",1
"1242","GO:0003963",0.00446031700089523,0.999995090809204,1,2,"RNA-3'-phosphate cyclase activity","MF",1
"1370","GO:0004145",0.00452650669589055,0.999994943855997,1,2,"diamine N-acetyltransferase activity","MF",1
"7450","GO:0033557",0.00472856087012681,0.999994481821249,1,2,"Slx1-Slx4 complex","CC",1
"1108","GO:0003428",0.0047954222604296,0.999994324471639,1,2,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP",1
