"ontology","slim_term","slim_cat","category","term","over_represented_pvalue","numDEInCat","numInCat","genes"
"BP","anatomical structure development","GO:0048856","GO:0003323","type B pancreatic cell development",0.0064262226710783,2,15,"Pver_gene_g15186, Pver_gene_g17012"
"BP","anatomical structure development","GO:0048856","GO:0007498","mesoderm development",0.018822819223133,2,26,"Pver_gene_g10679, Pver_gene_g18523"
"BP","anatomical structure development","GO:0048856","GO:0021549","cerebellum development",0.0399565982263505,2,39,"Pver_gene_g6262, Pver_gene_g25700"
"BP","anatomical structure development","GO:0048856","GO:0021681","cerebellar granular layer development",0.024285707417582,1,3,"Pver_gene_g25700"
"BP","anatomical structure development","GO:0048856","GO:0021688","cerebellar molecular layer formation",0.00807063297234212,1,1,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0021693","cerebellar Purkinje cell layer structural organization",0.0242033389959338,1,3,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0021702","cerebellar Purkinje cell differentiation",0.0401536084382595,1,5,"Pver_gene_g25700"
"BP","anatomical structure development","GO:0048856","GO:0022604","regulation of cell morphogenesis",0.0294184092074921,2,33,"Pver_gene_g21328, Pver_gene_g25550"
"BP","anatomical structure development","GO:0048856","GO:0030239","myofibril assembly",0.0243048186776228,1,3,"Pver_gene_g9534"
"BP","anatomical structure development","GO:0048856","GO:0030857","negative regulation of epithelial cell differentiation",0.0477492181712964,1,6,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0031152","aggregation involved in sorocarp development",0.0479255075418734,1,6,"Pver_gene_g7570"
"BP","anatomical structure development","GO:0048856","GO:0033327","Leydig cell differentiation",0.0476190253765635,1,6,"Pver_gene_g22737"
"BP","anatomical structure development","GO:0048856","GO:0035001","dorsal trunk growth, open tracheal system",0.00808615176754049,1,1,"Pver_gene_g18523"
"BP","anatomical structure development","GO:0048856","GO:0035193","larval central nervous system remodeling",0.00817032658211558,1,1,"Pver_gene_g12634"
"BP","anatomical structure development","GO:0048856","GO:0045476","nurse cell apoptotic process",0.00817032658211558,1,1,"Pver_gene_g12634"
"BP","anatomical structure development","GO:0048856","GO:0045477","regulation of nurse cell apoptotic process",0.00817032658211558,1,1,"Pver_gene_g12634"
"BP","anatomical structure development","GO:0048856","GO:0045605","negative regulation of epidermal cell differentiation",0.00807063297234212,1,1,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0045654","positive regulation of megakaryocyte differentiation",0.0161200791327841,1,2,"Pver_gene_g15639"
"BP","anatomical structure development","GO:0048856","GO:0045886","negative regulation of synaptic growth at neuromuscular junction",0.00341557492585197,2,11,"Pver_gene_g5236, Pver_gene_g18523"
"BP","anatomical structure development","GO:0048856","GO:0048630","skeletal muscle tissue growth",0.00807063297234212,1,1,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0048631","regulation of skeletal muscle tissue growth",0.00807063297234212,1,1,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0048633","positive regulation of skeletal muscle tissue growth",0.0399290715922185,1,5,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0048646","anatomical structure formation involved in morphogenesis",0.0242191879964598,1,3,"Pver_gene_g3838"
"BP","anatomical structure development","GO:0048856","GO:0050767","regulation of neurogenesis",0.039939887404374,2,39,"Pver_gene_g8642, Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0060136","embryonic process involved in female pregnancy",0.0321083878576372,1,4,"Pver_gene_g16604"
"BP","anatomical structure development","GO:0048856","GO:0060215","primitive hemopoiesis",0.0399152823982689,1,5,"Pver_gene_g6262"
"BP","anatomical structure development","GO:0048856","GO:0060853","Notch signaling pathway involved in arterial endothelial cell fate commitment",0.0160523703924409,1,2,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0072013","glomus development",0.00810341553137405,1,1,"Pver_gene_g4013"
"BP","anatomical structure development","GO:0048856","GO:0072070","loop of Henle development",0.0321654241497301,1,4,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0072082","specification of proximal tubule identity",0.00810341553137405,1,1,"Pver_gene_g4013"
"BP","anatomical structure development","GO:0048856","GO:0072196","proximal/distal pattern formation involved in pronephric nephron development",0.00810341553137405,1,1,"Pver_gene_g4013"
"BP","anatomical structure development","GO:0048856","GO:0097102","endothelial tip cell fate specification",0.00807063297234212,1,1,"Pver_gene_g15186"
"BP","anatomical structure development","GO:0048856","GO:0097186","amelogenesis",0.0243049822749466,1,3,"Pver_gene_g16873"
"BP","anatomical structure development","GO:0048856","GO:0098773","skin epidermis development",0.0161408623591075,1,2,"Pver_gene_g15186"
