"ontology","slim_term","slim_cat","category","term","over_represented_pvalue","numDEInCat","numInCat","genes"
"BP","aging","GO:0007568","GO:0090399","replicative senescence",0.00427964484026648,4,10,"Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","anatomical structure development","GO:0048856","GO:0001502","cartilage condensation",0.0173583183168279,6,30,"Pver_gene_g1804, Pver_gene_g3685, Pver_gene_g7863, Pver_gene_g20922, Pver_gene_g25751, Pver_gene_g26180"
"BP","anatomical structure development","GO:0048856","GO:0001541","ovarian follicle development",0.000806358431570804,9,37,"Pver_gene_g7800, Pver_gene_g10536, Pver_gene_g12197, Pver_gene_g13306, Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687, Pver_gene_g26493"
"BP","anatomical structure development","GO:0048856","GO:0001542","ovulation from ovarian follicle",0.0258513835229202,2,4,"Pver_gene_g9866, Pver_gene_g10536"
"BP","anatomical structure development","GO:0048856","GO:0001570","vasculogenesis",0.041320281666408,7,46,"Pver_gene_g10679, Pver_gene_g12044, Pver_gene_g13306, Pver_gene_g14034, Pver_gene_g18962, Pver_gene_g18963, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0001706","endoderm formation",0.0134206067755156,2,3,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0001756","somitogenesis",0.0194097697174496,9,55,"Pver_gene_g3246, Pver_gene_g5976, Pver_gene_g14683, Pver_gene_g17904, Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g20922, Pver_gene_g23687"
"BP","anatomical structure development","GO:0048856","GO:0001822","kidney development",0.0442079635795904,18,149,"Pver_gene_g654, Pver_gene_g2016, Pver_gene_g3783, Pver_gene_g5307, Pver_gene_g6232, Pver_gene_g8131, Pver_gene_g8405, Pver_gene_g14127, Pver_gene_g14498, Pver_gene_g14499, Pver_gene_g14707, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100, Pver_gene_g26445"
"BP","anatomical structure development","GO:0048856","GO:0001923","B-1 B cell differentiation",0.0137987662896512,2,3,"Pver_gene_g979, Pver_gene_g981"
"BP","anatomical structure development","GO:0048856","GO:0002040","sprouting angiogenesis",0.0375643316995489,7,40,"Pver_gene_g8550, Pver_gene_g11229, Pver_gene_g13306, Pver_gene_g14737, Pver_gene_g15078, Pver_gene_g17501, Pver_gene_g26085"
"BP","anatomical structure development","GO:0048856","GO:0002119","nematode larval development",0.00985289401615736,3,7,"Pver_gene_g6958, Pver_gene_g11498, Pver_gene_g18710"
