"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:1901838",1.45927605497288e-05,0.999999901145096,3,6,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP"
"2","GO:0035095",2.16279625249225e-05,0.999999434565547,4,18,"behavioral response to nicotine","BP"
"3","GO:0070813",0.000253274864752121,0.999999222589085,2,3,"hydrogen sulfide metabolic process","BP"
"4","GO:0007271",0.000521706161879125,0.999965618567382,4,40,"synaptic transmission, cholinergic","BP"
"5","GO:0070221",0.000804499266071036,0.999992736675629,2,5,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP"
"6","GO:0070460",0.000935102223364232,0.99996138932926,3,21,"thyroid-stimulating hormone secretion","BP"
"7","GO:0060084",0.000935444770300091,0.999990883142631,2,5,"synaptic transmission involved in micturition","BP"
"8","GO:0042744",0.00111677166679521,0.999908239937646,4,53,"hydrogen peroxide catabolic process","BP"
"9","GO:0006590",0.00124740644449297,0.999942512377539,3,23,"thyroid hormone generation","BP"
"10","GO:0007274",0.00128432138781103,0.999940205646227,3,23,"neuromuscular synaptic transmission","BP"
"11","GO:0015755",0.00129514562963975,0.999983801384713,2,6,"fructose transmembrane transport","BP"
"12","GO:0070837",0.00129514562963975,0.999983801384713,2,6,"dehydroascorbic acid transport","BP"
"13","GO:0035094",0.00161058128762432,0.999853446261177,4,56,"response to nicotine","BP"
"14","GO:0042759",0.00170173395419004,0.999974179161883,2,7,"long-chain fatty acid biosynthetic process","BP"
"15","GO:1904659",0.0018268159182631,0.999971261235527,2,7,"glucose transmembrane transport","BP"
"16","GO:0006979",0.00223057178532501,0.999609576873325,6,159,"response to oxidative stress","BP"
"17","GO:0019370",0.00261917171696123,0.999948560920274,2,8,"leukotriene biosynthetic process","BP"
"18","GO:0008286",0.00314928057768524,0.999793505544959,3,32,"insulin receptor signaling pathway","BP"
"19","GO:0045886",0.00388995005918343,0.999898589498333,2,12,"negative regulation of synaptic growth at neuromuscular junction","BP"
"20","GO:0009414",0.00396973237618904,0.999895425638803,2,12,"response to water deprivation","BP"
"21","GO:0007268",0.00422192392700941,0.999020389844904,7,236,"chemical synaptic transmission","BP"
"22","GO:0072013",0.00555591379929181,1,1,1,"glomus development","BP"
"23","GO:0072082",0.00555591379929181,1,1,1,"specification of proximal tubule identity","BP"
"24","GO:0072196",0.00555591379929181,1,1,1,"proximal/distal pattern formation involved in pronephric nephron development","BP"
"25","GO:0051596",0.00562655591166482,1,1,1,"methylglyoxal catabolic process","BP"
"26","GO:0095500",0.00741445184842394,0.999724685184125,2,14,"acetylcholine receptor signaling pathway","BP"
"27","GO:0032919",0.00804417815839422,1,1,1,"spermine acetylation","BP"
"28","GO:0032920",0.00804417815839422,1,1,1,"putrescine acetylation","BP"
"29","GO:0046204",0.00804417815839422,1,1,1,"nor-spermidine metabolic process","BP"
"30","GO:0009691",0.00816437144655953,0.999983346230077,1,2,"cytokinin biosynthetic process","BP"
"31","GO:0019761",0.00821748016785105,1,1,1,"glucosinolate biosynthetic process","BP"
"32","GO:0050877",0.00912560047631053,0.998629513149748,4,88,"nervous system process","BP"
"33","GO:0035193",0.00916404712410057,1,1,1,"larval central nervous system remodeling","BP"
"34","GO:0045476",0.00916404712410057,1,1,1,"nurse cell apoptotic process","BP"
"35","GO:0045477",0.00916404712410057,1,1,1,"regulation of nurse cell apoptotic process","BP"
"36","GO:1903638",0.00927129937626578,1,1,1,"positive regulation of protein insertion into mitochondrial outer membrane","BP"
"37","GO:0043972",0.00949503201171554,1,1,1,"histone H3-K23 acetylation","BP"
"38","GO:0044154",0.00949503201171554,1,1,1,"histone H3-K14 acetylation","BP"
"39","GO:0032099",0.00957361648791765,1,1,1,"negative regulation of appetite","BP"
"40","GO:0032915",0.00982376510922541,1,1,1,"positive regulation of transforming growth factor beta2 production","BP"
"41","GO:0110024",0.00982376510922541,1,1,1,"positive regulation of cardiac muscle myoblast proliferation","BP"
"42","GO:0009630",0.00983062398067214,1,1,1,"gravitropism","BP"
"43","GO:0010540",0.00983062398067214,1,1,1,"basipetal auxin transport","BP"
"44","GO:0080167",0.00983062398067214,1,1,1,"response to karrikin","BP"
"45","GO:2001301",0.00988100935145868,1,1,1,"lipoxin biosynthetic process","BP"
"46","GO:0072738",0.00989190501203163,1,1,1,"cellular response to diamide","BP"
"47","GO:1904843",0.00989190501203163,1,1,1,"cellular response to nitroglycerin","BP"
"48","GO:1990911",0.00989190501203163,1,1,1,"response to psychosocial stress","BP"
"49","GO:0019954",0.00989191224986046,1,1,1,"asexual reproduction","BP"
"50","GO:0031276",0.00989191224986046,1,1,1,"negative regulation of lateral pseudopodium assembly","BP"
"51","GO:0061122",0.00989191224986046,1,1,1,"positive regulation of positive chemotaxis to cAMP","BP"
"52","GO:0106070",0.00989191224986046,1,1,1,"regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"53","GO:1904515",0.00989191224986046,1,1,1,"positive regulation of TORC2 signaling","BP"
"54","GO:0006592",0.00989191224986444,1,1,1,"ornithine biosynthetic process","BP"
"55","GO:0021688",0.00989191224986444,1,1,1,"cerebellar molecular layer formation","BP"
"56","GO:0035001",0.00989191224986444,1,1,1,"dorsal trunk growth, open tracheal system","BP"
"57","GO:0045605",0.00989191224986444,1,1,1,"negative regulation of epidermal cell differentiation","BP"
"58","GO:0048630",0.00989191224986444,1,1,1,"skeletal muscle tissue growth","BP"
"59","GO:0048631",0.00989191224986444,1,1,1,"regulation of skeletal muscle tissue growth","BP"
"60","GO:0097102",0.00989191224986444,1,1,1,"endothelial tip cell fate specification","BP"
"61","GO:0070327",0.0103962771227935,0.99952981241609,2,17,"thyroid hormone transport","BP"
"62","GO:0006730",0.0108124925531984,0.999500873326725,2,17,"one-carbon metabolic process","BP"
"63","GO:0042113",0.0114475767996241,0.999449955215688,2,19,"B cell activation","BP"
"64","GO:0044375",0.0155855805167683,0.999939081854229,1,2,"regulation of peroxisome size","BP"
"65","GO:0032918",0.0157368013425514,0.999937889214878,1,2,"spermidine acetylation","BP"
"66","GO:0032693",0.0158113896634962,0.999937296664199,1,2,"negative regulation of interleukin-10 production","BP"
"67","GO:0016557",0.0159455021320504,0.999936224103135,1,2,"peroxisome membrane biogenesis","BP"
"68","GO:0044179",0.0163716037086998,0.999025006432682,2,28,"hemolysis in other organism","BP"
"69","GO:0035795",0.0165939567036917,0.999930908709613,1,2,"negative regulation of mitochondrial membrane permeability","BP"
"70","GO:0072655",0.0165939567036917,0.999930908709613,1,2,"establishment of protein localization to mitochondrion","BP"
"71","GO:0030036",0.017149502626505,0.996885985558594,4,111,"actin cytoskeleton organization","BP"
"72","GO:0006691",0.0171731872628552,0.9989707633594,2,21,"leukotriene metabolic process","BP"
"73","GO:1900365",0.0176404257463068,0.999921878098419,1,2,"positive regulation of mRNA polyadenylation","BP"
"74","GO:0045654",0.0184984138718021,0.999914056422405,1,2,"positive regulation of megakaryocyte differentiation","BP"
"75","GO:1903645",0.0185761747600404,0.999913328916562,1,2,"negative regulation of chaperone-mediated protein folding","BP"
"76","GO:0019233",0.0187607830313577,0.997572829815343,3,63,"sensory perception of pain","BP"
"77","GO:0043067",0.0189073851638605,0.999910195544467,1,2,"regulation of programmed cell death","BP"
"78","GO:0055114",0.019000307459649,0.996437147882977,4,121,"oxidation-reduction process","BP"
