"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","response to stress","GO:0006950","GO:0002540",0.0480025267176662,0.999025835453737,1,6,"leukotriene production involved in inflammatory response","BP"
"2","response to stress","GO:0006950","GO:0002931",0.0246039109420421,0.998174728639329,2,30,"response to ischemia","BP"
"3","anatomical structure development","GO:0048856","GO:0003323",0.0064262226710783,0.999776497702086,2,15,"type B pancreatic cell development","BP"
"4","small molecule metabolic process","GO:0044281","GO:0006431",0.0399420401160384,0.999354312769739,1,5,"methionyl-tRNA aminoacylation","BP"
"5","catabolic process","GO:0009056","GO:0006511",0.00705859963278073,0.998195032239773,7,272,"ubiquitin-dependent protein catabolic process","BP"
"6","small molecule metabolic process","GO:0044281","GO:0006551",0.0161828427248871,0.999934289719681,1,2,"leucine metabolic process","BP"
"7","biosynthetic process","GO:0009058","GO:0006556",0.0400190348931443,0.99935180040339,1,5,"S-adenosylmethionine biosynthetic process","BP"
"8","small molecule metabolic process","GO:0044281","GO:0006560",0.0161369776830936,0.999934663184592,1,2,"proline metabolic process","BP"
"9","small molecule metabolic process","GO:0044281","GO:0006561",0.0242892137973737,0.999802080247844,1,3,"proline biosynthetic process","BP"
"10","small molecule metabolic process","GO:0044281","GO:0006562",0.0241760439496056,0.999803930355256,1,3,"proline catabolic process","BP"
"11","small molecule metabolic process","GO:0044281","GO:0006592",0.00815900434410117,1,1,1,"ornithine biosynthetic process","BP"
"12","small molecule metabolic process","GO:0044281","GO:0006691",0.0124773352845411,0.999367523765179,2,21,"leukotriene metabolic process","BP"
"13","small molecule metabolic process","GO:0044281","GO:0006730",0.00826816310571526,0.999667949285037,2,17,"one-carbon metabolic process","BP"
"14","response to stress","GO:0006950","GO:0006979",0.00183013586755903,0.999691855397498,6,157,"response to oxidative stress","BP"
"15","signal transduction","GO:0007165","GO:0007188",0.0458610948090833,0.995171605645634,2,42,"adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP"
"16","signal transduction","GO:0007165","GO:0007219",0.0276638771226797,0.99417279626277,4,140,"Notch signaling pathway","BP"
"17","cell-cell signaling","GO:0007267","GO:0007268",0.00560543883283213,0.998812557861209,6,197,"chemical synaptic transmission","BP"
"18","cell-cell signaling","GO:0007267","GO:0007271",0.00362169775258422,0.999747736474636,3,38,"synaptic transmission, cholinergic","BP"
"19","cell-cell signaling","GO:0007267","GO:0007274",0.000726221026077005,0.99997238151775,3,22,"neuromuscular synaptic transmission","BP"
"20","anatomical structure development","GO:0048856","GO:0007498",0.018822819223133,0.998798222476439,2,26,"mesoderm development","BP"
"21","transport","GO:0006810","GO:0008088",0.0321778903215869,0.999608171994853,1,4,"axo-dendritic transport","BP"
"22","signal transduction","GO:0007165","GO:0008286",0.00183011251259448,0.99990131185543,3,30,"insulin receptor signaling pathway","BP"
"23","biosynthetic process","GO:0009058","GO:0009299",0.0320566940827776,0.999611138219947,1,4,"mRNA transcription","BP"
"24","response to stress","GO:0006950","GO:0009414",0.004116596208126,0.999889480903669,2,12,"response to water deprivation","BP"
"25","cellular nitrogen compound metaboli...","GO:0034641","GO:0009447",0.0241479249109365,0.999804388684679,1,3,"putrescine catabolic process","BP"
"26","biosynthetic process","GO:0009058","GO:0009691",0.0161765234349252,0.999934341239452,1,2,"cytokinin biosynthetic process","BP"
"27","small molecule metabolic process","GO:0044281","GO:0010133",0.0321374081432785,0.999609164049326,1,4,"proline catabolic process to glutamate","BP"
"28","transport","GO:0006810","GO:0010540",0.00802831481177877,1,1,1,"basipetal auxin transport","BP"
"29","locomotion","GO:0040011","GO:0010762",0.0320134951997341,0.999612192731881,1,4,"regulation of fibroblast migration","BP"
"30","protein maturation","GO:0051604","GO:0010954",0.0476932729102266,0.999038467212748,1,6,"positive regulation of protein processing","BP"
"31","protein maturation","GO:0051604","GO:0010955",0.0475561087615457,0.999044042912716,1,6,"negative regulation of protein processing","BP"
"32","cell death","GO:0008219","GO:0012501",0.0321712703891424,0.999608334309814,1,4,"programmed cell death","BP"
"33","transport","GO:0006810","GO:0014059",0.040049185511186,0.996094056811363,2,39,"regulation of dopamine secretion","BP"
"34","transport","GO:0006810","GO:0015670",0.0400942588409901,0.999349341030248,1,5,"carbon dioxide transport","BP"
"35","transport","GO:0006810","GO:0015755",0.000967171110312933,0.999989567184373,2,6,"fructose transmembrane transport","BP"
"36","transport","GO:0006810","GO:0015801",0.040047037983321,0.999350885422977,1,5,"aromatic amino acid transport","BP"
"37","small molecule metabolic process","GO:0044281","GO:0015936",0.0399566042897864,0.999353837915989,1,5,"coenzyme A metabolic process","BP"
"38","developmental maturation","GO:0021700","GO:0016188",0.0478777493992082,0.999030942211669,1,6,"synaptic vesicle maturation","BP"
"39","cellular protein modification proce...","GO:0006464","GO:0016567",0.00106934449929321,0.999704289502241,11,443,"protein ubiquitination","BP"
"40","lipid metabolic process","GO:0006629","GO:0019216",0.0262024038318907,0.997986445567664,2,31,"regulation of lipid metabolic process","BP"
"41","nervous system process","GO:0050877","GO:0019233",0.0146937813613959,0.998263835724196,3,63,"sensory perception of pain","BP"
"42","small molecule metabolic process","GO:0044281","GO:0019240",0.016262965686723,0.999933634728286,1,2,"citrulline biosynthetic process","BP"
"43","small molecule metabolic process","GO:0044281","GO:0019370",0.00179940392620403,0.999970812875106,2,8,"leukotriene biosynthetic process","BP"
"44","small molecule metabolic process","GO:0044281","GO:0019372",0.0321860263895311,0.999607972458879,1,4,"lipoxygenase pathway","BP"
"45","small molecule metabolic process","GO:0044281","GO:0019470",0.0161369776830936,0.999934663184592,1,2,"4-hydroxyproline catabolic process","BP"
"46","small molecule metabolic process","GO:0044281","GO:0019761",0.00815662599427372,1,1,1,"glucosinolate biosynthetic process","BP"
"47","reproduction","GO:0000003","GO:0019954",0.00817031412706748,1,1,1,"asexual reproduction","BP"
"48","anatomical structure development","GO:0048856","GO:0021549",0.0399565982263505,0.996107981555681,2,39,"cerebellum development","BP"
"49","anatomical structure development","GO:0048856","GO:0021681",0.024285707417582,0.999802137702209,1,3,"cerebellar granular layer development","BP"
"50","anatomical structure development","GO:0048856","GO:0021688",0.00807063297234212,1,1,1,"cerebellar molecular layer formation","BP"
"51","anatomical structure development","GO:0048856","GO:0021693",0.0242033389959338,0.999803484937967,1,3,"cerebellar Purkinje cell layer structural organization","BP"
"52","anatomical structure development","GO:0048856","GO:0021702",0.0401536084382595,0.999347397312328,1,5,"cerebellar Purkinje cell differentiation","BP"
"53","anatomical structure development","GO:0048856","GO:0022604",0.0294184092074921,0.997587658874886,2,33,"regulation of cell morphogenesis","BP"
"54","cytoskeleton organization","GO:0007010","GO:0030036",0.012531571749711,0.997924844978374,4,110,"actin cytoskeleton organization","BP"
"55","signal transduction","GO:0007165","GO:0030178",0.0161011102293968,0.999058056801899,2,24,"negative regulation of Wnt signaling pathway","BP"
"56","extracellular matrix organization","GO:0030198","GO:0030199",0.0403018085392485,0.992948284565739,3,93,"collagen fibril organization","BP"
"57","anatomical structure development","GO:0048856","GO:0030239",0.0243048186776228,0.999801824449227,1,3,"myofibril assembly","BP"
"58","cellular component assembly","GO:0022607","GO:0030423",0.0476145326465475,0.999041670011867,1,6,"targeting of mRNA for destruction involved in RNA interference","BP"
"59","anatomical structure development","GO:0048856","GO:0030857",0.0477492181712964,0.999036188302043,1,6,"negative regulation of epithelial cell differentiation","BP"
"60","anatomical structure development","GO:0048856","GO:0031152",0.0479255075418734,0.999028989231557,1,6,"aggregation involved in sorocarp development","BP"
"61","cellular component assembly","GO:0022607","GO:0031276",0.00817031412706748,1,1,1,"negative regulation of lateral pseudopodium assembly","BP"
"62","catabolic process","GO:0009056","GO:0032436",0.016676082851786,0.997931847446235,3,66,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"63","homeostatic process","GO:0042592","GO:0032849",0.0241851578656964,0.999803781685606,1,3,"positive regulation of cellular pH reduction","BP"
"64","cellular nitrogen compound metaboli...","GO:0034641","GO:0032918",0.0080763317926142,1,1,1,"spermidine acetylation","BP"
"65","cellular nitrogen compound metaboli...","GO:0034641","GO:0032919",0.0080763317926142,1,1,1,"spermine acetylation","BP"
"66","cellular nitrogen compound metaboli...","GO:0034641","GO:0032920",0.0080763317926142,1,1,1,"putrescine acetylation","BP"
"67","anatomical structure development","GO:0048856","GO:0033327",0.0476190253765635,0.999041487414361,1,6,"Leydig cell differentiation","BP"
"68","anatomical structure development","GO:0048856","GO:0035001",0.00808615176754049,1,1,1,"dorsal trunk growth, open tracheal system","BP"
"69","response to stress","GO:0006950","GO:0035011",0.0240963871463677,0.999805227322673,1,3,"melanotic encapsulation of foreign target","BP"
"70","anatomical structure development","GO:0048856","GO:0035193",0.00817032658211558,1,1,1,"larval central nervous system remodeling","BP"
"71","signal transduction","GO:0007165","GO:0035655",0.0161605938740009,0.999934471019236,1,2,"interleukin-18-mediated signaling pathway","BP"
"72","locomotion","GO:0040011","GO:0035701",0.0239698289430893,0.999807278988489,1,3,"hematopoietic stem cell migration","BP"
"73","transport","GO:0006810","GO:0035795",0.0159961708423435,0.999935803027868,1,2,"negative regulation of mitochondrial membrane permeability","BP"
"74","lipid metabolic process","GO:0006629","GO:0035965",0.0319714030592525,0.999613218831451,1,4,"cardiolipin acyl-chain remodeling","BP"
"75","lipid metabolic process","GO:0006629","GO:0036149",0.0398983379508269,0.999355736580431,1,5,"phosphatidylinositol acyl-chain remodeling","BP"
"76","signal transduction","GO:0007165","GO:0038166",0.0321985337979145,0.999607665615938,1,4,"angiotensin-activated signaling pathway","BP"
"77","catabolic process","GO:0009056","GO:0042744",0.000845492992105455,0.999935582655854,4,52,"hydrogen peroxide catabolic process","BP"
"78","small molecule metabolic process","GO:0044281","GO:0042759",0.00135558311193803,0.999981673152428,2,7,"long-chain fatty acid biosynthetic process","BP"
"79","cell death","GO:0008219","GO:0043067",0.0162741958264359,0.999933542662136,1,2,"regulation of programmed cell death","BP"
"80","locomotion","GO:0040011","GO:0043326",0.016190776669378,0.999934225007146,1,2,"chemotaxis to folate","BP"
"81","cellular protein modification proce...","GO:0006464","GO:0043972",0.00816891395339861,1,1,1,"histone H3-K23 acetylation","BP"
"82","cellular protein modification proce...","GO:0006464","GO:0043983",0.0241861838810432,0.999803764945288,1,3,"histone H4-K12 acetylation","BP"
"83","transport","GO:0006810","GO:0044070",0.0321985337979145,0.999607665615938,1,4,"regulation of anion transport","BP"
"84","cellular protein modification proce...","GO:0006464","GO:0044154",0.00816891395339861,1,1,1,"histone H3-K14 acetylation","BP"
"85","anatomical structure development","GO:0048856","GO:0045476",0.00817032658211558,1,1,1,"nurse cell apoptotic process","BP"
"86","anatomical structure development","GO:0048856","GO:0045477",0.00817032658211558,1,1,1,"regulation of nurse cell apoptotic process","BP"
"87","anatomical structure development","GO:0048856","GO:0045605",0.00807063297234212,1,1,1,"negative regulation of epidermal cell differentiation","BP"
"88","anatomical structure development","GO:0048856","GO:0045654",0.0161200791327841,0.999934800513774,1,2,"positive regulation of megakaryocyte differentiation","BP"
"89","signal transduction","GO:0007165","GO:0045746",0.0417952228607207,0.995824168544577,2,40,"negative regulation of Notch signaling pathway","BP"
"90","anatomical structure development","GO:0048856","GO:0045886",0.00341557492585197,0.999917826699974,2,11,"negative regulation of synaptic growth at neuromuscular junction","BP"
"91","reproduction","GO:0000003","GO:0045924",0.0320588268537742,0.999611086120066,1,4,"regulation of female receptivity","BP"
"92","cellular nitrogen compound metaboli...","GO:0034641","GO:0046204",0.0080763317926142,1,1,1,"nor-spermidine metabolic process","BP"
"93","transport","GO:0006810","GO:0046324",0.0396930090806116,0.999362404783946,1,5,"regulation of glucose import","BP"
"94","transport","GO:0006810","GO:0046903",0.0242343484729004,0.999802978286369,1,3,"secretion","BP"
"95","transport","GO:0006810","GO:0048210",0.0399057649156991,0.999355494723587,1,5,"Golgi vesicle fusion to target membrane","BP"
"96","anatomical structure development","GO:0048856","GO:0048630",0.00807063297234212,1,1,1,"skeletal muscle tissue growth","BP"
"97","anatomical structure development","GO:0048856","GO:0048631",0.00807063297234212,1,1,1,"regulation of skeletal muscle tissue growth","BP"
"98","anatomical structure development","GO:0048856","GO:0048633",0.0399290715922185,0.999354735449205,1,5,"positive regulation of skeletal muscle tissue growth","BP"
"99","anatomical structure development","GO:0048856","GO:0048646",0.0242191879964598,0.999803226069799,1,3,"anatomical structure formation involved in morphogenesis","BP"
"100","anatomical structure development","GO:0048856","GO:0050767",0.039939887404374,0.996110492873385,2,39,"regulation of neurogenesis","BP"
"101","biosynthetic process","GO:0009058","GO:0051091",0.0361317057459365,0.993946151341029,3,89,"positive regulation of DNA-binding transcription factor activity","BP"
