"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0007271",8.38896924623808e-07,0.999999890993031,13,38,"synaptic transmission, cholinergic","BP"
"GO:0001666",9.15012038720004e-07,0.999999751074264,25,122,"response to hypoxia","BP"
"GO:0035094",1.44674271353181e-06,0.999999757243036,15,52,"response to nicotine","BP"
"GO:0045766",6.88173167755174e-06,0.999998139956722,21,102,"positive regulation of angiogenesis","BP"
"GO:0033129",9.58291448893654e-06,0.99999988122917,5,6,"positive regulation of histone phosphorylation","BP"
"GO:0006816",9.93808714067273e-06,0.999997355103923,20,94,"calcium ion transport","BP"
"GO:0032720",1.13773587828578e-05,0.999996366745869,25,135,"negative regulation of tumor necrosis factor production","BP"
"GO:0072434",2.43989162638874e-05,1,4,4,"signal transduction involved in mitotic G2 DNA damage checkpoint","BP"
"GO:1903626",2.43989162638874e-05,1,4,4,"positive regulation of DNA catabolic process","BP"
"GO:1904354",2.43989162638874e-05,1,4,4,"negative regulation of telomere capping","BP"
"GO:1905843",2.43989162638874e-05,1,4,4,"regulation of cellular response to gamma radiation","BP"
"GO:0042438",5.0453403821889e-05,0.999994643236893,8,21,"melanin biosynthetic process","BP"
"GO:0007268",6.61877276677121e-05,0.999973511222922,30,197,"chemical synaptic transmission","BP"
"GO:1903978",0.000112229429810997,0.999998342122656,4,5,"regulation of microglial cell activation","BP"
"GO:0042113",0.000118790689696472,0.999988183623495,7,18,"B cell activation","BP"
"GO:0034220",0.000147026993670091,0.999951244967921,20,115,"ion transmembrane transport","BP"
"GO:0042159",0.000152416834549463,0.999997554792729,4,5,"lipoprotein catabolic process","BP"
"GO:0008284",0.000152978408269355,0.999927271598175,39,292,"positive regulation of cell population proliferation","BP"
"GO:0030889",0.000159174623096457,0.99999224784036,5,9,"negative regulation of B cell proliferation","BP"
"GO:0097694",0.00016800177169681,0.999997232787396,4,5,"establishment of RNA localization to telomere","BP"
"GO:1904884",0.00016800177169681,0.999997232787396,4,5,"positive regulation of telomerase catalytic core complex assembly","BP"
"GO:0050890",0.000170708658405591,0.999969427323903,10,36,"cognition","BP"
