sample.ID,trimmed.reads,overall.alignment.rate (%),mean,st.err,treatment,block
C17_R1_001.fastq.gz,24074769,72.19,71.7971875,0.060121435,control,5
C17_R2_001.fastq.gz,24074769,,,,control,5
C18_R1_001.fastq.gz,22161558,72.43,,,control,5
C18_R2_001.fastq.gz,22161558,,,,control,5
C19_R1_001.fastq.gz,24105572,73.98,,,control,5
C19_R2_001.fastq.gz,24105572,,,,control,5
C20_R1_001.fastq.gz,23305604,71.45,,,control,5
C20_R2_001.fastq.gz,23305604,,,,control,5
C21_R1_001.fastq.gz,15898378,66.19,,,control,6
C21_R2_001.fastq.gz,15898378,,,,control,6
C22_R1_001.fastq.gz,22275366,71.59,,,control,6
C22_R2_001.fastq.gz,22275366,,,,control,6
C23_R1_001.fastq.gz,20262323,68.82,,,control,6
C23_R2_001.fastq.gz,20262323,,,,control,6
C24_R1_001.fastq.gz,21738911,72.67,,,control,6
C24_R2_001.fastq.gz,21738911,,,,control,6
C25_R1_001.fastq.gz,28399410,72.13,,,control,7
C25_R2_001.fastq.gz,28399410,,,,control,7
C26_R1_001.fastq.gz,22355910,70.1,,,control,7
C26_R2_001.fastq.gz,22355910,,,,control,7
C27_R1_001.fastq.gz,23740312,71.59,,,control,7
C27_R2_001.fastq.gz,23740312,,,,control,7
C28_R1_001.fastq.gz,22661445,73.07,,,control,7
C28_R2_001.fastq.gz,22661445,,,,control,7
C29_R1_001.fastq.gz,17263262,71.77,,,control,7
C29_R2_001.fastq.gz,17263262,,,,control,8
C30_R1_001.fastq.gz,25438934,72.62,,,control,8
C30_R2_001.fastq.gz,25438934,,,,control,8
C31_R1_001.fastq.gz,23850142,72.42,,,control,8
C31_R2_001.fastq.gz,23850142,,,,control,8
C32_R1_001.fastq.gz,25903448,73.02,,,control,8
C32_R2_001.fastq.gz,25903448,,,,control,8
E10_R1_001.fastq.gz,28093089,73,,,control,8
E10_R2_001.fastq.gz,28093089,,,,enriched,1
E11_R1_001.fastq.gz,17952847,71.98,,,enriched,1
E11_R2_001.fastq.gz,17952847,,,,enriched,3
E12_R1_001.fastq.gz,26995262,72.54,,,enriched,3
E12_R2_001.fastq.gz,26995262,,,,enriched,3
E13_R1_001.fastq.gz,23731898,73.76,,,enriched,3
E13_R2_001.fastq.gz,23731898,,,,enriched,3
E14_R1_001.fastq.gz,21828746,71.18,,,enriched,3
E14_R2_001.fastq.gz,21828746,,,,enriched,4
E15_R1_001.fastq.gz,22613396,65.95,,,enriched,4
E15_R2_001.fastq.gz,22613396,,,,enriched,4
E16_R1_001.fastq.gz,28773827,72.96,,,enriched,4
E16_R2_001.fastq.gz,28773827,,,,enriched,4
E1_R1_001.fastq.gz,24464129,72.48,,,enriched,4
E1_R2_001.fastq.gz,24464129,,,,enriched,4
E2_R1_001.fastq.gz,23119297,72.82,,,enriched,4
E2_R2_001.fastq.gz,23119297,,,,enriched,1
E3_R1_001.fastq.gz,25022842,73.35,,,enriched,1
E3_R2_001.fastq.gz,25022842,,,,enriched,1
E4_R1_001.fastq.gz,21162083,71.93,,,enriched,1
E4_R2_001.fastq.gz,21162083,,,,enriched,1
E5_R1_001.fastq.gz,15835633,71.37,,,enriched,1
E5_R2_001.fastq.gz,15835633,,,,enriched,2
E6_R1_001.fastq.gz,24282809,74.29,,,enriched,2
E6_R2_001.fastq.gz,24282809,,,,enriched,2
E7_R1_001.fastq.gz,23375734,73.44,,,enriched,2
E7_R2_001.fastq.gz,23375734,,,,enriched,2
E8_R1_001.fastq.gz,22969558,69.47,,,enriched,2
E8_R2_001.fastq.gz,22969558,,,,enriched,2
E9_R1_001.fastq.gz,24269213,70.95,,,enriched,2
E9_R2_001.fastq.gz,24269213,,,,enriched,3
total reads/avg,737925707,23060178.34,,,,
