experiment,percentDEInCat,set_size,term,genes
enriched_vs_control,3.25203252,123,anatomical structure development,gene_g18; gene_g425; gene_g718; gene_g1156; gene_g1157; gene_g1260; gene_g1487; gene_g2130; gene_g2132; gene_g2145; gene_g2462; gene_g2535; gene_g2537; gene_g2591; gene_g2647; gene_g2746; gene_g3038; gene_g3039; gene_g3040; gene_g3044; gene_g3526; gene_g3783; gene_g3838; gene_g3860; gene_g3918; gene_g3953; gene_g4019; gene_g4448; gene_g4449; gene_g5098; gene_g5099; gene_g5102; gene_g5118; gene_g5376; gene_g5410; gene_g5445; gene_g5495; gene_g5497; gene_g5767; gene_g5768; gene_g5926; gene_g5976; gene_g6352; gene_g6404; gene_g6442; gene_g6955; gene_g6957; gene_g7357; gene_g7819; gene_g8082; gene_g8478; gene_g8548; gene_g8550; gene_g8667; gene_g8796; gene_g8889; gene_g8915; gene_g9159; gene_g9162; gene_g9163; gene_g9173; gene_g9200; gene_g9383; gene_g9722; gene_g9748; gene_g10536; gene_g10653; gene_g10921; gene_g10988; gene_g11034; gene_g11362; gene_g11453; gene_g11570; gene_g12178; gene_g12267; gene_g12635; gene_g12989; gene_g13153; gene_g14057; gene_g14296; gene_g14425; gene_g14502; gene_g14534; gene_g14598; gene_g14710; gene_g14787; gene_g14903; gene_g15010; gene_g15156; gene_g15206; gene_g15209; gene_g15210; gene_g15271; gene_g15302; gene_g15903; gene_g16405; gene_g16559; gene_g16827; gene_g17086; gene_g17472; gene_g17978; gene_g18143; gene_g18647; gene_g18761; gene_g18890; gene_g19021; gene_g19080; gene_g20106; gene_g20211; gene_g20256; gene_g20484; gene_g20842; gene_g21198; gene_g22882; gene_g23244; gene_g23269; gene_g23729; gene_g24551; gene_g24820; gene_g25613; gene_g25768; gene_g25912; gene_g26443; gene_133_5de57afd; gene_269_5de57afd
enriched_vs_control,2.264150943,265,anatomical structure development,gene_g99; gene_g234; gene_g235; gene_g237; gene_g238; gene_g370; gene_g430; gene_g431; gene_g446; gene_g753; gene_g866; gene_g871; gene_g967; gene_g971; gene_g987; gene_g1067; gene_g1068; gene_g1086; gene_g1352; gene_g1438; gene_g1444; gene_g1460; gene_g1550; gene_g1578; gene_g1638; gene_g1689; gene_g1709; gene_g2045; gene_g2076; gene_g2396; gene_g2461; gene_g2499; gene_g2528; gene_g2894; gene_g3052; gene_g3077; gene_g3265; gene_g3363; gene_g3413; gene_g3416; gene_g3428; gene_g3655; gene_g3898; gene_g3901; gene_g4430; gene_g4470; gene_g4541; gene_g4650; gene_g4680; gene_g4729; gene_g4732; gene_g4764; gene_g4880; gene_g4923; gene_g4935; gene_g4942; gene_g5097; gene_g5190; gene_g5383; gene_g5509; gene_g5639; gene_g5804; gene_g6081; gene_g6163; gene_g6275; gene_g6411; gene_g6461; gene_g6713; gene_g7115; gene_g7172; gene_g7243; gene_g7554; gene_g7557; gene_g7591; gene_g7592; gene_g7709; gene_g7710; gene_g7814; gene_g7854; gene_g8067; gene_g8123; gene_g8205; gene_g8313; gene_g8693; gene_g8764; gene_g8774; gene_g9024; gene_g9026; gene_g9081; gene_g9161; gene_g9232; gene_g9334; gene_g9436; gene_g9438; gene_g9439; gene_g9440; gene_g9482; gene_g9608; gene_g9638; gene_g9803; gene_g9848; gene_g9856; gene_g10027; gene_g10304; gene_g10388; gene_g10404; gene_g10407; gene_g10408; gene_g10712; gene_g10815; gene_g10845; gene_g10937; gene_g11007; gene_g11010; gene_g11153; gene_g11268; gene_g11455; gene_g11550; gene_g11674; gene_g11690; gene_g11733; gene_g11793; gene_g11797; gene_g12016; gene_g12033; gene_g12085; gene_g12101; gene_g12179; gene_g12209; gene_g12315; gene_g12394; gene_g12613; gene_g12634; gene_g12693; gene_g12828; gene_g12830; gene_g12855; gene_g12910; gene_g12943; gene_g13001; gene_g13047; gene_g13104; gene_g13123; gene_g13154; gene_g13286; gene_g13406; gene_g13477; gene_g13644; gene_g13650; gene_g13652; gene_g13686; gene_g13704; gene_g13725; gene_g13740; gene_g13747; gene_g13814; gene_g13849; gene_g13915; gene_g13948; gene_g14065; gene_g14395; gene_g14554; gene_g14643; gene_g14685; gene_g14768; gene_g14871; gene_g14991; gene_g15195; gene_g15331; gene_g15411; gene_g15449; gene_g15505; gene_g15600; gene_g15811; gene_g15908; gene_g16100; gene_g16270; gene_g16440; gene_g16481; gene_g16511; gene_g16617; gene_g16632; gene_g16811; gene_g16919; gene_g16968; gene_g17089; gene_g17094; gene_g17263; gene_g17328; gene_g17427; gene_g17491; gene_g17573; gene_g17594; gene_g17976; gene_g18173; gene_g18365; gene_g18523; gene_g18590; gene_g18610; gene_g18659; gene_g18687; gene_g18740; gene_g18924; gene_g18970; gene_g19190; gene_g19205; gene_g19229; gene_g19275; gene_g19290; gene_g19414; gene_g19419; gene_g19421; gene_g19422; gene_g19477; gene_g19593; gene_g19624; gene_g19674; gene_g19871; gene_g19928; gene_g19940; gene_g19996; gene_g20037; gene_g20161; gene_g20475; gene_g20559; gene_g20572; gene_g20756; gene_g20970; gene_g21179; gene_g21266; gene_g21277; gene_g21557; gene_g21571; gene_g21639; gene_g22737; gene_g22904; gene_g22944; gene_g22966; gene_g23050; gene_g23051; gene_g23311; gene_g23351; gene_g23364; gene_g23433; gene_g23451; gene_g23652; gene_g23913; gene_g23928; gene_g23952; gene_g24488; gene_g24605; gene_g24950; gene_g25512; gene_g25598; gene_g25819; gene_g26197; gene_g26294; gene_g26295; gene_g26306; gene_g26434; gene_g26508; gene_g26584; gene_g26591; gene_g26641; gene_g26753; gene_g26801; gene_207_5de57afd; gene_252_5de57afd; gene_517_5de57afd; gene_559_5de57afd; gene_g1920
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g6870; gene_g9943; gene_g15125
enriched_vs_control,25,4,anatomical structure development,gene_g8065; gene_g13301; gene_g16144; gene_g25700
enriched_vs_control,50,2,anatomical structure development,gene_g15186; gene_g15740
enriched_vs_control,25,4,anatomical structure development,gene_g1462; gene_g13350; gene_g15186; gene_g15740
enriched_vs_control,5.263157895,38,anatomical structure development,gene_g19; gene_g1179; gene_g1382; gene_g2001; gene_g2002; gene_g2003; gene_g2004; gene_g2010; gene_g2862; gene_g4011; gene_g4021; gene_g4330; gene_g4972; gene_g6262; gene_g6264; gene_g6266; gene_g8541; gene_g8637; gene_g9667; gene_g11173; gene_g11606; gene_g11678; gene_g11680; gene_g12335; gene_g12769; gene_g12951; gene_g13135; gene_g13899; gene_g14994; gene_g15875; gene_g15960; gene_g16835; gene_g18724; gene_g18915; gene_g19246; gene_g23262; gene_g23265; gene_g24312; gene_45_5de57afd
enriched_vs_control,100,1,anatomical structure development,gene_g3838
enriched_vs_control,50,2,anatomical structure development,gene_g7570; gene_g17111
enriched_vs_control,25,4,anatomical structure development,gene_g5052; gene_g13279; gene_g14176; gene_g18735
