sample.ID,trimmed.reads,overall.alignment.rate (%),mean,st.err,treatment,block
C17_R1_001.fastq.gz,24074769,79.16,78.8234375,0.395506925,control,5
C17_R2_001.fastq.gz,24074769,,,,control,5
C18_R1_001.fastq.gz,22161558,79.47,,,control,5
C18_R2_001.fastq.gz,22161558,,,,control,5
C19_R1_001.fastq.gz,24105572,81.53,,,control,5
C19_R2_001.fastq.gz,24105572,,,,control,5
C20_R1_001.fastq.gz,23305604,78.87,,,control,5
C20_R2_001.fastq.gz,23305604,,,,control,5
C21_R1_001.fastq.gz,15898378,72.89,,,control,6
C21_R2_001.fastq.gz,15898378,,,,control,6
C22_R1_001.fastq.gz,22275366,78.69,,,control,6
C22_R2_001.fastq.gz,22275366,,,,control,6
C23_R1_001.fastq.gz,20262323,75.24,,,control,6
C23_R2_001.fastq.gz,20262323,,,,control,6
C24_R1_001.fastq.gz,21738911,80,,,control,6
C24_R2_001.fastq.gz,21738911,,,,control,6
C25_R1_001.fastq.gz,28399410,79.45,,,control,7
C25_R2_001.fastq.gz,28399410,,,,control,7
C26_R1_001.fastq.gz,22355910,77.45,,,control,7
C26_R2_001.fastq.gz,22355910,,,,control,7
C27_R1_001.fastq.gz,23740312,78.51,,,control,7
C27_R2_001.fastq.gz,23740312,,,,control,7
C28_R1_001.fastq.gz,22661445,81.18,,,control,7
C28_R2_001.fastq.gz,22661445,,,,control,7
C29_R1_001.fastq.gz,17263262,79.2,,,control,7
C29_R2_001.fastq.gz,17263262,,,,control,8
C30_R1_001.fastq.gz,25438934,79.38,,,control,8
C30_R2_001.fastq.gz,25438934,,,,control,8
C31_R1_001.fastq.gz,23850142,79.67,,,control,8
C31_R2_001.fastq.gz,23850142,,,,control,8
C32_R1_001.fastq.gz,25903448,77.89,,,control,8
C32_R2_001.fastq.gz,25903448,,,,control,8
E10_R1_001.fastq.gz,28093089,80.35,,,control,8
E10_R2_001.fastq.gz,28093089,,,,enriched,1
E11_R1_001.fastq.gz,17952847,79.21,,,enriched,1
E11_R2_001.fastq.gz,17952847,,,,enriched,3
E12_R1_001.fastq.gz,26995262,79.61,,,enriched,3
E12_R2_001.fastq.gz,26995262,,,,enriched,3
E13_R1_001.fastq.gz,23731898,81.22,,,enriched,3
E13_R2_001.fastq.gz,23731898,,,,enriched,3
E14_R1_001.fastq.gz,21828746,77.42,,,enriched,3
E14_R2_001.fastq.gz,21828746,,,,enriched,4
E15_R1_001.fastq.gz,22613396,72.22,,,enriched,4
E15_R2_001.fastq.gz,22613396,,,,enriched,4
E16_R1_001.fastq.gz,28773827,79.98,,,enriched,4
E16_R2_001.fastq.gz,28773827,,,,enriched,4
E1_R1_001.fastq.gz,24464129,79.87,,,enriched,4
E1_R2_001.fastq.gz,24464129,,,,enriched,4
E2_R1_001.fastq.gz,23119297,79.99,,,enriched,4
E2_R2_001.fastq.gz,23119297,,,,enriched,1
E3_R1_001.fastq.gz,25022842,80.53,,,enriched,1
E3_R2_001.fastq.gz,25022842,,,,enriched,1
E4_R1_001.fastq.gz,21162083,79,,,enriched,1
E4_R2_001.fastq.gz,21162083,,,,enriched,1
E5_R1_001.fastq.gz,15835633,78.98,,,enriched,1
E5_R2_001.fastq.gz,15835633,,,,enriched,2
E6_R1_001.fastq.gz,24282809,81.93,,,enriched,2
E6_R2_001.fastq.gz,24282809,,,,enriched,2
E7_R1_001.fastq.gz,23375734,80.56,,,enriched,2
E7_R2_001.fastq.gz,23375734,,,,enriched,2
E8_R1_001.fastq.gz,22969558,75.27,,,enriched,2
E8_R2_001.fastq.gz,22969558,,,,enriched,2
E9_R1_001.fastq.gz,24269213,77.63,,,enriched,2
E9_R2_001.fastq.gz,24269213,,,,enriched,3
total reads/avg,737925707,23060178.34,,,,
