slim_term,slim_cat,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,type
nucleic acid metabolic process,GO:0090304,GO:0015074,2.55E-43,1,86,855,DNA integration,BP,DMG.GO.terms
nucleic acid metabolic process,GO:0090304,GO:0006259,5.39E-21,1,34,282,DNA metabolic process,BP,DMG.GO.terms
nucleic acid metabolic process,GO:0090304,GO:0090304,2.21E-16,1,27,226,nucleic acid metabolic process,BP,DMG.GO.terms
DNA biosynthetic process,GO:0071897,GO:0006278,8.13E-10,1,24,329,RNA-dependent DNA biosynthetic process,BP,DMG.GO.terms
DNA metabolic process,GO:0006259,GO:0006310,2.00E-04,0.9999479,13,266,DNA recombination,BP,DMG.GO.terms
nucleic acid metabolic process,GO:0090304,GO:0090305,2.08E-04,0.9999572,10,164,nucleic acid phosphodiester bond hydrolysis,BP,DMG.GO.terms
viral process,GO:0016032,GO:0016032,3.85E-04,0.999978,4,21,viral process,BP,DMG.GO.terms
transport,GO:0006810,GO:0046713,1.04E-02,1,1,1,borate transport,BP,DMG.GO.terms
cellular metabolic process,GO:0044248,GO:0042182,1.04E-02,1,1,1,ketone catabolic process,BP,DMG.GO.terms
transposition; RNA mediated,GO:0032197,GO:0032199,1.18E-02,0.9994575,2,11,reverse transcription involved in RNA-mediated transposition,BP,DMG.GO.terms
response to nutrient levels,GO:0031667,GO:1903833,1.21E-02,1,1,1,positive regulation of cellular response to amino acid starvation,BP,DMG.GO.terms
regulation of gene expression,GO:0010468,GO:1904803,1.21E-02,1,1,1,regulation of translation involved in cellular response to UV,BP,DMG.GO.terms
response to stress,GO:0006950,GO:1990451,1.21E-02,1,1,1,cellular stress response to acidic pH,BP,DMG.GO.terms
biological process involved in intraspecies interaction between organisms,GO:0051703,GO:0051703,2.08E-02,0.9998915,1,2,biological process involved in intraspecies interaction between organisms,BP,DMG.GO.terms
behavior,GO:0007610,GO:0030536,2.08E-02,0.9998915,1,2,larval feeding behavior,BP,DMG.GO.terms
cellular component organization,GO:0016043,GO:0080119,2.08E-02,0.9998915,1,2,endoplasmic reticulum body organization,BP,DMG.GO.terms
cellular component organization,GO:0016043,GO:0070889,2.08E-02,0.9998915,1,2,platelet alpha granule organization,BP,DMG.GO.terms
transport,GO:0006810,GO:0042044,2.08E-02,0.9998915,1,2,fluid transport,BP,DMG.GO.terms
lipid metabolic process,GO:0006629,GO:1901570,2.08E-02,0.9998915,1,2,fatty acid derivative biosynthetic process,BP,DMG.GO.terms
positive regulation of translation,GO:0045727,GO:0045905,2.08E-02,0.9998915,1,2,positive regulation of translational termination,BP,DMG.GO.terms
regulation of catalytic activity,GO:0050790,GO:0051348,2.13E-02,0.9998862,1,2,negative regulation of transferase activity,BP,DMG.GO.terms
response to nitrogen compound,GO:1901698,GO:0071232,2.25E-02,0.9998729,1,2,cellular response to histidine,BP,DMG.GO.terms
regulation of phospholipase activity,GO:0010517,GO:0010863,2.28E-02,0.9983987,2,22,positive regulation of phospholipase C activity,BP,DMG.GO.terms
positive regulation of translation,GO:0008284,GO:1905564,2.30E-02,0.9983759,2,22,positive regulation of vascular endothelial cell proliferation,BP,DMG.GO.terms
response to nitrogen compound,GO:1901699,GO:0072755,2.36E-02,0.9998597,1,2,cellular response to benomyl,BP,DMG.GO.terms
positive regulation of translation,GO:0045727,GO:0045901,2.46E-02,0.9998475,1,2,positive regulation of translational elongation,BP,DMG.GO.terms
cellular nitrogen compound,GO:0034641,GO:0043604,3.10E-02,0.9996767,1,3,amide biosynthetic process,BP,DMG.GO.terms
positive regulation of cellular pH,GO:0032849,GO:1905528,3.10E-02,0.9996767,1,3,positive regulation of Golgi lumen acidification,BP,DMG.GO.terms
