Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434516
A0A3M6UCU4	A0A3M6UCU4_POCDA	unreviewed	pdam_00025976	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	273			RMX51517.1
A0A2B4RX90	A0A2B4RX90_STYPI	unreviewed	AWC38_SpisGene13730	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	642			PFX21776.1
A0A2B4RH92	A0A2B4RH92_STYPI	unreviewed	POL AWC38_SpisGene20145	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	1714	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004190; GO:0004519	PFX15622.1
A0A3M6UUS1	A0A3M6UUS1_POCDA	unreviewed	pdam_00016029	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1797	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX57390.1
A0A2B4REY4	A0A2B4REY4_STYPI	unreviewed	4 AWC38_SpisGene19568	Stylophora pistillata (Smooth cauliflower coral)	Calmodulin	309	calcium ion binding [GO:0005509]	GO:0005509	PFX16171.1
A0A3M6TMU8	A0A3M6TMU8_POCDA	unreviewed	pdam_00010280	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	207	integral component of membrane [GO:0016021]	GO:0016021	RMX42641.1
A0A2B4RHU0	A0A2B4RHU0_STYPI	unreviewed	AWC38_SpisGene19924	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	201			PFX15835.1
A0A3M6UAM1	A0A3M6UAM1_POCDA	unreviewed	pdam_00024588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1978	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	RMX50589.1
A0A2B4RL51	A0A2B4RL51_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene18131	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	2118	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX17533.1
A0A2B4RSW2	A0A2B4RSW2_STYPI	unreviewed	bath-15 AWC38_SpisGene15921	Stylophora pistillata (Smooth cauliflower coral)	BTB and MATH domain-containing protein 15	647			PFX19640.1
A0A2B4R7K8	A0A2B4R7K8_STYPI	unreviewed	Tf2-9 AWC38_SpisGene22268	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-9 polyprotein	860	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX13631.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A2B4RLR5	A0A2B4RLR5_STYPI	unreviewed	AWC38_SpisGene17898	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	120	integral component of membrane [GO:0016021]	GO:0016021	PFX17763.1
A0A3M6UI00	A0A3M6UI00_POCDA	unreviewed	pdam_00025479	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	316			RMX53189.1
A0A3M6UFQ9	A0A3M6UFQ9_POCDA	unreviewed	pdam_00025781	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2H2-type domain-containing protein (Fragment)	319			RMX52493.1
A0A2B4REC6	A0A2B4REC6_STYPI	unreviewed	ZNF862 AWC38_SpisGene21185	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 862	811			PFX14635.1
A0A3M6UBG6	A0A3M6UBG6_POCDA	unreviewed	pdam_00016112	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	217			RMX50906.1
A0A3M6T9X8	A0A3M6T9X8_POCDA	unreviewed	pdam_00023361	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4555			RMX38185.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6UMT8	A0A3M6UMT8_POCDA	unreviewed	pdam_00020780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1098	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX55007.1
A0A3M6UF00	A0A3M6UF00_POCDA	unreviewed	pdam_00015164	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	488	creatinase activity [GO:0016980]	GO:0016980	RMX52139.1
A0A3M6UI30	A0A3M6UI30_POCDA	unreviewed	pdam_00025057	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	85	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX53333.1
A0A2B4SWB3	A0A2B4SWB3_STYPI	unreviewed	Su(var)205 AWC38_SpisGene1673	Stylophora pistillata (Smooth cauliflower coral)	Heterochromatin protein 1	450			PFX33469.1
A0A2B4R080	A0A2B4R080_STYPI	unreviewed	AWC38_SpisGene24335	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	235			PFX11814.1
A0A2B4RFA0	A0A2B4RFA0_STYPI	unreviewed	AWC38_SpisGene20274	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1070	cysteine-type peptidase activity [GO:0008234]; metal ion binding [GO:0046872]	GO:0008234; GO:0046872	PFX15493.1
A0A3M6V4G7	A0A3M6V4G7_POCDA	unreviewed	pdam_00025842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	421	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX60795.1
A0A3M6UMD4	A0A3M6UMD4_POCDA	unreviewed	pdam_00025874	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	259			RMX54694.1
A0A2B4S7U9	A0A2B4S7U9_STYPI	unreviewed	AWC38_SpisGene10720	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1358			PFX24677.1
A0A3M6UVA6	A0A3M6UVA6_POCDA	unreviewed	pdam_00005802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	220			RMX57560.1
A0A3M6TZ92	A0A3M6TZ92_POCDA	unreviewed	pdam_00015681	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	1669			RMX46702.1
A0A3M6TBI8	A0A3M6TBI8_POCDA	unreviewed	pdam_00018519	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	259			RMX38752.1
A0A3M6UBQ0	A0A3M6UBQ0_POCDA	unreviewed	pdam_00025840	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	244			RMX51090.1
A0A3M6TC93	A0A3M6TC93_POCDA	unreviewed	pdam_00023926	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	71			RMX38929.1
A0A3M6V2T4	A0A3M6V2T4_POCDA	unreviewed	pdam_00025568	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1048			RMX60212.1
A0A3M6T4Q1	A0A3M6T4Q1_POCDA	unreviewed	pdam_00003776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	483			RMX35516.1
A0A2B4SQA5	A0A2B4SQA5_STYPI	unreviewed	ddx24 AWC38_SpisGene3901	Stylophora pistillata (Smooth cauliflower coral)	RNA helicase (EC 3.6.4.13)	1037	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787	PFX31289.1
A0A2B4SW33	A0A2B4SW33_STYPI	unreviewed	F5 AWC38_SpisGene2019	Stylophora pistillata (Smooth cauliflower coral)	Coagulation factor V	387			PFX33090.1
A0A3M6T9W9	A0A3M6T9W9_POCDA	unreviewed	pdam_00023309	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FHA domain-containing protein	924	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]	GO:0005737; GO:0046872	RMX38175.1
A0A3M6TTP5	A0A3M6TTP5_POCDA	unreviewed	pdam_00009195	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltransf_25 domain-containing protein	179			RMX44782.1
A0A2B4RA17	A0A2B4RA17_STYPI	unreviewed	F54H12.2 AWC38_SpisGene21887	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein F54H12.2	533	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	PFX13996.1
A0A2B4R7H4	A0A2B4R7H4_STYPI	unreviewed	AWC38_SpisGene23758	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	923			PFX12307.1
